date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,0.82520,0.83080,0.82460,0.82890,88,120,0,AUDCAD,Pepperstone MT5
2006.06.19,0.82870,0.82990,0.82360,0.82490,89,120,0,AUDCAD,Pepperstone MT5
2006.06.20,0.82500,0.83090,0.82190,0.82500,181,120,0,AUDCAD,Pepperstone MT5
2006.06.21,0.82500,0.82600,0.81260,0.82040,223,120,0,AUDCAD,Pepperstone MT5
2006.06.22,0.82030,0.82190,0.81790,0.81990,77,120,0,AUDCAD,Pepperstone MT5
2006.06.23,0.81990,0.82500,0.81890,0.82200,102,120,0,AUDCAD,Pepperstone MT5
2006.06.26,0.82080,0.82380,0.81770,0.82260,105,120,0,AUDCAD,Pepperstone MT5
2006.06.27,0.82230,0.82440,0.82090,0.82280,66,120,0,AUDCAD,Pepperstone MT5
2006.06.28,0.82280,0.82350,0.81690,0.81940,99,120,0,AUDCAD,Pepperstone MT5
2006.06.29,0.81940,0.82240,0.81250,0.82040,189,120,0,AUDCAD,Pepperstone MT5
2006.06.30,0.82030,0.83090,0.81910,0.82980,142,120,0,AUDCAD,Pepperstone MT5
2006.07.03,0.82920,0.83150,0.82370,0.82460,111,120,0,AUDCAD,Pepperstone MT5
2006.07.04,0.82490,0.82940,0.82310,0.82410,119,120,0,AUDCAD,Pepperstone MT5
2006.07.05,0.82400,0.82660,0.82260,0.82500,71,120,0,AUDCAD,Pepperstone MT5
2006.07.06,0.82520,0.83100,0.82400,0.83060,87,120,0,AUDCAD,Pepperstone MT5
2006.07.07,0.83110,0.83850,0.82870,0.83700,138,120,0,AUDCAD,Pepperstone MT5
2006.07.10,0.83740,0.84280,0.83640,0.83880,115,120,0,AUDCAD,Pepperstone MT5
2006.07.11,0.83880,0.85380,0.83880,0.85270,162,120,0,AUDCAD,Pepperstone MT5
2006.07.12,0.85270,0.85760,0.85060,0.85270,141,120,0,AUDCAD,Pepperstone MT5
2006.07.13,0.85250,0.85700,0.85130,0.85320,108,120,0,AUDCAD,Pepperstone MT5
2006.07.14,0.85310,0.85330,0.84740,0.85010,89,120,0,AUDCAD,Pepperstone MT5
2006.07.17,0.84980,0.85090,0.84540,0.85000,109,120,0,AUDCAD,Pepperstone MT5
2006.07.18,0.84990,0.85570,0.84550,0.84830,189,120,0,AUDCAD,Pepperstone MT5
2006.07.19,0.84840,0.85230,0.84320,0.85110,156,120,0,AUDCAD,Pepperstone MT5
2006.07.20,0.85140,0.85430,0.84880,0.85060,103,120,0,AUDCAD,Pepperstone MT5
2006.07.21,0.85050,0.85800,0.84700,0.85600,166,120,0,AUDCAD,Pepperstone MT5
2006.07.24,0.85590,0.86370,0.85420,0.86110,139,120,0,AUDCAD,Pepperstone MT5
2006.07.25,0.86110,0.86270,0.85810,0.85980,80,120,0,AUDCAD,Pepperstone MT5
2006.07.26,0.85980,0.86660,0.85870,0.86460,111,120,0,AUDCAD,Pepperstone MT5
2006.07.27,0.86450,0.86780,0.86240,0.86620,92,120,0,AUDCAD,Pepperstone MT5
2006.07.28,0.86610,0.86870,0.86300,0.86860,90,120,0,AUDCAD,Pepperstone MT5
2006.07.31,0.86740,0.86740,0.85870,0.86700,171,120,0,AUDCAD,Pepperstone MT5
2006.08.01,0.86700,0.86740,0.86070,0.86610,126,120,0,AUDCAD,Pepperstone MT5
2006.08.02,0.86600,0.86820,0.85950,0.86060,121,120,0,AUDCAD,Pepperstone MT5
2006.08.03,0.86060,0.86190,0.85360,0.85630,124,120,0,AUDCAD,Pepperstone MT5
2006.08.04,0.85620,0.86680,0.85470,0.86300,175,120,0,AUDCAD,Pepperstone MT5
2006.08.07,0.86280,0.86420,0.85300,0.85450,142,120,0,AUDCAD,Pepperstone MT5
2006.08.08,0.85450,0.85580,0.85000,0.85420,114,120,0,AUDCAD,Pepperstone MT5
2006.08.09,0.85420,0.85910,0.85110,0.85750,128,120,0,AUDCAD,Pepperstone MT5
2006.08.10,0.85710,0.86540,0.85600,0.86530,107,120,0,AUDCAD,Pepperstone MT5
2006.08.11,0.86520,0.86770,0.85750,0.86210,174,120,0,AUDCAD,Pepperstone MT5
2006.08.14,0.86200,0.86340,0.85330,0.85600,143,120,0,AUDCAD,Pepperstone MT5
2006.08.15,0.85590,0.86220,0.85520,0.85860,114,120,0,AUDCAD,Pepperstone MT5
2006.08.16,0.85860,0.85970,0.85620,0.85940,63,120,0,AUDCAD,Pepperstone MT5
2006.08.17,0.85940,0.86090,0.85170,0.85490,140,120,0,AUDCAD,Pepperstone MT5
2006.08.18,0.85480,0.85730,0.85030,0.85480,141,120,0,AUDCAD,Pepperstone MT5
2006.08.21,0.85400,0.85660,0.85070,0.85320,111,120,0,AUDCAD,Pepperstone MT5
2006.08.22,0.85310,0.85420,0.84940,0.85060,72,120,0,AUDCAD,Pepperstone MT5
2006.08.23,0.85050,0.85430,0.84460,0.84900,180,120,0,AUDCAD,Pepperstone MT5
2006.08.24,0.84880,0.84950,0.84450,0.84490,62,120,0,AUDCAD,Pepperstone MT5
2006.08.25,0.84490,0.84540,0.83720,0.83980,114,120,0,AUDCAD,Pepperstone MT5
2006.08.28,0.83980,0.84450,0.83860,0.84430,74,120,0,AUDCAD,Pepperstone MT5
2006.08.29,0.84440,0.84740,0.84280,0.84620,75,120,0,AUDCAD,Pepperstone MT5
2006.08.30,0.84610,0.84980,0.84370,0.84630,121,120,0,AUDCAD,Pepperstone MT5
2006.08.31,0.84650,0.84830,0.84240,0.84290,83,120,0,AUDCAD,Pepperstone MT5
2006.09.01,0.84290,0.84810,0.84230,0.84700,76,120,0,AUDCAD,Pepperstone MT5
2006.09.04,0.84640,0.85470,0.84630,0.85320,101,120,0,AUDCAD,Pepperstone MT5
2006.09.05,0.85300,0.85830,0.85210,0.85720,83,120,0,AUDCAD,Pepperstone MT5
2006.09.06,0.85720,0.85760,0.84520,0.84720,149,120,0,AUDCAD,Pepperstone MT5
2006.09.07,0.84710,0.84950,0.83910,0.84190,157,120,0,AUDCAD,Pepperstone MT5
2006.09.08,0.84180,0.84560,0.84040,0.84460,77,120,0,AUDCAD,Pepperstone MT5
2006.09.11,0.84460,0.84540,0.84130,0.84250,62,120,0,AUDCAD,Pepperstone MT5
2006.09.12,0.84250,0.84410,0.83970,0.84070,71,120,0,AUDCAD,Pepperstone MT5
2006.09.13,0.84070,0.84560,0.83910,0.84320,106,120,0,AUDCAD,Pepperstone MT5
2006.09.14,0.84310,0.84520,0.83990,0.84300,106,120,0,AUDCAD,Pepperstone MT5
2006.09.15,0.84310,0.84600,0.83950,0.84290,129,120,0,AUDCAD,Pepperstone MT5
2006.09.18,0.84250,0.84530,0.83970,0.84500,88,120,0,AUDCAD,Pepperstone MT5
2006.09.19,0.84460,0.85020,0.84270,0.84760,121,120,0,AUDCAD,Pepperstone MT5
2006.09.20,0.84750,0.85110,0.84620,0.84860,88,120,0,AUDCAD,Pepperstone MT5
2006.09.21,0.84860,0.85360,0.84510,0.84790,164,120,0,AUDCAD,Pepperstone MT5
