date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,0.74270,0.74500,0.73730,0.73840,8409,40,0,AUDUSD,Pepperstone MT5
2006.06.17,0.73830,0.73900,0.73770,0.73820,48,40,0,AUDUSD,Pepperstone MT5
2006.06.19,0.73780,0.73890,0.73570,0.73660,7471,40,0,AUDUSD,Pepperstone MT5
2006.06.20,0.73640,0.74070,0.73590,0.73760,7938,40,0,AUDUSD,Pepperstone MT5
2006.06.21,0.73750,0.74060,0.73400,0.73980,8119,40,0,AUDUSD,Pepperstone MT5
2006.06.22,0.73980,0.74250,0.73210,0.73380,8492,40,0,AUDUSD,Pepperstone MT5
2006.06.23,0.73390,0.73550,0.73040,0.73180,8198,40,0,AUDUSD,Pepperstone MT5
2006.06.24,0.73170,0.73290,0.73140,0.73160,73,40,0,AUDUSD,Pepperstone MT5
2006.06.26,0.73150,0.73430,0.72920,0.73230,7709,40,0,AUDUSD,Pepperstone MT5
2006.06.27,0.73230,0.73540,0.73090,0.73250,8205,40,0,AUDUSD,Pepperstone MT5
2006.06.28,0.73260,0.73310,0.72690,0.72940,8212,40,0,AUDUSD,Pepperstone MT5
2006.06.29,0.72920,0.74040,0.72720,0.73890,8611,40,0,AUDUSD,Pepperstone MT5
2006.06.30,0.73900,0.74530,0.73770,0.74350,8795,40,0,AUDUSD,Pepperstone MT5
2006.07.01,0.74350,0.74350,0.74150,0.74180,69,40,0,AUDUSD,Pepperstone MT5
2006.07.03,0.74300,0.74630,0.74110,0.74210,7697,40,0,AUDUSD,Pepperstone MT5
2006.07.04,0.74220,0.74720,0.74180,0.74480,7817,40,0,AUDUSD,Pepperstone MT5
2006.07.05,0.74470,0.74770,0.73990,0.74190,8728,40,0,AUDUSD,Pepperstone MT5
2006.07.06,0.74180,0.74730,0.74080,0.74620,7963,40,0,AUDUSD,Pepperstone MT5
2006.07.07,0.74630,0.75340,0.74520,0.75160,8371,40,0,AUDUSD,Pepperstone MT5
2006.07.08,0.75140,0.75270,0.75110,0.75190,43,40,0,AUDUSD,Pepperstone MT5
2006.07.10,0.75140,0.75350,0.74600,0.74620,8047,40,0,AUDUSD,Pepperstone MT5
2006.07.11,0.74630,0.75360,0.74610,0.75310,8507,40,0,AUDUSD,Pepperstone MT5
2006.07.12,0.75320,0.75570,0.75090,0.75170,8907,40,0,AUDUSD,Pepperstone MT5
2006.07.13,0.75180,0.75690,0.75150,0.75420,8818,40,0,AUDUSD,Pepperstone MT5
2006.07.14,0.75410,0.75520,0.74800,0.75310,9568,40,0,AUDUSD,Pepperstone MT5
2006.07.15,0.75320,0.75360,0.75300,0.75340,18,40,0,AUDUSD,Pepperstone MT5
2006.07.17,0.75320,0.75390,0.74670,0.74760,8398,40,0,AUDUSD,Pepperstone MT5
2006.07.18,0.74770,0.75320,0.74450,0.74630,9323,40,0,AUDUSD,Pepperstone MT5
2006.07.19,0.74630,0.75150,0.74050,0.75020,9895,40,0,AUDUSD,Pepperstone MT5
2006.07.20,0.75010,0.75330,0.74890,0.75110,8458,40,0,AUDUSD,Pepperstone MT5
2006.07.21,0.75110,0.75450,0.74900,0.75230,8062,40,0,AUDUSD,Pepperstone MT5
2006.07.22,0.75220,0.75300,0.75110,0.75250,60,40,0,AUDUSD,Pepperstone MT5
2006.07.24,0.75240,0.75540,0.75020,0.75480,8055,40,0,AUDUSD,Pepperstone MT5
2006.07.25,0.75470,0.75670,0.75180,0.75310,8563,40,0,AUDUSD,Pepperstone MT5
2006.07.26,0.75310,0.76230,0.75240,0.76190,8274,40,0,AUDUSD,Pepperstone MT5
2006.07.27,0.76190,0.76630,0.76020,0.76310,8461,40,0,AUDUSD,Pepperstone MT5
2006.07.28,0.76310,0.76770,0.75920,0.76750,8161,40,0,AUDUSD,Pepperstone MT5
2006.07.29,0.76750,0.76870,0.76690,0.76720,86,40,0,AUDUSD,Pepperstone MT5
2006.07.31,0.76700,0.76720,0.76420,0.76640,8017,40,0,AUDUSD,Pepperstone MT5
2006.08.01,0.76660,0.76660,0.75960,0.76600,8865,40,0,AUDUSD,Pepperstone MT5
2006.08.02,0.76600,0.76840,0.76310,0.76390,9243,40,0,AUDUSD,Pepperstone MT5
2006.08.03,0.76370,0.76520,0.75850,0.76100,9626,40,0,AUDUSD,Pepperstone MT5
2006.08.04,0.76100,0.76750,0.75850,0.76560,9005,40,0,AUDUSD,Pepperstone MT5
2006.08.05,0.76570,0.76650,0.76530,0.76600,50,40,0,AUDUSD,Pepperstone MT5
2006.08.07,0.76680,0.76690,0.76160,0.76350,7646,40,0,AUDUSD,Pepperstone MT5
2006.08.08,0.76350,0.76440,0.75860,0.75990,8666,40,0,AUDUSD,Pepperstone MT5
2006.08.09,0.75930,0.76690,0.75650,0.76550,8325,40,0,AUDUSD,Pepperstone MT5
2006.08.10,0.76560,0.77180,0.76430,0.76750,9321,40,0,AUDUSD,Pepperstone MT5
2006.08.11,0.76740,0.77040,0.76510,0.76630,8677,40,0,AUDUSD,Pepperstone MT5
