date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2007.02.12,104.000,104.090,103.500,103.720,3141,60,0,CADJPY,Pepperstone MT5
2007.02.13,103.740,103.900,103.180,103.820,6844,60,0,CADJPY,Pepperstone MT5
2007.02.14,103.840,103.960,103.420,103.530,7228,60,0,CADJPY,Pepperstone MT5
2007.02.15,103.540,103.630,102.450,102.570,9671,60,0,CADJPY,Pepperstone MT5
2007.02.16,102.560,102.680,102.310,102.630,6792,60,0,CADJPY,Pepperstone MT5
2007.02.19,102.440,102.870,102.440,102.660,4017,60,0,CADJPY,Pepperstone MT5
2007.02.20,102.670,103.260,102.380,102.540,6499,60,0,CADJPY,Pepperstone MT5
2007.02.21,102.560,104.270,102.290,104.230,8930,60,0,CADJPY,Pepperstone MT5
2007.02.22,104.220,104.750,104.090,104.600,7503,60,0,CADJPY,Pepperstone MT5
2007.02.23,104.630,104.790,104.280,104.340,6942,60,0,CADJPY,Pepperstone MT5
2007.02.26,104.390,104.430,103.780,103.920,6052,60,0,CADJPY,Pepperstone MT5
2007.02.27,103.940,104.050,100.720,101.010,9415,60,0,CADJPY,Pepperstone MT5
2007.02.28,101.030,101.660,100.660,101.280,10770,60,0,CADJPY,Pepperstone MT5
2007.03.01,101.260,101.560,99.530,100.290,11011,60,0,CADJPY,Pepperstone MT5
2007.03.02,100.280,100.530,99.000,99.180,9812,60,0,CADJPY,Pepperstone MT5
2007.03.05,99.120,99.130,97.530,97.800,13280,60,0,CADJPY,Pepperstone MT5
2007.03.06,97.790,99.220,97.490,99.060,10682,60,0,CADJPY,Pepperstone MT5
2007.03.07,99.080,99.430,98.390,98.410,8677,60,0,CADJPY,Pepperstone MT5
2007.03.08,98.400,99.510,98.060,99.260,8909,60,0,CADJPY,Pepperstone MT5
2007.03.09,99.250,101.090,99.220,100.870,9054,60,0,CADJPY,Pepperstone MT5
2007.03.12,100.940,101.090,100.170,100.350,8307,60,0,CADJPY,Pepperstone MT5
2007.03.13,100.340,100.390,100.200,100.280,240,60,0,CADJPY,Pepperstone MT5
2007.03.14,98.860,99.600,98.550,99.490,10837,60,0,CADJPY,Pepperstone MT5
2007.03.15,99.500,100.130,99.450,99.820,9342,60,0,CADJPY,Pepperstone MT5
2007.03.16,99.810,99.830,99.140,99.220,9493,60,0,CADJPY,Pepperstone MT5
2007.03.19,98.810,100.180,98.780,99.970,9179,60,0,CADJPY,Pepperstone MT5
2007.03.20,99.980,101.090,99.690,100.940,10039,60,0,CADJPY,Pepperstone MT5
2007.03.21,100.930,101.850,100.850,101.650,7759,60,0,CADJPY,Pepperstone MT5
2007.03.22,101.640,102.170,101.380,101.930,8244,60,0,CADJPY,Pepperstone MT5
2007.03.23,101.920,102.190,101.380,101.710,8211,60,0,CADJPY,Pepperstone MT5
2007.03.26,101.560,101.920,101.270,101.680,7419,60,0,CADJPY,Pepperstone MT5
2007.03.27,101.670,102.380,101.580,101.770,7800,60,0,CADJPY,Pepperstone MT5
2007.03.28,101.760,102.030,100.470,100.820,6381,60,0,CADJPY,Pepperstone MT5
2007.03.29,100.790,101.980,100.600,101.840,8309,60,0,CADJPY,Pepperstone MT5
2007.03.30,101.850,102.740,101.440,102.070,10252,60,0,CADJPY,Pepperstone MT5
2007.04.02,101.960,102.450,101.700,101.900,7302,60,0,CADJPY,Pepperstone MT5
2007.04.03,101.850,102.720,101.730,102.640,7049,60,0,CADJPY,Pepperstone MT5
2007.04.04,102.650,102.990,102.280,102.340,7572,60,0,CADJPY,Pepperstone MT5
2007.04.05,102.370,103.270,102.180,103.120,6748,60,0,CADJPY,Pepperstone MT5
2007.04.06,103.140,103.770,103.030,103.560,3536,60,0,CADJPY,Pepperstone MT5
2007.04.09,103.630,103.710,103.420,103.470,3324,60,0,CADJPY,Pepperstone MT5
2007.04.10,103.480,103.950,103.180,103.730,6873,60,0,CADJPY,Pepperstone MT5
2007.04.11,103.740,104.760,103.610,104.740,7111,60,0,CADJPY,Pepperstone MT5
2007.04.12,104.750,105.040,104.480,104.990,7437,60,0,CADJPY,Pepperstone MT5
2007.04.13,104.980,105.070,104.170,104.780,8011,60,0,CADJPY,Pepperstone MT5
