date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,93.240,93.660,93.170,93.530,10164,50,0,CHFJPY,Pepperstone MT5
2006.06.17,93.500,93.680,93.500,93.540,126,50,0,CHFJPY,Pepperstone MT5
2006.06.19,93.630,93.770,92.770,93.130,10328,50,0,CHFJPY,Pepperstone MT5
2006.06.20,93.130,93.180,92.440,92.810,10030,50,0,CHFJPY,Pepperstone MT5
2006.06.21,92.800,93.180,92.610,93.100,9771,50,0,CHFJPY,Pepperstone MT5
2006.06.22,93.110,93.590,92.970,93.430,10302,50,0,CHFJPY,Pepperstone MT5
2006.06.23,93.440,93.550,92.850,93.300,10385,50,0,CHFJPY,Pepperstone MT5
2006.06.24,93.310,93.350,93.130,93.270,250,50,0,CHFJPY,Pepperstone MT5
2006.06.26,93.250,93.650,93.160,93.560,9385,50,0,CHFJPY,Pepperstone MT5
2006.06.27,93.570,93.710,93.270,93.490,10381,50,0,CHFJPY,Pepperstone MT5
2006.06.28,93.500,93.660,93.110,93.500,10371,50,0,CHFJPY,Pepperstone MT5
2006.06.29,93.510,93.590,92.800,93.170,10494,50,0,CHFJPY,Pepperstone MT5
2006.06.30,93.160,93.700,92.860,93.570,12145,50,0,CHFJPY,Pepperstone MT5
2006.07.01,93.590,93.630,93.430,93.580,154,50,0,CHFJPY,Pepperstone MT5
2006.07.03,93.460,93.840,93.200,93.680,10537,50,0,CHFJPY,Pepperstone MT5
2006.07.04,93.680,93.790,93.420,93.740,9798,50,0,CHFJPY,Pepperstone MT5
2006.07.05,93.740,94.120,93.500,93.930,10489,50,0,CHFJPY,Pepperstone MT5
2006.07.06,93.920,94.040,93.400,93.740,9372,50,0,CHFJPY,Pepperstone MT5
2006.07.07,93.760,93.860,93.110,93.230,10013,50,0,CHFJPY,Pepperstone MT5
2006.07.08,93.220,93.370,93.080,93.100,194,50,0,CHFJPY,Pepperstone MT5
2006.07.10,93.160,93.260,92.480,92.850,9109,50,0,CHFJPY,Pepperstone MT5
2006.07.11,92.850,93.240,92.640,93.210,9468,50,0,CHFJPY,Pepperstone MT5
