date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,1.70000,1.71250,1.69820,1.71140,4883,150,0,EURAUD,Pepperstone MT5
2006.06.19,1.71400,1.71450,1.70150,1.70680,4133,150,0,EURAUD,Pepperstone MT5
2006.06.20,1.70700,1.70810,1.69900,1.70490,4667,150,0,EURAUD,Pepperstone MT5
2006.06.21,1.70430,1.72100,1.70190,1.71040,4354,150,0,EURAUD,Pepperstone MT5
2006.06.22,1.71030,1.71680,1.70620,1.71370,5395,150,0,EURAUD,Pepperstone MT5
2006.06.23,1.71360,1.71690,1.70680,1.70840,8709,150,0,EURAUD,Pepperstone MT5
2006.06.26,1.70980,1.72080,1.70760,1.71760,8272,150,0,EURAUD,Pepperstone MT5
2006.06.27,1.71730,1.72040,1.71350,1.71650,7194,150,0,EURAUD,Pepperstone MT5
2006.06.28,1.71630,1.72460,1.71510,1.72100,8091,150,0,EURAUD,Pepperstone MT5
2006.06.29,1.72090,1.72400,1.70840,1.71310,9261,150,0,EURAUD,Pepperstone MT5
2006.06.30,1.71320,1.72230,1.70760,1.72030,10169,150,0,EURAUD,Pepperstone MT5
2006.07.03,1.72210,1.72560,1.71410,1.72430,7848,150,0,EURAUD,Pepperstone MT5
2006.07.04,1.72400,1.72450,1.71290,1.71740,6112,150,0,EURAUD,Pepperstone MT5
2006.07.05,1.71750,1.72020,1.71230,1.71480,7665,150,0,EURAUD,Pepperstone MT5
2006.07.06,1.71460,1.71990,1.70750,1.71180,6054,150,0,EURAUD,Pepperstone MT5
2006.07.07,1.71170,1.71350,1.70160,1.70420,7527,150,0,EURAUD,Pepperstone MT5
2006.07.10,1.70410,1.70650,1.69910,1.70530,7463,150,0,EURAUD,Pepperstone MT5
2006.07.11,1.70540,1.70550,1.69300,1.69570,8047,150,0,EURAUD,Pepperstone MT5
2006.07.12,1.69560,1.69790,1.68430,1.68920,8136,150,0,EURAUD,Pepperstone MT5
2006.07.13,1.68930,1.68990,1.67960,1.68210,8163,150,0,EURAUD,Pepperstone MT5
2006.07.14,1.68220,1.69120,1.67480,1.67890,6991,150,0,EURAUD,Pepperstone MT5
2006.07.17,1.67700,1.68160,1.67020,1.67370,6941,150,0,EURAUD,Pepperstone MT5
2006.07.18,1.67350,1.67920,1.66270,1.67480,6585,150,0,EURAUD,Pepperstone MT5
2006.07.19,1.67460,1.68370,1.67300,1.67760,9173,150,0,EURAUD,Pepperstone MT5
2006.07.20,1.67770,1.68340,1.67570,1.68100,6620,150,0,EURAUD,Pepperstone MT5
2006.07.21,1.68090,1.68750,1.68050,1.68680,7152,150,0,EURAUD,Pepperstone MT5
2006.07.24,1.68790,1.68880,1.67180,1.67390,6774,150,0,EURAUD,Pepperstone MT5
2006.07.25,1.67380,1.67610,1.66770,1.66930,6027,150,0,EURAUD,Pepperstone MT5
2006.07.26,1.66940,1.67080,1.65770,1.66850,7600,150,0,EURAUD,Pepperstone MT5
2006.07.27,1.66860,1.67340,1.66350,1.66370,7027,150,0,EURAUD,Pepperstone MT5
2006.07.28,1.66380,1.66820,1.66050,1.66210,7025,150,0,EURAUD,Pepperstone MT5
2006.07.31,1.66180,1.67050,1.66110,1.66520,6421,150,0,EURAUD,Pepperstone MT5
2006.08.01,1.66510,1.67750,1.66480,1.67370,7064,150,0,EURAUD,Pepperstone MT5
2006.08.02,1.67380,1.67810,1.66870,1.67380,5982,150,0,EURAUD,Pepperstone MT5
2006.08.03,1.67370,1.68370,1.66830,1.68190,6725,150,0,EURAUD,Pepperstone MT5
2006.08.04,1.68210,1.68620,1.67710,1.68080,7827,150,0,EURAUD,Pepperstone MT5
2006.08.07,1.68070,1.68650,1.67940,1.68170,5985,150,0,EURAUD,Pepperstone MT5
2006.08.08,1.68160,1.69200,1.67760,1.68760,7724,150,0,EURAUD,Pepperstone MT5
2006.08.09,1.68740,1.69150,1.67720,1.67990,8206,150,0,EURAUD,Pepperstone MT5
2006.08.10,1.67980,1.68220,1.66250,1.66650,8884,150,0,EURAUD,Pepperstone MT5
2006.08.11,1.66660,1.66750,1.65720,1.65960,7937,150,0,EURAUD,Pepperstone MT5
2006.08.14,1.65930,1.67650,1.65890,1.67350,7056,150,0,EURAUD,Pepperstone MT5
2006.08.15,1.67360,1.67720,1.66950,1.66980,7255,150,0,EURAUD,Pepperstone MT5
2006.08.16,1.66960,1.67570,1.66950,1.67200,6014,150,0,EURAUD,Pepperstone MT5
2006.08.17,1.67190,1.68660,1.66890,1.68350,6553,150,0,EURAUD,Pepperstone MT5
