date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,1.40420,1.42030,1.40320,1.41890,4259,100,0,EURCAD,Pepperstone MT5
2006.06.19,1.41900,1.42010,1.40630,1.40860,5192,100,0,EURCAD,Pepperstone MT5
2006.06.20,1.40850,1.41240,1.40110,1.40610,5166,100,0,EURCAD,Pepperstone MT5
2006.06.21,1.40620,1.40870,1.39620,1.40310,4634,100,0,EURCAD,Pepperstone MT5
2006.06.22,1.40340,1.40880,1.39800,1.40500,4891,100,0,EURCAD,Pepperstone MT5
2006.06.23,1.40530,1.41070,1.40100,1.40390,5264,100,0,EURCAD,Pepperstone MT5
2006.06.26,1.40070,1.41600,1.40060,1.41430,5122,100,0,EURCAD,Pepperstone MT5
2006.06.27,1.41400,1.41500,1.40810,1.41210,5800,100,0,EURCAD,Pepperstone MT5
2006.06.28,1.41220,1.41390,1.40530,1.40940,5059,100,0,EURCAD,Pepperstone MT5
2006.06.29,1.40960,1.41000,1.39490,1.40610,4996,100,0,EURCAD,Pepperstone MT5
2006.06.30,1.40600,1.42850,1.40380,1.42720,5212,100,0,EURCAD,Pepperstone MT5
2006.07.03,1.42620,1.43080,1.41820,1.42220,5386,100,0,EURCAD,Pepperstone MT5
2006.07.04,1.42240,1.42640,1.41430,1.41790,5568,100,0,EURCAD,Pepperstone MT5
2006.07.05,1.41810,1.41840,1.40990,1.41610,4098,100,0,EURCAD,Pepperstone MT5
2006.07.06,1.41630,1.42300,1.41390,1.42170,5279,100,0,EURCAD,Pepperstone MT5
2006.07.07,1.42160,1.42820,1.41810,1.42630,5729,100,0,EURCAD,Pepperstone MT5
2006.07.10,1.42730,1.43580,1.42360,1.43050,5535,100,0,EURCAD,Pepperstone MT5
2006.07.11,1.43060,1.44680,1.42980,1.44440,4609,100,0,EURCAD,Pepperstone MT5
2006.07.12,1.44460,1.44710,1.43870,1.43920,5773,100,0,EURCAD,Pepperstone MT5
2006.07.13,1.43930,1.44250,1.43210,1.43550,5710,100,0,EURCAD,Pepperstone MT5
2006.07.14,1.43540,1.43640,1.42410,1.42730,4550,100,0,EURCAD,Pepperstone MT5
2006.07.17,1.42490,1.42710,1.41340,1.42180,4468,100,0,EURCAD,Pepperstone MT5
2006.07.18,1.42170,1.42420,1.41420,1.42050,5420,100,0,EURCAD,Pepperstone MT5
2006.07.19,1.42030,1.43090,1.41730,1.42840,6784,100,0,EURCAD,Pepperstone MT5
2006.07.20,1.42810,1.43460,1.42670,1.43050,6387,100,0,EURCAD,Pepperstone MT5
2006.07.21,1.43060,1.44530,1.42680,1.44410,5886,100,0,EURCAD,Pepperstone MT5
2006.07.24,1.44480,1.44710,1.43760,1.43990,5843,100,0,EURCAD,Pepperstone MT5
2006.07.25,1.43980,1.44330,1.43350,1.43490,5466,100,0,EURCAD,Pepperstone MT5
2006.07.26,1.43520,1.44410,1.42890,1.44300,5561,100,0,EURCAD,Pepperstone MT5
2006.07.27,1.44290,1.44580,1.43830,1.44050,6901,100,0,EURCAD,Pepperstone MT5
