date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,144.980,145.690,144.900,145.580,13505,40,0,EURJPY,Pepperstone MT5
2006.06.17,145.600,145.820,145.600,145.620,128,40,0,EURJPY,Pepperstone MT5
2006.06.19,145.750,145.870,144.830,145.290,13035,40,0,EURJPY,Pepperstone MT5
2006.06.20,145.280,145.350,144.180,144.630,13653,40,0,EURJPY,Pepperstone MT5
2006.06.21,144.640,145.540,144.420,145.470,13591,40,0,EURJPY,Pepperstone MT5
2006.06.22,145.450,146.310,145.220,146.070,13749,40,0,EURJPY,Pepperstone MT5
2006.06.23,146.050,146.200,145.160,145.800,13616,40,0,EURJPY,Pepperstone MT5
2006.06.24,145.800,145.850,145.610,145.690,199,40,0,EURJPY,Pepperstone MT5
2006.06.26,145.690,146.430,145.520,146.270,13099,40,0,EURJPY,Pepperstone MT5
2006.06.27,146.280,146.680,146.080,146.260,13943,40,0,EURJPY,Pepperstone MT5
2006.06.28,146.260,146.400,145.640,146.250,13596,40,0,EURJPY,Pepperstone MT5
2006.06.29,146.290,146.340,145.320,145.920,14315,40,0,EURJPY,Pepperstone MT5
2006.06.30,145.890,146.480,145.590,146.400,14236,40,0,EURJPY,Pepperstone MT5
2006.07.01,146.420,146.420,146.220,146.370,152,40,0,EURJPY,Pepperstone MT5
2006.07.03,146.190,147.040,145.910,146.840,12994,40,0,EURJPY,Pepperstone MT5
2006.07.04,146.820,146.980,146.460,146.950,13736,40,0,EURJPY,Pepperstone MT5
2006.07.05,146.890,147.420,146.540,147.270,13915,40,0,EURJPY,Pepperstone MT5
2006.07.06,147.270,147.430,146.610,147.140,13128,40,0,EURJPY,Pepperstone MT5
2006.07.07,147.130,147.330,145.920,146.100,13414,40,0,EURJPY,Pepperstone MT5
2006.07.08,146.100,146.280,145.950,146.000,121,40,0,EURJPY,Pepperstone MT5
2006.07.10,145.920,146.090,145.000,145.500,12356,40,0,EURJPY,Pepperstone MT5
2006.07.11,145.470,145.990,145.140,145.950,13518,40,0,EURJPY,Pepperstone MT5
2006.07.12,145.960,146.810,145.750,146.750,12999,40,0,EURJPY,Pepperstone MT5
2006.07.13,146.730,146.860,146.150,146.460,13906,40,0,EURJPY,Pepperstone MT5
2006.07.14,146.470,147.220,146.330,146.910,14464,40,0,EURJPY,Pepperstone MT5
2006.07.15,146.930,146.950,146.800,146.910,77,40,0,EURJPY,Pepperstone MT5
2006.07.17,147.050,147.190,146.460,146.770,12048,40,0,EURJPY,Pepperstone MT5
2006.07.18,146.770,146.990,146.230,146.740,13593,40,0,EURJPY,Pepperstone MT5
2006.07.19,146.700,147.290,146.290,147.120,13540,40,0,EURJPY,Pepperstone MT5
2006.07.20,147.130,147.910,146.940,147.840,13319,40,0,EURJPY,Pepperstone MT5
2006.07.21,147.810,147.890,146.850,147.470,13360,40,0,EURJPY,Pepperstone MT5
2006.07.22,147.490,147.600,147.440,147.490,205,40,0,EURJPY,Pepperstone MT5
2006.07.24,147.530,147.710,147.170,147.410,12115,40,0,EURJPY,Pepperstone MT5
2006.07.25,147.400,147.820,147.250,147.470,13450,40,0,EURJPY,Pepperstone MT5
2006.07.26,147.490,147.880,146.790,147.840,13212,40,0,EURJPY,Pepperstone MT5
2006.07.27,147.860,148.070,146.870,147.020,13102,40,0,EURJPY,Pepperstone MT5
2006.07.28,147.020,147.170,146.110,146.310,13302,40,0,EURJPY,Pepperstone MT5
2006.07.29,146.320,146.580,146.280,146.560,130,40,0,EURJPY,Pepperstone MT5
2006.07.31,146.380,146.640,145.710,146.400,11743,40,0,EURJPY,Pepperstone MT5
2006.08.01,146.410,147.030,145.870,146.990,12854,40,0,EURJPY,Pepperstone MT5
2006.08.02,146.970,147.030,146.390,146.640,12893,40,0,EURJPY,Pepperstone MT5
2006.08.03,146.650,147.450,146.170,147.240,12960,40,0,EURJPY,Pepperstone MT5
2006.08.04,147.210,147.830,147.010,147.340,12704,40,0,EURJPY,Pepperstone MT5
2006.08.05,147.330,147.660,147.270,147.620,180,40,0,EURJPY,Pepperstone MT5
2006.08.07,147.160,148.050,147.090,147.850,11643,40,0,EURJPY,Pepperstone MT5
2006.08.08,147.840,148.020,147.360,147.990,13004,40,0,EURJPY,Pepperstone MT5
2006.08.09,148.000,148.480,147.610,148.390,13218,40,0,EURJPY,Pepperstone MT5
2006.08.10,148.390,148.630,147.190,147.460,12973,40,0,EURJPY,Pepperstone MT5
2006.08.11,147.480,148.380,147.250,147.970,13156,40,0,EURJPY,Pepperstone MT5
2006.08.12,147.970,147.990,147.860,147.910,109,40,0,EURJPY,Pepperstone MT5
2006.08.14,147.930,148.580,147.900,148.400,11895,40,0,EURJPY,Pepperstone MT5
2006.08.15,148.380,148.620,148.020,148.420,12725,40,0,EURJPY,Pepperstone MT5
2006.08.16,148.440,148.940,148.170,148.780,12536,40,0,EURJPY,Pepperstone MT5
2006.08.17,148.790,148.930,148.250,148.750,12851,40,0,EURJPY,Pepperstone MT5
2006.08.18,148.740,148.980,148.100,148.550,12556,40,0,EURJPY,Pepperstone MT5
2006.08.19,148.540,148.630,148.500,148.530,76,40,0,EURJPY,Pepperstone MT5
2006.08.21,148.480,149.760,148.450,149.360,11881,40,0,EURJPY,Pepperstone MT5
2006.08.22,149.350,149.720,148.930,149.190,13056,40,0,EURJPY,Pepperstone MT5
2006.08.23,149.170,149.360,148.730,148.870,12788,40,0,EURJPY,Pepperstone MT5
2006.08.24,148.840,149.520,148.480,148.740,13077,40,0,EURJPY,Pepperstone MT5
2006.08.25,148.720,149.830,148.540,149.580,12655,40,0,EURJPY,Pepperstone MT5
2006.08.26,149.590,149.660,149.460,149.580,148,40,0,EURJPY,Pepperstone MT5
2006.08.28,149.670,150.000,149.570,149.790,10934,40,0,EURJPY,Pepperstone MT5
2006.08.29,149.810,150.070,149.000,149.600,12720,40,0,EURJPY,Pepperstone MT5
