date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,2.02850,2.05020,2.02330,2.04720,352,140,0,EURNZD,Pepperstone MT5
2006.06.19,2.04930,2.05380,2.03420,2.03960,296,140,0,EURNZD,Pepperstone MT5
2006.06.20,2.03970,2.04110,2.01960,2.03030,337,140,0,EURNZD,Pepperstone MT5
2006.06.21,2.03070,2.05080,2.02440,2.03890,447,140,0,EURNZD,Pepperstone MT5
2006.06.22,2.03930,2.06920,2.03890,2.06480,352,140,0,EURNZD,Pepperstone MT5
2006.06.23,2.06450,2.07390,2.05510,2.05700,302,140,0,EURNZD,Pepperstone MT5
2006.06.26,2.05810,2.08310,2.05560,2.07960,336,140,0,EURNZD,Pepperstone MT5
2006.06.27,2.07980,2.08750,2.07290,2.07610,256,140,0,EURNZD,Pepperstone MT5
2006.06.28,2.07730,2.11760,2.07590,2.10390,569,140,0,EURNZD,Pepperstone MT5
2006.06.29,2.10420,2.11150,2.08390,2.09630,474,140,0,EURNZD,Pepperstone MT5
2006.06.30,2.09580,2.10480,2.07560,2.10070,536,140,0,EURNZD,Pepperstone MT5
2006.07.03,2.10200,2.11660,2.09060,2.11180,423,140,0,EURNZD,Pepperstone MT5
2006.07.04,2.11160,2.11160,2.09350,2.09570,204,140,0,EURNZD,Pepperstone MT5
2006.07.05,2.09600,2.10800,2.09230,2.10490,226,140,0,EURNZD,Pepperstone MT5
2006.07.06,2.10370,2.11540,2.10320,2.11350,147,140,0,EURNZD,Pepperstone MT5
2006.07.07,2.11290,2.11570,2.09420,2.09550,257,140,0,EURNZD,Pepperstone MT5
2006.07.10,2.09690,2.09860,2.07990,2.08590,265,140,0,EURNZD,Pepperstone MT5
2006.07.11,2.08560,2.08780,2.06690,2.06950,258,140,0,EURNZD,Pepperstone MT5
2006.07.12,2.06970,2.07300,2.05910,2.06140,196,140,0,EURNZD,Pepperstone MT5
2006.07.13,2.06180,2.06440,2.04710,2.05190,248,140,0,EURNZD,Pepperstone MT5
2006.07.14,2.05190,2.05750,2.03420,2.04060,354,140,0,EURNZD,Pepperstone MT5
2006.07.17,2.03970,2.04010,2.01150,2.01380,314,140,0,EURNZD,Pepperstone MT5
2006.07.18,2.01380,2.01700,1.99240,2.00190,374,140,0,EURNZD,Pepperstone MT5
2006.07.19,2.00120,2.02350,1.99990,2.01560,329,140,0,EURNZD,Pepperstone MT5
2006.07.20,2.01590,2.03560,2.01250,2.02830,339,140,0,EURNZD,Pepperstone MT5
2006.07.21,2.02870,2.03720,2.02730,2.03560,130,140,0,EURNZD,Pepperstone MT5
2006.07.24,2.03430,2.03800,2.02240,2.02660,236,140,0,EURNZD,Pepperstone MT5
2006.07.25,2.02780,2.02880,2.01060,2.01930,280,140,0,EURNZD,Pepperstone MT5
