date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2007.08.21,2.10130,2.11120,2.09300,2.10530,6064,100,0,GBPCAD,Pepperstone MT5
2007.08.22,2.10550,2.11960,2.10210,2.11650,6723,100,0,GBPCAD,Pepperstone MT5
2007.08.23,2.11540,2.11950,2.10060,2.11240,7629,100,0,GBPCAD,Pepperstone MT5
2007.08.24,2.11170,2.12020,2.10240,2.11910,6557,100,0,GBPCAD,Pepperstone MT5
2007.08.27,2.11860,2.12320,2.10950,2.12170,5308,100,0,GBPCAD,Pepperstone MT5
2007.08.28,2.12130,2.12340,2.11900,2.12040,213,100,0,GBPCAD,Pepperstone MT5
2007.08.29,2.13070,2.14310,2.12590,2.13890,7554,100,0,GBPCAD,Pepperstone MT5
2007.08.30,2.13920,2.14690,2.12520,2.12980,7503,100,0,GBPCAD,Pepperstone MT5
2007.08.31,2.13010,2.13460,2.12020,2.12840,7500,100,0,GBPCAD,Pepperstone MT5
2007.09.03,2.12910,2.12970,2.12110,2.12490,4673,100,0,GBPCAD,Pepperstone MT5
2007.09.04,2.12500,2.13000,2.10970,2.11250,6245,100,0,GBPCAD,Pepperstone MT5
2007.09.05,2.11230,2.13000,2.11020,2.12840,6844,100,0,GBPCAD,Pepperstone MT5
2007.09.06,2.12780,2.13780,2.12430,2.12950,6770,100,0,GBPCAD,Pepperstone MT5
2007.09.07,2.12920,2.14310,2.12030,2.14070,6483,100,0,GBPCAD,Pepperstone MT5
2007.09.10,2.13770,2.14850,2.13110,2.13310,13810,100,0,GBPCAD,Pepperstone MT5
2007.09.11,2.13440,2.13470,2.11350,2.11940,7786,100,0,GBPCAD,Pepperstone MT5
2007.09.12,2.11950,2.12310,2.10210,2.10360,7293,100,0,GBPCAD,Pepperstone MT5
2007.09.13,2.10420,2.10560,2.08650,2.09440,16418,100,0,GBPCAD,Pepperstone MT5
2007.09.14,2.09430,2.09500,2.06380,2.06740,12923,100,0,GBPCAD,Pepperstone MT5
2007.09.17,2.06660,2.06920,2.04530,2.04930,16189,100,0,GBPCAD,Pepperstone MT5
2007.09.18,2.04890,2.04990,2.03670,2.03850,19188,100,0,GBPCAD,Pepperstone MT5
2007.09.19,2.03840,2.04300,2.02140,2.03050,21359,100,0,GBPCAD,Pepperstone MT5
2007.09.20,2.03070,2.03480,2.00800,2.01200,19598,100,0,GBPCAD,Pepperstone MT5
2007.09.21,2.01210,2.02700,1.99830,2.02140,18475,100,0,GBPCAD,Pepperstone MT5
2007.09.24,2.02020,2.02980,2.01680,2.02620,12196,100,0,GBPCAD,Pepperstone MT5
2007.09.25,2.02630,2.02760,2.01560,2.02580,17362,100,0,GBPCAD,Pepperstone MT5
2007.09.26,2.02590,2.03540,2.02160,2.02300,17772,100,0,GBPCAD,Pepperstone MT5
2007.09.27,2.02290,2.03400,2.01880,2.03020,17704,100,0,GBPCAD,Pepperstone MT5
2007.09.28,2.03030,2.03670,2.02020,2.03090,20724,100,0,GBPCAD,Pepperstone MT5
2007.10.01,2.03170,2.03570,2.02370,2.02610,15367,100,0,GBPCAD,Pepperstone MT5
2007.10.02,2.02620,2.04290,2.02510,2.03620,17187,100,0,GBPCAD,Pepperstone MT5
2007.10.03,2.03660,2.03980,2.02520,2.02820,17077,100,0,GBPCAD,Pepperstone MT5
2007.10.04,2.02810,2.04030,2.02400,2.03190,17330,100,0,GBPCAD,Pepperstone MT5
2007.10.05,2.03170,2.03440,1.99820,2.00210,16146,100,0,GBPCAD,Pepperstone MT5
2007.10.08,2.00220,2.01130,1.99840,2.00880,5961,100,0,GBPCAD,Pepperstone MT5
2007.10.09,2.00850,2.01080,1.99600,1.99930,13366,100,0,GBPCAD,Pepperstone MT5
2007.10.10,1.99960,2.00900,1.99510,2.00460,13487,100,0,GBPCAD,Pepperstone MT5
2007.10.11,2.00450,2.00590,1.97860,1.98370,16168,100,0,GBPCAD,Pepperstone MT5
2007.10.12,1.98390,1.98860,1.97670,1.97830,14532,100,0,GBPCAD,Pepperstone MT5
2007.10.15,1.97690,1.99690,1.97650,1.99480,12266,100,0,GBPCAD,Pepperstone MT5
2007.10.16,1.99490,1.99690,1.98390,1.98940,16764,100,0,GBPCAD,Pepperstone MT5
2007.10.17,1.98960,1.99740,1.98300,1.98790,16237,100,0,GBPCAD,Pepperstone MT5
2007.10.18,1.98780,2.00140,1.98330,1.99010,15694,100,0,GBPCAD,Pepperstone MT5
2007.10.19,1.98990,1.99550,1.97130,1.98330,15272,100,0,GBPCAD,Pepperstone MT5
2007.10.22,1.98420,1.99670,1.98060,1.98930,19705,100,0,GBPCAD,Pepperstone MT5
2007.10.23,1.98910,1.99060,1.97160,1.98190,17749,100,0,GBPCAD,Pepperstone MT5
2007.10.24,1.98180,1.99140,1.97660,1.98510,17096,100,0,GBPCAD,Pepperstone MT5
2007.10.25,1.98530,1.98780,1.97370,1.98290,16030,100,0,GBPCAD,Pepperstone MT5
2007.10.26,1.98300,1.98370,1.96950,1.97460,13177,100,0,GBPCAD,Pepperstone MT5
2007.10.29,1.97540,1.98080,1.96150,1.96550,13905,100,0,GBPCAD,Pepperstone MT5
2007.10.30,1.96570,1.97660,1.96390,1.97040,13621,100,0,GBPCAD,Pepperstone MT5
2007.10.31,1.97050,1.98220,1.95690,1.96240,17731,100,0,GBPCAD,Pepperstone MT5
2007.11.01,1.96260,1.97920,1.95870,1.97610,20261,100,0,GBPCAD,Pepperstone MT5
2007.11.02,1.97580,1.97850,1.94090,1.95360,18628,100,0,GBPCAD,Pepperstone MT5
2007.11.05,1.95440,1.95680,1.93540,1.94160,14702,100,0,GBPCAD,Pepperstone MT5
2007.11.06,1.94140,1.94330,1.91990,1.92100,14597,100,0,GBPCAD,Pepperstone MT5
2007.11.07,1.92080,1.95650,1.90120,1.95630,24666,100,0,GBPCAD,Pepperstone MT5
2007.11.08,1.95580,1.98000,1.94290,1.96980,23890,100,0,GBPCAD,Pepperstone MT5
2007.11.09,1.97100,1.97720,1.95220,1.97430,24338,100,0,GBPCAD,Pepperstone MT5
2007.11.12,1.97100,1.99490,1.96530,1.98870,24222,100,0,GBPCAD,Pepperstone MT5
2007.11.13,1.98880,2.00120,1.97300,1.98550,23005,100,0,GBPCAD,Pepperstone MT5
2007.11.14,1.98540,1.99280,1.96910,1.98470,23258,100,0,GBPCAD,Pepperstone MT5
2007.11.15,1.98490,2.01500,1.97050,2.01480,22686,100,0,GBPCAD,Pepperstone MT5
2007.11.16,2.01460,2.02050,1.98970,1.99980,20899,100,0,GBPCAD,Pepperstone MT5
2007.11.19,2.00240,2.01840,1.98720,2.01660,17331,100,0,GBPCAD,Pepperstone MT5
2007.11.20,2.01670,2.03430,2.00920,2.02340,21684,100,0,GBPCAD,Pepperstone MT5
2007.11.21,2.02330,2.04140,2.01810,2.03770,18493,100,0,GBPCAD,Pepperstone MT5
2007.11.22,2.03760,2.03900,2.02140,2.03210,11939,100,0,GBPCAD,Pepperstone MT5
2007.11.23,2.03240,2.04220,2.02610,2.03800,16450,100,0,GBPCAD,Pepperstone MT5
2007.11.26,2.03340,2.05190,2.02710,2.05020,15367,100,0,GBPCAD,Pepperstone MT5
2007.11.27,2.05040,2.06810,2.03580,2.06060,21722,100,0,GBPCAD,Pepperstone MT5
2007.11.28,2.06070,2.06110,2.04200,2.05130,20592,100,0,GBPCAD,Pepperstone MT5
2007.11.29,2.05160,2.06190,2.02860,2.05740,19277,100,0,GBPCAD,Pepperstone MT5
2007.11.30,2.05730,2.06590,2.05020,2.05560,19023,100,0,GBPCAD,Pepperstone MT5
2007.12.03,2.05480,2.07180,2.05080,2.06320,15676,100,0,GBPCAD,Pepperstone MT5
2007.12.04,2.06460,2.09090,2.06210,2.08030,17940,100,0,GBPCAD,Pepperstone MT5
2007.12.05,2.08040,2.09020,2.04940,2.04990,21435,100,0,GBPCAD,Pepperstone MT5
2007.12.06,2.04930,2.06470,2.04110,2.04400,20717,100,0,GBPCAD,Pepperstone MT5
2007.12.07,2.04420,2.06260,2.03360,2.04070,17667,100,0,GBPCAD,Pepperstone MT5
2007.12.10,2.04060,2.07020,2.03830,2.06040,13390,100,0,GBPCAD,Pepperstone MT5
2007.12.11,2.06080,2.07520,2.04790,2.06430,16239,100,0,GBPCAD,Pepperstone MT5
2007.12.12,2.06420,2.08230,2.05170,2.07170,19707,100,0,GBPCAD,Pepperstone MT5
2007.12.13,2.07150,2.08560,2.05930,2.08310,17505,100,0,GBPCAD,Pepperstone MT5
2007.12.14,2.08290,2.08480,2.04550,2.05170,20685,100,0,GBPCAD,Pepperstone MT5
2007.12.17,2.05200,2.05660,2.02130,2.03060,19319,100,0,GBPCAD,Pepperstone MT5
2007.12.18,2.03070,2.04280,2.02030,2.02570,18260,100,0,GBPCAD,Pepperstone MT5
2007.12.19,2.02560,2.03460,2.00070,2.00240,18281,100,0,GBPCAD,Pepperstone MT5
2007.12.20,2.00210,2.00370,1.97590,1.98670,11202,100,0,GBPCAD,Pepperstone MT5
2007.12.21,1.98710,1.98770,1.96450,1.96650,14763,100,0,GBPCAD,Pepperstone MT5
2007.12.24,1.96630,1.97050,1.94480,1.94640,7719,100,0,GBPCAD,Pepperstone MT5
2007.12.26,1.95120,1.95180,1.94240,1.94570,1940,100,0,GBPCAD,Pepperstone MT5
2007.12.27,1.94590,1.96140,1.94310,1.95450,6550,100,0,GBPCAD,Pepperstone MT5
2007.12.28,1.95500,1.96440,1.94340,1.95840,6098,100,0,GBPCAD,Pepperstone MT5
2007.12.31,1.95640,1.97410,1.94980,1.95960,1555,100,0,GBPCAD,Pepperstone MT5
2008.01.02,1.96160,1.97320,1.95420,1.96800,12430,100,0,GBPCAD,Pepperstone MT5
2008.01.03,1.96810,1.97320,1.94890,1.95000,17476,100,0,GBPCAD,Pepperstone MT5
2008.01.04,1.94980,1.98180,1.93950,1.97910,18733,100,0,GBPCAD,Pepperstone MT5
2008.01.07,1.98030,1.98670,1.96670,1.97880,16930,100,0,GBPCAD,Pepperstone MT5
2008.01.08,1.97920,1.98730,1.96810,1.98540,17909,100,0,GBPCAD,Pepperstone MT5
2008.01.09,1.98530,1.98560,1.96550,1.97790,19320,100,0,GBPCAD,Pepperstone MT5
2008.01.10,1.97800,1.98630,1.97030,1.98100,23815,100,0,GBPCAD,Pepperstone MT5
2008.01.11,1.98140,2.00110,1.96850,1.99310,21889,100,0,GBPCAD,Pepperstone MT5
2008.01.14,1.99880,1.99960,1.98780,1.98880,15973,100,0,GBPCAD,Pepperstone MT5
2008.01.15,1.98870,2.00930,1.98570,1.99850,20978,100,0,GBPCAD,Pepperstone MT5
2008.01.16,1.99890,2.01470,1.99230,2.01250,27827,100,0,GBPCAD,Pepperstone MT5
2008.01.17,2.01230,2.03500,2.00220,2.02920,25277,100,0,GBPCAD,Pepperstone MT5
2008.01.18,2.02910,2.03140,2.00320,2.00810,21476,100,0,GBPCAD,Pepperstone MT5
2008.01.21,2.00860,2.01410,2.00260,2.01070,17550,100,0,GBPCAD,Pepperstone MT5
2008.01.22,2.01080,2.02440,2.00040,2.01820,24052,100,0,GBPCAD,Pepperstone MT5
2008.01.23,2.01830,2.01930,1.99210,2.00220,24803,100,0,GBPCAD,Pepperstone MT5
2008.01.24,2.00210,2.00490,1.97910,1.98360,19543,100,0,GBPCAD,Pepperstone MT5
2008.01.25,1.98340,1.99930,1.97820,1.99880,21327,100,0,GBPCAD,Pepperstone MT5
2008.01.28,1.99870,2.00420,1.98870,1.99070,16084,100,0,GBPCAD,Pepperstone MT5
2008.01.29,1.99080,1.99680,1.97530,1.98580,18743,100,0,GBPCAD,Pepperstone MT5
2008.01.30,1.98570,1.99040,1.96710,1.97260,19216,100,0,GBPCAD,Pepperstone MT5
2008.01.31,1.97280,2.00500,1.97260,1.99270,23667,100,0,GBPCAD,Pepperstone MT5
