date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,212.230,213.280,212.110,213.130,14696,80,0,GBPJPY,Pepperstone MT5
2006.06.17,213.140,213.400,213.080,213.140,98,80,0,GBPJPY,Pepperstone MT5
2006.06.19,213.420,213.760,211.940,212.760,13594,80,0,GBPJPY,Pepperstone MT5
2006.06.20,212.780,212.810,211.280,211.790,13861,80,0,GBPJPY,Pepperstone MT5
2006.06.21,211.770,212.230,211.240,211.920,13689,80,0,GBPJPY,Pepperstone MT5
2006.06.22,211.970,212.700,211.410,212.270,15806,80,0,GBPJPY,Pepperstone MT5
2006.06.23,212.300,212.520,210.860,211.910,15059,80,0,GBPJPY,Pepperstone MT5
2006.06.24,211.910,212.000,211.600,211.680,305,80,0,GBPJPY,Pepperstone MT5
2006.06.26,211.850,212.190,211.390,212.010,12795,80,0,GBPJPY,Pepperstone MT5
2006.06.27,212.030,212.400,211.380,211.810,13923,80,0,GBPJPY,Pepperstone MT5
2006.06.28,211.810,212.100,211.060,211.870,14147,80,0,GBPJPY,Pepperstone MT5
2006.06.29,211.860,211.980,209.910,210.540,15219,80,0,GBPJPY,Pepperstone MT5
2006.06.30,210.540,211.820,209.850,211.480,15449,80,0,GBPJPY,Pepperstone MT5
2006.07.01,211.480,211.700,211.240,211.640,136,80,0,GBPJPY,Pepperstone MT5
2006.07.03,211.230,211.960,210.790,211.240,13258,80,0,GBPJPY,Pepperstone MT5
2006.07.04,211.240,211.980,210.980,211.950,14279,80,0,GBPJPY,Pepperstone MT5
2006.07.05,211.910,212.560,211.520,212.300,14281,80,0,GBPJPY,Pepperstone MT5
2006.07.06,212.320,212.390,211.200,211.490,13983,80,0,GBPJPY,Pepperstone MT5
2006.07.07,211.480,211.860,210.730,211.070,14451,80,0,GBPJPY,Pepperstone MT5
2006.07.08,211.070,211.300,210.890,210.950,142,80,0,GBPJPY,Pepperstone MT5
2006.07.10,210.710,210.980,209.540,210.360,12849,80,0,GBPJPY,Pepperstone MT5
2006.07.11,210.370,211.030,210.000,210.950,14743,80,0,GBPJPY,Pepperstone MT5
2006.07.12,210.950,212.180,210.630,211.930,14909,80,0,GBPJPY,Pepperstone MT5
2006.07.13,211.930,212.830,211.430,212.740,13979,80,0,GBPJPY,Pepperstone MT5
2006.07.14,212.760,213.800,212.630,213.500,15181,80,0,GBPJPY,Pepperstone MT5
2006.07.15,213.500,213.580,213.350,213.520,99,80,0,GBPJPY,Pepperstone MT5
2006.07.17,213.890,213.920,212.750,213.220,13216,80,0,GBPJPY,Pepperstone MT5
2006.07.18,213.200,214.750,212.570,214.280,14708,80,0,GBPJPY,Pepperstone MT5
