date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2010.05.10,2.06274,2.06733,2.05346,2.05346,10211,100,0,GBPNZD,Pepperstone MT5
2010.05.11,2.05340,2.08922,2.04969,2.08698,62559,100,0,GBPNZD,Pepperstone MT5
2010.05.12,2.08683,2.09516,2.06919,2.07745,59713,100,0,GBPNZD,Pepperstone MT5
2010.05.13,2.07774,2.07869,2.03626,2.04263,48337,100,0,GBPNZD,Pepperstone MT5
2010.05.14,2.04243,2.06152,2.03569,2.05442,57231,100,0,GBPNZD,Pepperstone MT5
2010.05.17,2.05619,2.06359,2.03315,2.05945,35322,100,0,GBPNZD,Pepperstone MT5
2010.05.18,2.07145,2.07256,2.05720,2.06442,39207,100,0,GBPNZD,Pepperstone MT5
2010.05.19,2.06492,2.07386,2.06435,2.06960,1514,100,0,GBPNZD,Pepperstone MT5
2010.05.21,2.15020,2.16120,2.12087,2.12788,54018,100,0,GBPNZD,Pepperstone MT5
2010.05.24,2.13866,2.15614,2.13099,2.15497,45835,100,0,GBPNZD,Pepperstone MT5
2010.05.25,2.15416,2.17582,2.14031,2.14888,56179,100,0,GBPNZD,Pepperstone MT5
2010.05.26,2.14921,2.18172,2.13540,2.16899,51914,100,0,GBPNZD,Pepperstone MT5
2010.05.27,2.16906,2.17056,2.12002,2.13154,55858,100,0,GBPNZD,Pepperstone MT5
2010.05.28,2.13173,2.14802,2.12316,2.12757,49798,100,0,GBPNZD,Pepperstone MT5
2010.05.31,2.12944,2.16084,2.11357,2.13384,22271,100,0,GBPNZD,Pepperstone MT5
2010.06.01,2.13388,2.17164,2.12854,2.16937,53083,100,0,GBPNZD,Pepperstone MT5
2010.06.02,2.16915,2.18532,2.14683,2.14833,55335,100,0,GBPNZD,Pepperstone MT5
2010.06.03,2.14817,2.15458,2.12986,2.13271,44641,100,0,GBPNZD,Pepperstone MT5
2010.06.04,2.13301,2.16517,2.13062,2.15360,46141,100,0,GBPNZD,Pepperstone MT5
2010.06.07,2.14798,2.20251,2.14767,2.19427,50288,100,0,GBPNZD,Pepperstone MT5
2010.06.08,2.19577,2.19864,2.15784,2.16617,29048,100,0,GBPNZD,Pepperstone MT5
2010.06.09,2.16448,2.18261,2.16077,2.17651,32495,26,0,GBPNZD,Pepperstone MT5
2010.06.14,2.10688,2.12312,2.10264,2.12112,37184,39,0,GBPNZD,Pepperstone MT5
2010.06.15,2.12094,2.13624,2.11655,2.11685,39427,33,0,GBPNZD,Pepperstone MT5
2010.06.16,2.11687,2.13364,2.10894,2.10952,35570,27,0,GBPNZD,Pepperstone MT5
2010.06.17,2.11010,2.11558,2.10076,2.10076,38986,30,0,GBPNZD,Pepperstone MT5
2010.06.18,2.10082,2.11139,2.09411,2.09787,30735,30,0,GBPNZD,Pepperstone MT5
2010.06.21,2.08633,2.09743,2.07391,2.08307,34665,27,0,GBPNZD,Pepperstone MT5
2010.06.22,2.08302,2.10456,2.07499,2.10317,40318,30,0,GBPNZD,Pepperstone MT5
2010.06.23,2.10330,2.10913,2.08767,2.09408,44180,19,0,GBPNZD,Pepperstone MT5
2010.06.24,2.09558,2.12951,2.09387,2.10746,38757,30,0,GBPNZD,Pepperstone MT5
2010.06.25,2.10602,2.12603,2.09919,2.10663,39230,19,0,GBPNZD,Pepperstone MT5
2010.06.28,2.10520,2.13439,2.10378,2.13194,33711,32,0,GBPNZD,Pepperstone MT5
2010.06.29,2.12932,2.17917,2.12926,2.17395,42286,34,0,GBPNZD,Pepperstone MT5
2010.06.30,2.17549,2.18300,2.15784,2.17721,42553,32,0,GBPNZD,Pepperstone MT5
2010.07.01,2.18086,2.21111,2.17606,2.19761,46308,41,0,GBPNZD,Pepperstone MT5
2010.07.02,2.19723,2.20870,2.17793,2.20796,37309,21,0,GBPNZD,Pepperstone MT5
2010.07.05,2.20660,2.21544,2.18846,2.19441,18399,40,0,GBPNZD,Pepperstone MT5
2010.07.06,2.19700,2.21111,2.17619,2.18018,36619,39,0,GBPNZD,Pepperstone MT5
2010.07.07,2.18250,2.19240,2.15560,2.15580,36478,18,0,GBPNZD,Pepperstone MT5
2010.07.08,2.15896,2.16141,2.13286,2.13470,36499,30,0,GBPNZD,Pepperstone MT5
2010.07.09,2.13675,2.14721,2.11528,2.11631,30997,38,0,GBPNZD,Pepperstone MT5
2010.07.12,2.11821,2.12748,2.10830,2.10845,29133,39,0,GBPNZD,Pepperstone MT5
2010.07.13,2.11148,2.12483,2.10346,2.10565,35126,28,0,GBPNZD,Pepperstone MT5
2010.07.14,2.10836,2.12819,2.10406,2.10487,35423,18,0,GBPNZD,Pepperstone MT5
2010.07.15,2.10640,2.14086,2.10577,2.11754,39586,21,0,GBPNZD,Pepperstone MT5
2010.07.16,2.11939,2.15871,2.11679,2.15177,35398,31,0,GBPNZD,Pepperstone MT5
2010.07.19,2.15547,2.17530,2.14998,2.15332,31887,20,0,GBPNZD,Pepperstone MT5
2010.07.20,2.15587,2.16051,2.12679,2.12727,34455,49,0,GBPNZD,Pepperstone MT5
2010.07.21,2.12753,2.13791,2.11369,2.12706,36228,27,0,GBPNZD,Pepperstone MT5
2010.07.22,2.12676,2.13809,2.09906,2.10267,34627,24,0,GBPNZD,Pepperstone MT5
2010.07.23,2.10464,2.12970,2.09856,2.11921,37191,14,0,GBPNZD,Pepperstone MT5
2010.07.27,2.11165,2.12848,2.09819,2.12198,34500,27,0,GBPNZD,Pepperstone MT5
2010.07.28,2.12543,2.14995,2.12512,2.14311,36553,22,0,GBPNZD,Pepperstone MT5
2010.07.29,2.14817,2.16224,2.14482,2.15346,20374,32,0,GBPNZD,Pepperstone MT5
2010.07.30,2.15651,2.17037,2.14912,2.15838,29412,0,0,GBPNZD,Pepperstone MT5
2010.08.02,2.16233,2.17342,2.15120,2.16482,32240,20,0,GBPNZD,Pepperstone MT5
2010.08.03,2.16728,2.18046,2.16052,2.17191,32354,19,0,GBPNZD,Pepperstone MT5
2010.08.04,2.17419,2.17943,2.15809,2.15809,33877,27,0,GBPNZD,Pepperstone MT5
2010.08.05,2.16094,2.16375,2.15928,2.16138,679,82,0,GBPNZD,Pepperstone MT5
2010.08.09,2.17804,2.19527,2.17662,2.17662,30354,25,0,GBPNZD,Pepperstone MT5
2010.08.10,2.17903,2.19512,2.17564,2.18864,46799,10,0,GBPNZD,Pepperstone MT5
2010.08.11,2.18863,2.19907,2.17956,2.19017,50731,20,0,GBPNZD,Pepperstone MT5
2010.08.12,2.19446,2.20586,2.18967,2.19688,46496,25,0,GBPNZD,Pepperstone MT5
2010.08.13,2.19690,2.21161,2.19035,2.20682,23369,38,0,GBPNZD,Pepperstone MT5
2010.08.16,2.20185,2.22525,2.20185,2.21369,40376,24,0,GBPNZD,Pepperstone MT5
