date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.17,5376.0,5581.0,5376.0,5530.0,257,0,0,GER40,Pepperstone MT5
2006.06.24,5530.0,5698.0,5420.0,5683.0,404,0,0,GER40,Pepperstone MT5
2006.07.01,5683.0,5730.0,5609.0,5682.0,242,0,0,GER40,Pepperstone MT5
2006.07.08,5682.0,5711.0,5422.0,5422.0,319,0,0,GER40,Pepperstone MT5
2006.07.15,5422.0,5587.0,5365.0,5451.0,416,0,0,GER40,Pepperstone MT5
2006.07.22,5451.0,5708.0,5451.0,5705.0,261,0,0,GER40,Pepperstone MT5
2006.07.29,5705.0,5742.0,5584.0,5723.0,299,0,0,GER40,Pepperstone MT5
2006.08.05,5723.0,5723.0,5558.0,5628.0,236,0,0,GER40,Pepperstone MT5
2006.08.12,5628.0,5849.0,5628.0,5817.0,254,0,0,GER40,Pepperstone MT5
2006.08.19,5817.0,5847.0,5744.0,5811.0,201,0,0,GER40,Pepperstone MT5
2006.08.26,5811.0,5907.0,5768.0,5877.0,213,0,0,GER40,Pepperstone MT5
2006.09.02,5877.0,5917.0,5754.0,5795.0,245,0,0,GER40,Pepperstone MT5
2006.09.09,5795.0,5954.0,5737.0,5938.0,292,0,0,GER40,Pepperstone MT5
2006.09.16,5938.0,5980.0,5858.0,5883.0,190,0,0,GER40,Pepperstone MT5
2006.09.23,5883.0,6032.0,5865.0,6004.0,214,0,0,GER40,Pepperstone MT5
2006.09.30,6004.0,6098.0,5945.0,6086.0,225,0,0,GER40,Pepperstone MT5
2006.10.07,6086.0,6189.0,6055.0,6174.0,181,0,0,GER40,Pepperstone MT5
2006.10.14,6174.0,6220.0,6106.0,6203.0,200,0,0,GER40,Pepperstone MT5
2006.10.21,6203.0,6305.0,6186.0,6263.0,179,0,0,GER40,Pepperstone MT5
2006.10.28,6263.0,6312.0,6201.0,6241.0,201,0,0,GER40,Pepperstone MT5
2006.11.04,6241.0,6367.0,6241.0,6358.0,136,0,0,GER40,Pepperstone MT5
2006.11.11,6358.0,6452.0,6344.0,6412.0,163,0,0,GER40,Pepperstone MT5
2006.11.18,6412.0,6497.0,6367.0,6412.0,261,0,0,GER40,Pepperstone MT5
2006.11.25,6412.0,6420.0,6196.0,6241.0,278,0,0,GER40,Pepperstone MT5
2006.12.02,6241.0,6441.0,6230.0,6427.0,237,0,0,GER40,Pepperstone MT5
2006.12.09,6427.0,6605.0,6427.0,6589.0,195,0,0,GER40,Pepperstone MT5
2006.12.16,6589.0,6616.0,6494.0,6503.0,159,0,0,GER40,Pepperstone MT5
2006.12.23,6503.0,6629.0,6503.0,6597.0,159,0,0,GER40,Pepperstone MT5
2006.12.30,6597.0,6704.0,6588.0,6593.0,229,0,0,GER40,Pepperstone MT5
2007.01.06,6593.0,6705.0,6531.0,6705.0,237,0,0,GER40,Pepperstone MT5
2007.01.13,6705.0,6755.0,6652.0,6747.0,165,0,0,GER40,Pepperstone MT5
2007.01.20,6747.0,6771.0,6628.0,6690.0,230,0,0,GER40,Pepperstone MT5
2007.01.27,6690.0,6905.0,6683.0,6886.0,249,0,0,GER40,Pepperstone MT5
2007.02.03,6886.0,6933.0,6850.0,6911.0,142,0,0,GER40,Pepperstone MT5
2007.02.10,6911.0,6979.0,6844.0,6957.0,225,0,0,GER40,Pepperstone MT5
2007.02.17,6957.0,7012.0,6922.0,6993.0,145,0,0,GER40,Pepperstone MT5
2007.02.24,6993.0,7040.0,6544.0,6603.0,603,0,0,GER40,Pepperstone MT5
2007.03.03,6603.0,6745.0,6437.0,6717.0,503,0,0,GER40,Pepperstone MT5
2007.03.10,6717.0,6752.0,6445.0,6580.0,478,0,0,GER40,Pepperstone MT5
2007.03.17,6580.0,6903.0,6580.0,6899.0,328,0,0,GER40,Pepperstone MT5
2007.03.24,6899.0,6966.0,6788.0,6917.0,339,0,0,GER40,Pepperstone MT5
2007.03.31,6917.0,7104.0,6892.0,7100.0,242,0,0,GER40,Pepperstone MT5
2007.04.07,7100.0,7213.0,7087.0,7212.0,141,0,0,GER40,Pepperstone MT5
2007.04.14,7212.0,7367.0,7155.0,7343.0,294,0,0,GER40,Pepperstone MT5
2007.04.21,7343.0,7413.0,7219.0,7378.0,354,0,0,GER40,Pepperstone MT5
2007.04.28,7378.0,7527.0,7361.0,7517.0,194,0,0,GER40,Pepperstone MT5
2007.05.05,7517.0,7539.0,7305.0,7479.0,431,0,0,GER40,Pepperstone MT5
2007.05.12,7479.0,7614.0,7418.0,7608.0,264,0,0,GER40,Pepperstone MT5
2007.05.19,7608.0,7774.0,7599.0,7739.0,220,0,0,GER40,Pepperstone MT5
2007.05.26,7739.0,8002.0,7676.0,7988.0,404,0,0,GER40,Pepperstone MT5
2007.06.02,7988.0,8010.0,7499.0,7591.0,626,0,0,GER40,Pepperstone MT5
2007.06.09,7591.0,8033.0,7591.0,8031.0,445,0,0,GER40,Pepperstone MT5
2007.06.16,8031.0,8132.0,7905.0,7950.0,374,0,0,GER40,Pepperstone MT5
2007.06.23,7950.0,8008.0,7751.0,8007.0,458,0,0,GER40,Pepperstone MT5
2007.06.30,8007.0,8115.0,7916.0,8048.0,358,0,0,GER40,Pepperstone MT5
2007.07.07,8048.0,8152.0,7800.0,8093.0,660,0,0,GER40,Pepperstone MT5
2007.07.14,8093.0,8131.0,7864.0,7875.0,317,0,0,GER40,Pepperstone MT5
2007.07.21,7875.0,7944.0,7373.0,7452.0,720,0,0,GER40,Pepperstone MT5
2007.07.28,7452.0,7633.0,7387.0,7436.0,477,0,0,GER40,Pepperstone MT5
2007.08.04,7436.0,7614.0,7294.0,7343.0,548,0,0,GER40,Pepperstone MT5
2007.08.11,7343.0,7498.0,7190.0,7378.0,582,0,0,GER40,Pepperstone MT5
2007.08.18,7378.0,7592.0,7345.0,7507.0,366,0,0,GER40,Pepperstone MT5
2007.08.25,7507.0,7660.0,7354.0,7638.0,482,0,0,GER40,Pepperstone MT5
2007.09.01,7638.0,7725.0,7421.0,7437.0,408,0,0,GER40,Pepperstone MT5
2007.09.08,7437.0,7545.0,7370.0,7498.0,290,0,0,GER40,Pepperstone MT5
2007.09.15,7498.0,7809.0,7433.0,7794.0,457,0,0,GER40,Pepperstone MT5
2007.09.22,7794.0,7882.0,7717.0,7862.0,263,0,0,GER40,Pepperstone MT5
2007.09.29,7862.0,8014.0,7831.0,8002.0,227,0,0,GER40,Pepperstone MT5
2007.10.06,8002.0,8064.0,7955.0,8041.0,180,0,0,GER40,Pepperstone MT5
2007.10.13,8041.0,8041.0,7871.0,7884.0,184,0,0,GER40,Pepperstone MT5
2007.10.20,7884.0,7971.0,7770.0,7949.0,338,0,0,GER40,Pepperstone MT5
2007.10.27,7949.0,8038.0,7792.0,7849.0,393,0,0,GER40,Pepperstone MT5
2007.11.03,7849.0,7919.0,7702.0,7812.0,398,0,0,GER40,Pepperstone MT5
2007.11.10,7812.0,7866.0,7565.0,7612.0,403,0,0,GER40,Pepperstone MT5
2007.11.17,7612.0,7634.0,7475.0,7609.0,316,0,0,GER40,Pepperstone MT5
2007.11.24,7609.0,7894.0,7445.0,7871.0,637,0,0,GER40,Pepperstone MT5
2007.12.01,7871.0,8010.0,7785.0,7994.0,328,0,0,GER40,Pepperstone MT5
2007.12.08,7994.0,8118.0,7873.0,7948.0,445,0,0,GER40,Pepperstone MT5
2007.12.15,7948.0,8015.0,7777.0,8003.0,422,0,0,GER40,Pepperstone MT5
2007.12.22,8003.0,8074.0,7992.0,8067.0,101,0,0,GER40,Pepperstone MT5
2007.12.29,8067.0,8101.0,7780.0,7809.0,385,0,0,GER40,Pepperstone MT5
2008.01.05,7809.0,7923.0,7675.0,7718.0,406,0,0,GER40,Pepperstone MT5
2008.01.12,7718.0,7759.0,7287.0,7314.0,541,0,0,GER40,Pepperstone MT5
2008.01.19,7314.0,7314.0,6384.0,6817.0,1364,0,0,GER40,Pepperstone MT5
2008.01.26,6817.0,7037.0,6680.0,6969.0,563,0,0,GER40,Pepperstone MT5
2008.02.02,6969.0,7059.0,6656.0,6767.0,605,0,0,GER40,Pepperstone MT5
2008.02.09,6767.0,7062.0,6691.0,6832.0,678,0,0,GER40,Pepperstone MT5
2008.02.16,6832.0,7080.0,6763.0,6806.0,609,0,0,GER40,Pepperstone MT5
2008.02.23,6806.0,7018.0,6699.0,6748.0,581,0,0,GER40,Pepperstone MT5
2008.03.01,6748.0,6748.0,6451.0,6514.0,361,0,0,GER40,Pepperstone MT5
2008.03.08,6514.0,6667.0,6392.0,6452.0,489,0,0,GER40,Pepperstone MT5
2008.03.15,6452.0,6470.0,6168.0,6320.0,473,0,0,GER40,Pepperstone MT5
2008.03.22,6320.0,6616.0,6320.0,6560.0,353,0,0,GER40,Pepperstone MT5
2008.03.26,6508.0,6538.0,6469.0,6489.0,120,0,0,GER40,Pepperstone MT5
2008.03.27,6486.0,6610.0,6479.0,6578.0,171,0,0,GER40,Pepperstone MT5
2008.03.28,6587.0,6616.0,6535.0,6560.0,136,0,0,GER40,Pepperstone MT5
2008.03.31,6530.0,6541.0,6430.0,6535.0,218,0,0,GER40,Pepperstone MT5
2008.04.01,6519.0,6735.0,6497.0,6720.0,276,0,0,GER40,Pepperstone MT5
2008.04.02,6749.0,6807.0,6726.0,6777.0,135,0,0,GER40,Pepperstone MT5
2008.04.03,6788.0,6803.0,6696.0,6742.0,169,0,0,GER40,Pepperstone MT5
2008.04.04,6754.0,6797.0,6691.0,6763.0,204,0,0,GER40,Pepperstone MT5
2008.04.07,6803.0,6843.0,6795.0,6821.0,79,0,0,GER40,Pepperstone MT5
2008.04.08,6795.0,6795.0,6724.0,6772.0,120,0,0,GER40,Pepperstone MT5
2008.04.09,6751.0,6785.0,6705.0,6721.0,131,0,0,GER40,Pepperstone MT5
2008.04.10,6717.0,6719.0,6609.0,6704.0,208,0,0,GER40,Pepperstone MT5
2008.04.11,6739.0,6768.0,6571.0,6604.0,260,0,0,GER40,Pepperstone MT5
