date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2007.08.20,0.73240,0.74130,0.73170,0.73620,1866,0,0,NZDCAD,Pepperstone MT5
2007.08.21,0.73590,0.74330,0.73080,0.74020,9348,0,0,NZDCAD,Pepperstone MT5
2007.08.22,0.74000,0.75100,0.73450,0.74930,5318,0,0,NZDCAD,Pepperstone MT5
2007.08.23,0.74960,0.75700,0.74740,0.75200,5628,0,0,NZDCAD,Pepperstone MT5
2007.08.24,0.75210,0.75930,0.74790,0.75890,4932,0,0,NZDCAD,Pepperstone MT5
2007.08.27,0.76320,0.76460,0.75250,0.75370,4215,0,0,NZDCAD,Pepperstone MT5
2007.08.29,0.74130,0.75280,0.73300,0.75050,5858,0,0,NZDCAD,Pepperstone MT5
2007.08.30,0.74990,0.75080,0.74100,0.74220,5310,0,0,NZDCAD,Pepperstone MT5
2007.08.31,0.74210,0.74860,0.73710,0.74080,5144,0,0,NZDCAD,Pepperstone MT5
2007.09.03,0.74150,0.74360,0.73770,0.74120,3648,0,0,NZDCAD,Pepperstone MT5
2007.09.04,0.74040,0.74220,0.72770,0.73030,4874,0,0,NZDCAD,Pepperstone MT5
2007.09.05,0.72990,0.73310,0.72170,0.72460,5471,0,0,NZDCAD,Pepperstone MT5
2007.09.06,0.72410,0.73190,0.72040,0.72870,4880,0,0,NZDCAD,Pepperstone MT5
2007.09.07,0.72810,0.73080,0.72370,0.72930,4182,0,0,NZDCAD,Pepperstone MT5
2007.09.10,0.72440,0.73520,0.72130,0.73180,8995,0,0,NZDCAD,Pepperstone MT5
2007.09.11,0.73190,0.73720,0.72550,0.73540,5402,0,0,NZDCAD,Pepperstone MT5
2007.09.12,0.73560,0.74220,0.73380,0.73880,5443,0,0,NZDCAD,Pepperstone MT5
2007.09.13,0.73900,0.74260,0.73220,0.73380,9356,0,0,NZDCAD,Pepperstone MT5
2007.09.14,0.73310,0.73940,0.73200,0.73450,6574,0,0,NZDCAD,Pepperstone MT5
2007.09.17,0.73390,0.73560,0.72290,0.72510,7505,0,0,NZDCAD,Pepperstone MT5
2007.09.18,0.72500,0.73790,0.72010,0.73500,9975,0,0,NZDCAD,Pepperstone MT5
2007.09.19,0.73510,0.74770,0.73240,0.74550,11578,0,0,NZDCAD,Pepperstone MT5
2007.09.20,0.74540,0.74840,0.73560,0.73940,10164,0,0,NZDCAD,Pepperstone MT5
2007.09.21,0.73920,0.74700,0.73750,0.74410,9510,0,0,NZDCAD,Pepperstone MT5
2007.09.24,0.74310,0.75000,0.74080,0.74770,6128,0,0,NZDCAD,Pepperstone MT5
2007.09.25,0.74760,0.74840,0.73340,0.74480,10222,0,0,NZDCAD,Pepperstone MT5
2007.09.26,0.74510,0.74980,0.74400,0.74710,8594,0,0,NZDCAD,Pepperstone MT5
2007.09.27,0.74730,0.75290,0.74630,0.75100,8556,0,0,NZDCAD,Pepperstone MT5
2007.09.28,0.75110,0.75820,0.74930,0.75140,9688,0,0,NZDCAD,Pepperstone MT5
2007.10.01,0.75320,0.76160,0.75300,0.75970,8148,0,0,NZDCAD,Pepperstone MT5
2007.10.02,0.76000,0.76050,0.75220,0.75390,10153,0,0,NZDCAD,Pepperstone MT5
2007.10.03,0.75420,0.76000,0.74990,0.75200,9341,0,0,NZDCAD,Pepperstone MT5
2007.10.04,0.75210,0.75490,0.74850,0.75200,9089,0,0,NZDCAD,Pepperstone MT5
2007.10.05,0.75210,0.75480,0.74320,0.74550,8829,0,0,NZDCAD,Pepperstone MT5
2007.10.08,0.74900,0.75350,0.74850,0.75100,3961,0,0,NZDCAD,Pepperstone MT5
2007.10.09,0.75110,0.75390,0.74740,0.75060,7888,0,0,NZDCAD,Pepperstone MT5
2007.10.10,0.75050,0.75140,0.74540,0.74740,6831,0,0,NZDCAD,Pepperstone MT5
2007.10.11,0.74730,0.75420,0.74670,0.75200,9279,0,0,NZDCAD,Pepperstone MT5
2007.10.12,0.75210,0.75580,0.75020,0.75440,9200,0,0,NZDCAD,Pepperstone MT5
2007.10.15,0.75100,0.75290,0.74140,0.74460,8855,0,0,NZDCAD,Pepperstone MT5
2007.10.16,0.74480,0.74660,0.72330,0.73180,14179,0,0,NZDCAD,Pepperstone MT5
2007.10.17,0.73170,0.73530,0.72590,0.73210,13631,0,0,NZDCAD,Pepperstone MT5
2007.10.18,0.73220,0.73560,0.72730,0.73250,10621,0,0,NZDCAD,Pepperstone MT5
2007.10.19,0.73270,0.73440,0.72150,0.72230,10572,0,0,NZDCAD,Pepperstone MT5
2007.10.22,0.71960,0.73130,0.71430,0.73070,12450,0,0,NZDCAD,Pepperstone MT5
2007.10.23,0.73100,0.73510,0.72490,0.72970,11366,0,0,NZDCAD,Pepperstone MT5
2007.10.24,0.72980,0.73280,0.72410,0.73080,12401,0,0,NZDCAD,Pepperstone MT5
2007.10.25,0.73110,0.73680,0.72810,0.73500,10804,0,0,NZDCAD,Pepperstone MT5
2007.10.26,0.73440,0.73890,0.73250,0.73670,8903,0,0,NZDCAD,Pepperstone MT5
2007.10.29,0.73880,0.74140,0.72970,0.73440,9218,0,0,NZDCAD,Pepperstone MT5
2007.10.30,0.73430,0.73560,0.72620,0.72870,10261,0,0,NZDCAD,Pepperstone MT5
2007.10.31,0.72890,0.73210,0.72620,0.72940,11555,0,0,NZDCAD,Pepperstone MT5
2007.11.01,0.72950,0.73170,0.71990,0.72070,13812,0,0,NZDCAD,Pepperstone MT5
2007.11.02,0.72100,0.72450,0.71020,0.71510,11341,0,0,NZDCAD,Pepperstone MT5
2007.11.05,0.71420,0.71980,0.71030,0.71900,10558,0,0,NZDCAD,Pepperstone MT5
2007.11.06,0.71950,0.72160,0.71400,0.71640,9112,0,0,NZDCAD,Pepperstone MT5
2007.11.07,0.71670,0.72540,0.71050,0.71890,16972,0,0,NZDCAD,Pepperstone MT5
2007.11.08,0.71740,0.72990,0.71280,0.72450,15388,0,0,NZDCAD,Pepperstone MT5
2007.11.09,0.72490,0.72680,0.71660,0.72140,15096,0,0,NZDCAD,Pepperstone MT5
2007.11.12,0.71830,0.72440,0.71140,0.72370,15503,0,0,NZDCAD,Pepperstone MT5
2007.11.13,0.72340,0.73130,0.72070,0.73000,14855,0,0,NZDCAD,Pepperstone MT5
2007.11.14,0.72950,0.74100,0.72750,0.73510,14259,0,0,NZDCAD,Pepperstone MT5
2007.11.15,0.73520,0.74530,0.73110,0.74480,13190,0,0,NZDCAD,Pepperstone MT5
2007.11.16,0.74440,0.74680,0.73260,0.73670,12913,0,0,NZDCAD,Pepperstone MT5
2007.11.19,0.73990,0.74390,0.73590,0.74090,10039,0,0,NZDCAD,Pepperstone MT5
2007.11.20,0.74070,0.75130,0.73770,0.74850,13971,0,0,NZDCAD,Pepperstone MT5
2007.11.21,0.74840,0.74900,0.73490,0.74170,11805,0,0,NZDCAD,Pepperstone MT5
2007.11.22,0.74150,0.74390,0.73650,0.74050,7035,0,0,NZDCAD,Pepperstone MT5
2007.11.23,0.74040,0.75070,0.73780,0.74930,7360,0,0,NZDCAD,Pepperstone MT5
2007.11.26,0.74970,0.75050,0.74060,0.74240,10505,0,0,NZDCAD,Pepperstone MT5
2007.11.27,0.74200,0.75750,0.74150,0.75610,14117,0,0,NZDCAD,Pepperstone MT5
2007.11.28,0.75590,0.76560,0.75380,0.76140,12522,0,0,NZDCAD,Pepperstone MT5
2007.11.29,0.76120,0.77010,0.75870,0.76880,11526,0,0,NZDCAD,Pepperstone MT5
2007.11.30,0.76890,0.77350,0.75890,0.76260,10744,0,0,NZDCAD,Pepperstone MT5
2007.12.03,0.76230,0.76890,0.76090,0.76370,8861,0,0,NZDCAD,Pepperstone MT5
2007.12.04,0.76400,0.77450,0.76200,0.77160,9805,0,0,NZDCAD,Pepperstone MT5
2007.12.05,0.77150,0.78290,0.76730,0.77980,12140,0,0,NZDCAD,Pepperstone MT5
2007.12.06,0.78010,0.78680,0.77820,0.78250,10248,0,0,NZDCAD,Pepperstone MT5
2007.12.07,0.78240,0.78870,0.77600,0.78040,9457,0,0,NZDCAD,Pepperstone MT5
2007.12.10,0.77860,0.78890,0.77660,0.78670,7389,0,0,NZDCAD,Pepperstone MT5
2007.12.11,0.78660,0.79500,0.78230,0.78460,9019,0,0,NZDCAD,Pepperstone MT5
2007.12.12,0.78480,0.80190,0.78400,0.79630,13186,0,0,NZDCAD,Pepperstone MT5
2007.12.13,0.79610,0.79960,0.79070,0.79630,9780,0,0,NZDCAD,Pepperstone MT5
2007.12.14,0.79620,0.79960,0.77670,0.77780,9668,0,0,NZDCAD,Pepperstone MT5
2007.12.17,0.78180,0.78240,0.75400,0.75700,10215,0,0,NZDCAD,Pepperstone MT5
2007.12.18,0.75790,0.76640,0.75530,0.75920,11024,0,0,NZDCAD,Pepperstone MT5
2007.12.19,0.75940,0.76420,0.75460,0.75500,9510,0,0,NZDCAD,Pepperstone MT5
2007.12.20,0.75510,0.76280,0.75180,0.76100,4965,0,0,NZDCAD,Pepperstone MT5
2007.12.21,0.76090,0.76510,0.75540,0.75640,6942,0,0,NZDCAD,Pepperstone MT5
2007.12.24,0.75850,0.75990,0.75380,0.75420,3930,0,0,NZDCAD,Pepperstone MT5
2007.12.26,0.75330,0.75520,0.74940,0.75060,977,0,0,NZDCAD,Pepperstone MT5
2007.12.27,0.75120,0.75770,0.74900,0.75480,2941,0,0,NZDCAD,Pepperstone MT5
2007.12.28,0.75450,0.75930,0.75190,0.75880,2615,0,0,NZDCAD,Pepperstone MT5
2007.12.31,0.75870,0.75930,0.75480,0.75650,704,0,0,NZDCAD,Pepperstone MT5
2008.01.02,0.76390,0.77080,0.76150,0.76880,5838,0,0,NZDCAD,Pepperstone MT5
2008.01.03,0.76900,0.77260,0.75970,0.76090,7756,0,0,NZDCAD,Pepperstone MT5
2008.01.04,0.76110,0.77130,0.75940,0.76800,10266,0,0,NZDCAD,Pepperstone MT5
2008.01.07,0.76740,0.77370,0.76300,0.77220,9693,0,0,NZDCAD,Pepperstone MT5
