date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2007.08.21,0.83520,0.84450,0.83270,0.83950,9524,0,0,NZDCHF,Pepperstone MT5
2007.08.22,0.83940,0.85230,0.83140,0.85150,5751,0,0,NZDCHF,Pepperstone MT5
2007.08.23,0.85070,0.86690,0.85040,0.86200,6153,0,0,NZDCHF,Pepperstone MT5
2007.08.24,0.86110,0.86740,0.85450,0.86620,5591,0,0,NZDCHF,Pepperstone MT5
2007.08.27,0.87210,0.87350,0.85870,0.85940,4519,0,0,NZDCHF,Pepperstone MT5
2007.08.29,0.83610,0.85260,0.82600,0.84970,6263,0,0,NZDCHF,Pepperstone MT5
2007.08.30,0.84920,0.85110,0.83820,0.84530,5548,0,0,NZDCHF,Pepperstone MT5
2007.08.31,0.84520,0.85560,0.84140,0.84800,5657,0,0,NZDCHF,Pepperstone MT5
2007.09.03,0.84910,0.85280,0.84640,0.85070,4062,0,0,NZDCHF,Pepperstone MT5
2007.09.04,0.85060,0.85220,0.84040,0.84300,5754,0,0,NZDCHF,Pepperstone MT5
2007.09.05,0.84270,0.84430,0.82440,0.82730,6187,0,0,NZDCHF,Pepperstone MT5
2007.09.06,0.82780,0.83590,0.82260,0.83200,5899,0,0,NZDCHF,Pepperstone MT5
2007.09.07,0.83190,0.83250,0.81460,0.82100,4385,0,0,NZDCHF,Pepperstone MT5
2007.09.10,0.81250,0.82990,0.80880,0.82420,10738,0,0,NZDCHF,Pepperstone MT5
2007.09.11,0.82470,0.84080,0.82160,0.83920,5552,0,0,NZDCHF,Pepperstone MT5
2007.09.12,0.83910,0.84790,0.83510,0.84390,5827,0,0,NZDCHF,Pepperstone MT5
2007.09.13,0.84400,0.85270,0.83740,0.83960,11116,0,0,NZDCHF,Pepperstone MT5
2007.09.14,0.83900,0.85150,0.83830,0.84840,8303,0,0,NZDCHF,Pepperstone MT5
2007.09.17,0.84670,0.84890,0.83450,0.83800,9871,0,0,NZDCHF,Pepperstone MT5
2007.09.18,0.83790,0.85950,0.83090,0.85590,12282,0,0,NZDCHF,Pepperstone MT5
2007.09.19,0.85610,0.87140,0.85350,0.86990,13661,0,0,NZDCHF,Pepperstone MT5
2007.09.20,0.86960,0.87280,0.86110,0.86520,12870,0,0,NZDCHF,Pepperstone MT5
2007.09.21,0.86530,0.87400,0.86410,0.87200,11024,0,0,NZDCHF,Pepperstone MT5
2007.09.24,0.87200,0.87760,0.86920,0.87570,7329,0,0,NZDCHF,Pepperstone MT5
2007.09.25,0.87530,0.87590,0.85380,0.86540,12551,0,0,NZDCHF,Pepperstone MT5
2007.09.26,0.86570,0.87300,0.86490,0.87020,9774,0,0,NZDCHF,Pepperstone MT5
2007.09.27,0.87030,0.88130,0.86970,0.88040,11128,0,0,NZDCHF,Pepperstone MT5
2007.09.28,0.88010,0.88740,0.87740,0.88140,12485,0,0,NZDCHF,Pepperstone MT5
2007.10.01,0.88220,0.89580,0.88180,0.89530,10804,0,0,NZDCHF,Pepperstone MT5
2007.10.02,0.89550,0.89640,0.88480,0.88760,12309,0,0,NZDCHF,Pepperstone MT5
2007.10.03,0.88800,0.89650,0.88590,0.88970,11824,0,0,NZDCHF,Pepperstone MT5
2007.10.04,0.88960,0.89040,0.88390,0.88640,11686,0,0,NZDCHF,Pepperstone MT5
2007.10.05,0.88600,0.89810,0.88580,0.89610,9440,0,0,NZDCHF,Pepperstone MT5
2007.10.08,0.89750,0.90530,0.89670,0.90300,5298,0,0,NZDCHF,Pepperstone MT5
2007.10.09,0.90330,0.90670,0.89990,0.90550,10011,0,0,NZDCHF,Pepperstone MT5
2007.10.10,0.90540,0.90550,0.89750,0.90090,9660,0,0,NZDCHF,Pepperstone MT5
2007.10.11,0.90080,0.91570,0.90000,0.91080,12953,0,0,NZDCHF,Pepperstone MT5
2007.10.12,0.91070,0.92020,0.90620,0.91970,12621,0,0,NZDCHF,Pepperstone MT5
2007.10.15,0.91450,0.91690,0.89540,0.90040,11121,0,0,NZDCHF,Pepperstone MT5
2007.10.16,0.90050,0.90290,0.87380,0.88410,16415,0,0,NZDCHF,Pepperstone MT5
2007.10.17,0.88390,0.89140,0.87460,0.88660,16592,0,0,NZDCHF,Pepperstone MT5
2007.10.18,0.88650,0.88750,0.87160,0.88020,14047,0,0,NZDCHF,Pepperstone MT5
2007.10.19,0.88000,0.88370,0.86980,0.87110,13851,0,0,NZDCHF,Pepperstone MT5
2007.10.22,0.86420,0.88070,0.85640,0.88040,17421,0,0,NZDCHF,Pepperstone MT5
2007.10.23,0.88070,0.89000,0.87870,0.88640,15228,0,0,NZDCHF,Pepperstone MT5
2007.10.24,0.88620,0.89110,0.87680,0.88460,16621,0,0,NZDCHF,Pepperstone MT5
2007.10.25,0.88450,0.88910,0.88060,0.88670,15064,0,0,NZDCHF,Pepperstone MT5
2007.10.26,0.88690,0.89300,0.88590,0.89130,12322,0,0,NZDCHF,Pepperstone MT5
2007.10.29,0.89410,0.89830,0.89260,0.89690,11347,0,0,NZDCHF,Pepperstone MT5
2007.10.30,0.89680,0.89820,0.88350,0.88570,13966,0,0,NZDCHF,Pepperstone MT5
2007.10.31,0.88620,0.89570,0.88460,0.89520,15499,0,0,NZDCHF,Pepperstone MT5
2007.11.01,0.89530,0.89640,0.87600,0.87750,17424,0,0,NZDCHF,Pepperstone MT5
2007.11.02,0.87740,0.88490,0.87450,0.88250,15727,0,0,NZDCHF,Pepperstone MT5
2007.11.05,0.87890,0.88990,0.87750,0.88860,13134,0,0,NZDCHF,Pepperstone MT5
2007.11.06,0.88890,0.89540,0.88500,0.89420,12103,0,0,NZDCHF,Pepperstone MT5
2007.11.07,0.89440,0.89720,0.86800,0.87170,20185,0,0,NZDCHF,Pepperstone MT5
2007.11.08,0.87120,0.88070,0.86620,0.87500,17880,0,0,NZDCHF,Pepperstone MT5
2007.11.09,0.87510,0.87710,0.85550,0.85710,20359,0,0,NZDCHF,Pepperstone MT5
2007.11.12,0.85360,0.85660,0.83750,0.84210,18106,0,0,NZDCHF,Pepperstone MT5
2007.11.13,0.84200,0.86010,0.84070,0.85820,16541,0,0,NZDCHF,Pepperstone MT5
2007.11.14,0.85770,0.86150,0.85250,0.85470,18191,0,0,NZDCHF,Pepperstone MT5
2007.11.15,0.85450,0.85860,0.84460,0.84620,15746,0,0,NZDCHF,Pepperstone MT5
2007.11.16,0.84600,0.85350,0.84200,0.84620,16277,0,0,NZDCHF,Pepperstone MT5
2007.11.19,0.84750,0.85040,0.83580,0.83920,12300,0,0,NZDCHF,Pepperstone MT5
2007.11.20,0.83900,0.84820,0.83580,0.84630,16510,0,0,NZDCHF,Pepperstone MT5
2007.11.21,0.84620,0.84660,0.82400,0.82840,15163,0,0,NZDCHF,Pepperstone MT5
2007.11.22,0.82850,0.83460,0.82480,0.82860,9093,0,0,NZDCHF,Pepperstone MT5
2007.11.23,0.82900,0.83750,0.82040,0.83580,13447,0,0,NZDCHF,Pepperstone MT5
2007.11.26,0.83950,0.84210,0.82020,0.82310,15091,0,0,NZDCHF,Pepperstone MT5
2007.11.27,0.82270,0.84040,0.82250,0.83900,17080,0,0,NZDCHF,Pepperstone MT5
2007.11.28,0.83890,0.86440,0.83730,0.85820,17986,0,0,NZDCHF,Pepperstone MT5
2007.11.29,0.85810,0.86460,0.85450,0.86140,15831,0,0,NZDCHF,Pepperstone MT5
2007.11.30,0.86190,0.86860,0.85720,0.86360,15450,0,0,NZDCHF,Pepperstone MT5
2007.12.03,0.86220,0.86620,0.85800,0.86120,12370,0,0,NZDCHF,Pepperstone MT5
2007.12.04,0.86130,0.86350,0.84870,0.85160,13997,0,0,NZDCHF,Pepperstone MT5
2007.12.05,0.85140,0.87120,0.84580,0.87040,15421,0,0,NZDCHF,Pepperstone MT5
2007.12.06,0.87060,0.87920,0.86750,0.87640,14005,0,0,NZDCHF,Pepperstone MT5
2007.12.07,0.87630,0.88250,0.87420,0.87540,11670,0,0,NZDCHF,Pepperstone MT5
2007.12.10,0.87350,0.88300,0.87110,0.88150,10064,0,0,NZDCHF,Pepperstone MT5
2007.12.11,0.88120,0.89000,0.87220,0.87420,11555,0,0,NZDCHF,Pepperstone MT5
2007.12.12,0.87410,0.90230,0.87410,0.89130,16156,0,0,NZDCHF,Pepperstone MT5
2007.12.13,0.89150,0.89490,0.88450,0.89070,13336,0,0,NZDCHF,Pepperstone MT5
2007.12.14,0.89080,0.89640,0.88070,0.88160,15098,0,0,NZDCHF,Pepperstone MT5
2007.12.17,0.88660,0.88710,0.86470,0.86660,14205,0,0,NZDCHF,Pepperstone MT5
2007.12.18,0.86670,0.87290,0.86380,0.86940,13198,0,0,NZDCHF,Pepperstone MT5
2007.12.19,0.86950,0.87550,0.86610,0.87060,12067,0,0,NZDCHF,Pepperstone MT5
2007.12.20,0.87070,0.88430,0.86990,0.88220,7138,0,0,NZDCHF,Pepperstone MT5
2007.12.21,0.88210,0.88730,0.87950,0.88100,7900,0,0,NZDCHF,Pepperstone MT5
2007.12.24,0.88290,0.88770,0.88020,0.88650,3808,0,0,NZDCHF,Pepperstone MT5
2007.12.26,0.88230,0.88390,0.87960,0.88220,1190,0,0,NZDCHF,Pepperstone MT5
2007.12.27,0.88270,0.88550,0.87380,0.87770,3687,0,0,NZDCHF,Pepperstone MT5
2007.12.28,0.87760,0.87980,0.86770,0.87060,3422,0,0,NZDCHF,Pepperstone MT5
2007.12.31,0.87140,0.87400,0.86540,0.86820,869,0,0,NZDCHF,Pepperstone MT5
2008.01.02,0.87010,0.87280,0.85930,0.86550,7738,0,0,NZDCHF,Pepperstone MT5
2008.01.03,0.86560,0.86910,0.85390,0.85600,11675,0,0,NZDCHF,Pepperstone MT5
2008.01.04,0.85590,0.86260,0.84610,0.84890,12786,0,0,NZDCHF,Pepperstone MT5
2008.01.07,0.84970,0.85940,0.84540,0.85840,11302,0,0,NZDCHF,Pepperstone MT5
2008.01.08,0.85880,0.86300,0.85300,0.85500,12881,0,0,NZDCHF,Pepperstone MT5
