date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2008.08.07,11655.0,11656.0,11417.0,11431.0,255,0,0,US30,Pepperstone MT5
2008.08.08,11432.0,11760.0,11388.0,11734.0,443,0,0,US30,Pepperstone MT5
2008.08.11,11730.0,11867.0,11676.0,11782.0,331,0,0,US30,Pepperstone MT5
2008.08.12,11782.0,11782.0,11602.0,11642.0,221,0,0,US30,Pepperstone MT5
2008.08.13,11633.0,11634.0,11453.0,11533.0,263,0,0,US30,Pepperstone MT5
2008.08.14,11532.0,11718.0,11451.0,11616.0,451,0,0,US30,Pepperstone MT5
2008.08.15,11611.0,11710.0,11600.0,11660.0,172,0,0,US30,Pepperstone MT5
2008.08.18,11660.0,11690.0,11434.0,11479.0,332,0,0,US30,Pepperstone MT5
2008.08.19,11478.0,11478.0,11319.0,11349.0,190,0,0,US30,Pepperstone MT5
2008.08.20,11346.0,11454.0,11291.0,11417.0,256,0,0,US30,Pepperstone MT5
2008.08.21,11415.0,11476.0,11316.0,11430.0,306,0,0,US30,Pepperstone MT5
2008.08.22,11427.0,11632.0,11427.0,11628.0,210,0,0,US30,Pepperstone MT5
2008.08.25,11626.0,11626.0,11363.0,11386.0,287,0,0,US30,Pepperstone MT5
2008.08.26,11384.0,11436.0,11340.0,11413.0,164,0,0,US30,Pepperstone MT5
2008.08.27,11412.0,11554.0,11382.0,11503.0,254,0,0,US30,Pepperstone MT5
2008.08.28,11500.0,11715.0,11500.0,11715.0,216,0,0,US30,Pepperstone MT5
2008.08.29,11713.0,11713.0,11543.0,11544.0,172,0,0,US30,Pepperstone MT5
2008.09.02,11546.0,11790.0,11472.0,11517.0,608,0,0,US30,Pepperstone MT5
2008.09.03,11506.0,11554.0,11417.0,11533.0,248,0,0,US30,Pepperstone MT5
2008.09.04,11532.0,11532.0,11176.0,11188.0,369,0,0,US30,Pepperstone MT5
2008.09.05,11186.0,11245.0,11038.0,11221.0,380,0,0,US30,Pepperstone MT5
2008.09.08,11225.0,11571.0,11225.0,11511.0,407,0,0,US30,Pepperstone MT5
2008.09.09,11515.0,11578.0,11231.0,11231.0,411,0,0,US30,Pepperstone MT5
2008.09.10,11234.0,11381.0,11215.0,11269.0,298,0,0,US30,Pepperstone MT5
2008.09.11,11264.0,11446.0,11099.0,11434.0,525,0,0,US30,Pepperstone MT5
2008.09.12,11429.0,11460.0,11280.0,11422.0,354,0,0,US30,Pepperstone MT5
2008.09.15,11416.0,11416.0,10918.0,10918.0,499,0,0,US30,Pepperstone MT5
2008.09.16,10906.0,11093.0,10743.0,11059.0,548,0,0,US30,Pepperstone MT5
2008.09.17,11057.0,11057.0,10596.0,10610.0,476,0,0,US30,Pepperstone MT5
2008.09.18,10609.0,11076.0,10459.0,11020.0,824,0,0,US30,Pepperstone MT5
2008.09.19,11028.0,11483.0,11027.0,11388.0,553,0,0,US30,Pepperstone MT5
2008.09.22,11394.0,11395.0,10992.0,11016.0,429,0,0,US30,Pepperstone MT5
2008.09.23,11016.0,11143.0,10834.0,10854.0,457,0,0,US30,Pepperstone MT5
2008.09.24,10850.0,10928.0,10754.0,10825.0,324,0,0,US30,Pepperstone MT5
2008.09.25,10827.0,11129.0,10827.0,11022.0,410,0,0,US30,Pepperstone MT5
2008.09.26,11019.0,11168.0,10869.0,11143.0,475,0,0,US30,Pepperstone MT5
2008.09.29,11140.0,11140.0,10365.0,10365.0,776,0,0,US30,Pepperstone MT5
2008.09.30,10372.0,10869.0,10371.0,10851.0,518,0,0,US30,Pepperstone MT5
2008.10.01,10847.0,10883.0,10632.0,10831.0,487,0,0,US30,Pepperstone MT5
2008.10.02,10826.0,10826.0,10440.0,10483.0,430,0,0,US30,Pepperstone MT5
2008.10.03,10484.0,10796.0,10310.0,10325.0,814,0,0,US30,Pepperstone MT5
2008.10.06,10323.0,10323.0,9525.0,9956.0,1230,0,0,US30,Pepperstone MT5
2008.10.07,9955.0,10124.0,9437.0,9447.0,867,0,0,US30,Pepperstone MT5
2008.10.08,9437.0,9628.0,9195.0,9258.0,688,0,0,US30,Pepperstone MT5
2008.10.09,9262.0,9448.0,8579.0,8579.0,1056,0,0,US30,Pepperstone MT5
2008.10.10,8569.0,8901.0,7883.0,8451.0,1919,0,0,US30,Pepperstone MT5
2008.10.13,8462.0,9428.0,8462.0,9388.0,1007,0,0,US30,Pepperstone MT5
2008.10.14,9389.0,9794.0,9085.0,9311.0,1341,0,0,US30,Pepperstone MT5
2008.10.15,9302.0,9309.0,8530.0,8578.0,835,0,0,US30,Pepperstone MT5
2008.10.16,8577.0,9013.0,8198.0,8979.0,1229,0,0,US30,Pepperstone MT5
2008.10.17,8975.0,9281.0,8718.0,8852.0,1004,0,0,US30,Pepperstone MT5
2008.10.20,8852.0,9267.0,8852.0,9265.0,418,0,0,US30,Pepperstone MT5
2008.10.21,9263.0,9285.0,9004.0,9034.0,334,0,0,US30,Pepperstone MT5
2008.10.22,9028.0,9028.0,8335.0,8519.0,878,0,0,US30,Pepperstone MT5
2008.10.23,8520.0,8796.0,8244.0,8691.0,934,0,0,US30,Pepperstone MT5
2008.10.24,8683.0,8683.0,8187.0,8379.0,689,0,0,US30,Pepperstone MT5
2008.10.27,8376.0,8599.0,8144.0,8176.0,711,0,0,US30,Pepperstone MT5
2008.10.28,8179.0,9082.0,8175.0,9065.0,929,0,0,US30,Pepperstone MT5
2008.10.29,9062.0,9363.0,8890.0,8991.0,876,0,0,US30,Pepperstone MT5
2008.10.30,9005.0,9266.0,8977.0,9181.0,403,0,0,US30,Pepperstone MT5
2008.10.31,9179.0,9454.0,9119.0,9325.0,525,0,0,US30,Pepperstone MT5
2008.11.03,9326.0,9411.0,9255.0,9320.0,307,0,0,US30,Pepperstone MT5
2008.11.04,9324.0,9654.0,9324.0,9625.0,360,0,0,US30,Pepperstone MT5
2008.11.05,9617.0,9617.0,9111.0,9139.0,535,0,0,US30,Pepperstone MT5
2008.11.06,9134.0,9155.0,8637.0,8696.0,599,0,0,US30,Pepperstone MT5
2008.11.07,8696.0,8962.0,8696.0,8944.0,285,0,0,US30,Pepperstone MT5
2008.11.10,8947.0,9160.0,8760.0,8871.0,725,0,0,US30,Pepperstone MT5
2008.11.11,8864.0,8868.0,8561.0,8694.0,445,0,0,US30,Pepperstone MT5
2008.11.12,8685.0,8685.0,8265.0,8283.0,439,0,0,US30,Pepperstone MT5
2008.11.13,8281.0,8877.0,7965.0,8835.0,1271,0,0,US30,Pepperstone MT5
2008.11.14,8822.0,8923.0,8470.0,8497.0,582,0,0,US30,Pepperstone MT5
2008.11.17,8495.0,8571.0,8247.0,8274.0,428,0,0,US30,Pepperstone MT5
2008.11.18,8273.0,8478.0,8105.0,8425.0,595,0,0,US30,Pepperstone MT5
2008.11.19,8421.0,8505.0,7987.0,7997.0,613,0,0,US30,Pepperstone MT5
2008.11.20,7996.0,8187.0,7507.0,7552.0,917,0,0,US30,Pepperstone MT5
2008.11.21,7552.0,8072.0,7449.0,8046.0,753,0,0,US30,Pepperstone MT5
2008.11.24,8048.0,8599.0,8048.0,8443.0,708,0,0,US30,Pepperstone MT5
2008.11.25,8445.0,8607.0,8281.0,8479.0,619,0,0,US30,Pepperstone MT5
2008.11.26,8464.0,8727.0,8311.0,8727.0,570,0,0,US30,Pepperstone MT5
2008.11.28,8725.0,8831.0,8673.0,8829.0,213,0,0,US30,Pepperstone MT5
2008.12.01,8827.0,8827.0,8141.0,8149.0,695,0,0,US30,Pepperstone MT5
2008.12.02,8154.0,8437.0,8144.0,8419.0,322,0,0,US30,Pepperstone MT5
2008.12.03,8409.0,8624.0,8234.0,8592.0,598,0,0,US30,Pepperstone MT5
2008.12.04,8587.0,8632.0,8259.0,8376.0,536,0,0,US30,Pepperstone MT5
2008.12.05,8376.0,8686.0,8119.0,8635.0,876,0,0,US30,Pepperstone MT5
2008.12.08,8638.0,9026.0,8637.0,8934.0,483,0,0,US30,Pepperstone MT5
2008.12.09,8934.0,8934.0,8652.0,8691.0,322,0,0,US30,Pepperstone MT5
2008.12.10,8693.0,8879.0,8646.0,8761.0,399,0,0,US30,Pepperstone MT5
2008.12.11,8750.0,8809.0,8513.0,8565.0,408,0,0,US30,Pepperstone MT5
2008.12.12,8563.0,8683.0,8348.0,8630.0,604,0,0,US30,Pepperstone MT5
2008.12.15,8629.0,8676.0,8469.0,8565.0,351,0,0,US30,Pepperstone MT5
2008.12.16,8566.0,8959.0,8566.0,8924.0,429,0,0,US30,Pepperstone MT5
2008.12.17,8922.0,8961.0,8778.0,8824.0,269,0,0,US30,Pepperstone MT5
2008.12.18,8824.0,8883.0,8527.0,8605.0,494,0,0,US30,Pepperstone MT5
2008.12.19,8607.0,8787.0,8550.0,8579.0,447,0,0,US30,Pepperstone MT5
2008.12.22,8573.0,8601.0,8372.0,8520.0,406,0,0,US30,Pepperstone MT5
2008.12.23,8519.0,8604.0,8391.0,8419.0,327,0,0,US30,Pepperstone MT5
2008.12.24,8417.0,8499.0,8417.0,8468.0,114,0,0,US30,Pepperstone MT5
2008.12.26,8469.0,8533.0,8462.0,8516.0,96,0,0,US30,Pepperstone MT5
2008.12.29,8516.0,8531.0,8364.0,8484.0,303,0,0,US30,Pepperstone MT5
2008.12.30,8488.0,8675.0,8488.0,8668.0,195,0,0,US30,Pepperstone MT5
2008.12.31,8666.0,8843.0,8665.0,8776.0,247,0,0,US30,Pepperstone MT5
2009.01.02,8772.0,9065.0,8761.0,9035.0,346,0,0,US30,Pepperstone MT5
2009.01.05,9027.0,9034.0,8892.0,8953.0,211,0,0,US30,Pepperstone MT5
2009.01.06,8955.0,9088.0,8941.0,9015.0,235,0,0,US30,Pepperstone MT5
2009.01.07,8997.0,8997.0,8720.0,8770.0,328,0,0,US30,Pepperstone MT5
2009.01.08,8770.0,8770.0,8651.0,8742.0,211,0,0,US30,Pepperstone MT5
2009.01.09,8739.0,8770.0,8577.0,8599.0,247,0,0,US30,Pepperstone MT5
2009.01.12,8599.0,8603.0,8421.0,8474.0,240,0,0,US30,Pepperstone MT5
2009.01.13,8475.0,8522.0,8377.0,8449.0,265,0,0,US30,Pepperstone MT5
2009.01.14,8446.0,8446.0,8141.0,8200.0,365,0,0,US30,Pepperstone MT5
2009.01.15,8196.0,8286.0,7995.0,8212.0,567,0,0,US30,Pepperstone MT5
2009.01.16,8216.0,8341.0,8109.0,8281.0,400,0,0,US30,Pepperstone MT5
2009.01.20,8280.0,8292.0,7940.0,7949.0,374,0,0,US30,Pepperstone MT5
2009.01.21,7949.0,8244.0,7936.0,8228.0,338,0,0,US30,Pepperstone MT5
2009.01.22,8224.0,8225.0,7957.0,8123.0,436,0,0,US30,Pepperstone MT5
2009.01.23,8109.0,8153.0,7909.0,8078.0,458,0,0,US30,Pepperstone MT5
2009.01.26,8078.0,8232.0,8023.0,8116.0,381,0,0,US30,Pepperstone MT5
2009.01.27,8117.0,8226.0,8083.0,8175.0,229,0,0,US30,Pepperstone MT5
2009.01.28,8176.0,8406.0,8176.0,8375.0,262,0,0,US30,Pepperstone MT5
2009.01.29,8373.0,8373.0,8138.0,8149.0,247,0,0,US30,Pepperstone MT5
2009.01.30,8149.0,8196.0,7962.0,8001.0,321,0,0,US30,Pepperstone MT5
2009.02.02,8001.0,8001.0,7867.0,7937.0,205,0,0,US30,Pepperstone MT5
2009.02.03,7937.0,8112.0,7906.0,8078.0,272,0,0,US30,Pepperstone MT5
2009.02.04,8070.0,8162.0,7929.0,7957.0,354,0,0,US30,Pepperstone MT5
2009.02.05,7955.0,8108.0,7845.0,8063.0,419,0,0,US30,Pepperstone MT5
2009.02.06,8056.0,8312.0,8052.0,8281.0,296,0,0,US30,Pepperstone MT5
2009.02.09,8281.0,8315.0,8196.0,8271.0,229,0,0,US30,Pepperstone MT5
2009.02.10,8269.0,8269.0,7849.0,7889.0,461,0,0,US30,Pepperstone MT5
2009.02.11,7887.0,7984.0,7852.0,7940.0,212,0,0,US30,Pepperstone MT5
2009.02.12,7932.0,7939.0,7694.0,7933.0,490,0,0,US30,Pepperstone MT5
2009.02.13,7933.0,7971.0,7840.0,7850.0,180,0,0,US30,Pepperstone MT5
2009.02.17,7846.0,7846.0,7551.0,7553.0,298,0,0,US30,Pepperstone MT5
2009.02.18,7546.0,7618.0,7480.0,7556.0,267,0,0,US30,Pepperstone MT5
2009.02.19,7555.0,7615.0,7448.0,7466.0,246,0,0,US30,Pepperstone MT5
2009.02.20,7461.0,7469.0,7249.0,7366.0,346,0,0,US30,Pepperstone MT5
2009.02.23,7366.0,7441.0,7106.0,7115.0,420,0,0,US30,Pepperstone MT5
2009.02.24,7115.0,7379.0,7114.0,7351.0,295,0,0,US30,Pepperstone MT5
2009.02.25,7350.0,7405.0,7157.0,7271.0,418,0,0,US30,Pepperstone MT5
2009.02.26,7269.0,7402.0,7174.0,7182.0,370,0,0,US30,Pepperstone MT5
2009.02.27,7181.0,7195.0,7034.0,7063.0,205,0,0,US30,Pepperstone MT5
2009.03.02,7056.0,7059.0,6755.0,6763.0,316,0,0,US30,Pepperstone MT5
2009.03.03,6765.0,6855.0,6706.0,6726.0,260,0,0,US30,Pepperstone MT5
