date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,1.23070,1.23490,1.22650,1.23170,9466,50,0,USDCHF,Pepperstone MT5
2006.06.17,1.23170,1.23170,1.23080,1.23140,74,50,0,USDCHF,Pepperstone MT5
2006.06.19,1.23100,1.24360,1.23030,1.24070,9593,50,0,USDCHF,Pepperstone MT5
2006.06.20,1.24080,1.24420,1.23460,1.23880,9536,50,0,USDCHF,Pepperstone MT5
2006.06.21,1.23880,1.23940,1.23160,1.23420,9263,50,0,USDCHF,Pepperstone MT5
2006.06.22,1.23420,1.24480,1.23160,1.24260,9901,50,0,USDCHF,Pepperstone MT5
2006.06.23,1.24270,1.25320,1.24140,1.24920,9602,50,0,USDCHF,Pepperstone MT5
2006.06.24,1.24940,1.25000,1.24760,1.24890,128,50,0,USDCHF,Pepperstone MT5
2006.06.26,1.24910,1.24980,1.24060,1.24280,8993,50,0,USDCHF,Pepperstone MT5
2006.06.27,1.24280,1.24740,1.23980,1.24380,9498,50,0,USDCHF,Pepperstone MT5
2006.06.28,1.24370,1.24960,1.24220,1.24570,9217,50,0,USDCHF,Pepperstone MT5
2006.06.29,1.24570,1.25040,1.23560,1.23640,10023,50,0,USDCHF,Pepperstone MT5
2006.06.30,1.23640,1.23760,1.22170,1.22310,10301,50,0,USDCHF,Pepperstone MT5
2006.07.01,1.22280,1.22470,1.22260,1.22300,105,50,0,USDCHF,Pepperstone MT5
2006.07.03,1.22350,1.22810,1.22170,1.22400,8797,50,0,USDCHF,Pepperstone MT5
2006.07.04,1.22410,1.22670,1.22260,1.22460,9302,50,0,USDCHF,Pepperstone MT5
2006.07.05,1.22500,1.23610,1.22020,1.23230,9691,50,0,USDCHF,Pepperstone MT5
2006.07.06,1.23220,1.23310,1.22640,1.22790,9574,50,0,USDCHF,Pepperstone MT5
2006.07.07,1.22780,1.23000,1.21850,1.22310,9112,50,0,USDCHF,Pepperstone MT5
2006.07.08,1.22340,1.22430,1.22280,1.22430,80,50,0,USDCHF,Pepperstone MT5
2006.07.10,1.22260,1.23280,1.22220,1.23080,8884,50,0,USDCHF,Pepperstone MT5
2006.07.11,1.23060,1.23340,1.22530,1.22560,9189,50,0,USDCHF,Pepperstone MT5
2006.07.12,1.22570,1.23750,1.22500,1.23380,9600,50,0,USDCHF,Pepperstone MT5
2006.07.13,1.23380,1.23490,1.22740,1.22970,9590,50,0,USDCHF,Pepperstone MT5
2006.07.14,1.22970,1.23800,1.22830,1.23430,9894,50,0,USDCHF,Pepperstone MT5
2006.07.15,1.23430,1.23470,1.23370,1.23430,46,50,0,USDCHF,Pepperstone MT5
2006.07.17,1.23480,1.24970,1.23320,1.24820,8889,50,0,USDCHF,Pepperstone MT5
2006.07.18,1.24800,1.25580,1.24440,1.25290,9656,50,0,USDCHF,Pepperstone MT5
2006.07.19,1.25290,1.25970,1.24490,1.24880,10230,50,0,USDCHF,Pepperstone MT5
2006.07.20,1.24870,1.24920,1.24180,1.24420,9526,50,0,USDCHF,Pepperstone MT5
2006.07.21,1.24430,1.24470,1.23570,1.23660,9560,50,0,USDCHF,Pepperstone MT5
2006.07.22,1.23650,1.23680,1.23500,1.23580,147,50,0,USDCHF,Pepperstone MT5
2006.07.24,1.23570,1.24870,1.23550,1.24570,9309,50,0,USDCHF,Pepperstone MT5
2006.07.25,1.24580,1.25480,1.24210,1.25360,10022,50,0,USDCHF,Pepperstone MT5
2006.07.26,1.25350,1.25440,1.24040,1.24060,9407,50,0,USDCHF,Pepperstone MT5
2006.07.27,1.24040,1.24190,1.23070,1.23850,10199,50,0,USDCHF,Pepperstone MT5
2006.07.28,1.23860,1.24270,1.23100,1.23250,9969,50,0,USDCHF,Pepperstone MT5
2006.07.29,1.23250,1.23310,1.23100,1.23260,67,50,0,USDCHF,Pepperstone MT5
2006.07.31,1.23170,1.23520,1.22790,1.23130,9270,50,0,USDCHF,Pepperstone MT5
2006.08.01,1.23130,1.23690,1.22550,1.22590,9860,50,0,USDCHF,Pepperstone MT5
2006.08.02,1.22610,1.23250,1.22530,1.23110,9906,50,0,USDCHF,Pepperstone MT5
2006.08.03,1.23100,1.23580,1.22660,1.23120,10295,50,0,USDCHF,Pepperstone MT5
2006.08.04,1.23120,1.23510,1.21920,1.22350,9702,50,0,USDCHF,Pepperstone MT5
2006.08.05,1.22350,1.22420,1.22300,1.22380,105,50,0,USDCHF,Pepperstone MT5
2006.08.07,1.22140,1.22730,1.22020,1.22570,8665,50,0,USDCHF,Pepperstone MT5
2006.08.08,1.22560,1.22880,1.22010,1.22540,9660,50,0,USDCHF,Pepperstone MT5
2006.08.09,1.22560,1.23360,1.22060,1.22660,9528,50,0,USDCHF,Pepperstone MT5
2006.08.10,1.22660,1.23880,1.21940,1.23410,10121,50,0,USDCHF,Pepperstone MT5
2006.08.11,1.23400,1.24390,1.23340,1.24330,9951,50,0,USDCHF,Pepperstone MT5
2006.08.12,1.24290,1.24460,1.24290,1.24350,70,50,0,USDCHF,Pepperstone MT5
2006.08.14,1.24230,1.24400,1.23760,1.24240,8719,50,0,USDCHF,Pepperstone MT5
2006.08.15,1.24260,1.24470,1.23400,1.23710,9386,50,0,USDCHF,Pepperstone MT5
2006.08.16,1.23700,1.23840,1.22600,1.22980,9118,50,0,USDCHF,Pepperstone MT5
2006.08.17,1.22980,1.23480,1.22370,1.23330,9076,50,0,USDCHF,Pepperstone MT5
2006.08.18,1.23310,1.23820,1.22910,1.23290,9047,50,0,USDCHF,Pepperstone MT5
2006.08.19,1.23320,1.23390,1.23230,1.23360,54,50,0,USDCHF,Pepperstone MT5
2006.08.21,1.23290,1.23300,1.21820,1.22480,9127,50,0,USDCHF,Pepperstone MT5
2006.08.22,1.22460,1.23660,1.22370,1.23430,9776,50,0,USDCHF,Pepperstone MT5
2006.08.23,1.23450,1.23730,1.22920,1.23530,9481,50,0,USDCHF,Pepperstone MT5
2006.08.24,1.23530,1.24020,1.23070,1.23900,9621,50,0,USDCHF,Pepperstone MT5
2006.08.25,1.23890,1.24260,1.23550,1.23970,9566,50,0,USDCHF,Pepperstone MT5
2006.08.26,1.23980,1.24090,1.23950,1.23990,104,50,0,USDCHF,Pepperstone MT5
2006.08.28,1.23920,1.23990,1.23230,1.23710,8342,50,0,USDCHF,Pepperstone MT5
2006.08.29,1.23730,1.23820,1.22690,1.22920,9607,50,0,USDCHF,Pepperstone MT5
2006.08.30,1.22910,1.23120,1.22650,1.22760,9297,50,0,USDCHF,Pepperstone MT5
2006.08.31,1.22780,1.23470,1.22270,1.23060,9836,50,0,USDCHF,Pepperstone MT5
2006.09.01,1.23040,1.23910,1.22830,1.23020,9734,50,0,USDCHF,Pepperstone MT5
2006.09.02,1.23010,1.23100,1.22980,1.23020,45,50,0,USDCHF,Pepperstone MT5
2006.09.04,1.22940,1.23110,1.22720,1.22810,8106,50,0,USDCHF,Pepperstone MT5
2006.09.05,1.22810,1.23690,1.22770,1.23380,9353,50,0,USDCHF,Pepperstone MT5
2006.09.06,1.23370,1.24040,1.23240,1.23560,9706,50,0,USDCHF,Pepperstone MT5
2006.09.07,1.23550,1.24660,1.23270,1.24290,9981,50,0,USDCHF,Pepperstone MT5
2006.09.08,1.24300,1.25100,1.24180,1.24770,9661,50,0,USDCHF,Pepperstone MT5
2006.09.09,1.24770,1.24830,1.24630,1.24740,227,50,0,USDCHF,Pepperstone MT5
2006.09.11,1.24790,1.25040,1.23940,1.24470,8741,50,0,USDCHF,Pepperstone MT5
2006.09.12,1.24460,1.25220,1.24020,1.25090,9557,50,0,USDCHF,Pepperstone MT5
2006.09.13,1.25090,1.25520,1.24790,1.25100,9496,50,0,USDCHF,Pepperstone MT5
2006.09.14,1.25110,1.25300,1.24340,1.25170,9524,50,0,USDCHF,Pepperstone MT5
2006.09.15,1.25170,1.26260,1.25020,1.25530,9533,50,0,USDCHF,Pepperstone MT5
2006.09.16,1.25530,1.25630,1.25460,1.25530,79,50,0,USDCHF,Pepperstone MT5
2006.09.18,1.25790,1.25870,1.25000,1.25070,8782,50,0,USDCHF,Pepperstone MT5
