date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,114.760,115.220,114.540,115.190,9304,30,0,USDJPY,Pepperstone MT5
2006.06.17,115.180,115.210,115.160,115.190,63,30,0,USDJPY,Pepperstone MT5
2006.06.19,115.230,115.790,115.140,115.550,9199,30,0,USDJPY,Pepperstone MT5
2006.06.20,115.540,115.650,114.620,114.990,9425,30,0,USDJPY,Pepperstone MT5
2006.06.21,114.960,115.250,114.360,114.900,9245,30,0,USDJPY,Pepperstone MT5
2006.06.22,114.920,116.310,114.670,116.120,9518,30,0,USDJPY,Pepperstone MT5
2006.06.23,116.130,116.610,115.760,116.590,9370,30,0,USDJPY,Pepperstone MT5
2006.06.24,116.580,116.600,116.410,116.450,132,30,0,USDJPY,Pepperstone MT5
2006.06.26,116.490,116.570,116.090,116.250,8276,30,0,USDJPY,Pepperstone MT5
2006.06.27,116.270,116.720,115.860,116.290,9346,30,0,USDJPY,Pepperstone MT5
2006.06.28,116.290,116.510,116.050,116.480,9070,30,0,USDJPY,Pepperstone MT5
2006.06.29,116.490,116.650,114.840,115.190,9619,30,0,USDJPY,Pepperstone MT5
2006.06.30,115.200,115.250,114.170,114.440,9957,30,0,USDJPY,Pepperstone MT5
2006.07.01,114.430,114.530,114.330,114.430,71,30,0,USDJPY,Pepperstone MT5
2006.07.03,114.330,114.970,114.090,114.680,8946,30,0,USDJPY,Pepperstone MT5
2006.07.04,114.700,114.840,114.370,114.820,9013,30,0,USDJPY,Pepperstone MT5
2006.07.05,114.810,115.810,114.570,115.730,10251,30,0,USDJPY,Pepperstone MT5
2006.07.06,115.750,115.750,114.880,115.130,10113,30,0,USDJPY,Pepperstone MT5
2006.07.07,115.130,115.320,113.820,114.040,9720,30,0,USDJPY,Pepperstone MT5
2006.07.08,114.030,114.180,113.970,113.970,55,30,0,USDJPY,Pepperstone MT5
2006.07.10,113.880,114.290,113.440,114.270,8757,30,0,USDJPY,Pepperstone MT5
2006.07.11,114.290,114.710,113.910,114.250,9695,30,0,USDJPY,Pepperstone MT5
2006.07.12,114.250,115.740,114.170,115.500,10115,30,0,USDJPY,Pepperstone MT5
2006.07.13,115.520,115.540,114.970,115.390,9533,30,0,USDJPY,Pepperstone MT5
2006.07.14,115.400,116.420,115.330,116.150,10586,30,0,USDJPY,Pepperstone MT5
2006.07.15,116.130,116.140,116.070,116.110,39,30,0,USDJPY,Pepperstone MT5
2006.07.17,116.380,117.310,116.140,117.240,8692,30,0,USDJPY,Pepperstone MT5
2006.07.18,117.240,117.610,116.680,117.350,9725,30,0,USDJPY,Pepperstone MT5
2006.07.19,117.320,117.890,116.640,116.900,9845,30,0,USDJPY,Pepperstone MT5
2006.07.20,116.900,117.090,116.540,117.060,9392,30,0,USDJPY,Pepperstone MT5
2006.07.21,117.050,117.150,115.820,116.190,9583,30,0,USDJPY,Pepperstone MT5
2006.07.22,116.180,116.200,116.060,116.060,133,30,0,USDJPY,Pepperstone MT5
2006.07.24,116.170,116.950,116.150,116.680,9294,30,0,USDJPY,Pepperstone MT5
2006.07.25,116.670,117.420,116.520,117.240,9564,30,0,USDJPY,Pepperstone MT5
2006.07.26,117.240,117.270,116.170,116.280,9838,30,0,USDJPY,Pepperstone MT5
2006.07.27,116.270,116.450,115.290,115.790,10166,30,0,USDJPY,Pepperstone MT5
2006.07.28,115.800,116.040,114.610,114.650,9896,30,0,USDJPY,Pepperstone MT5
2006.07.29,114.640,114.750,114.610,114.750,70,30,0,USDJPY,Pepperstone MT5
2006.07.31,114.680,114.860,114.170,114.670,8972,30,0,USDJPY,Pepperstone MT5
2006.08.01,114.680,115.400,114.480,114.570,10323,30,0,USDJPY,Pepperstone MT5
2006.08.02,114.570,114.900,114.200,114.690,9881,30,0,USDJPY,Pepperstone MT5
2006.08.03,114.690,115.320,114.530,115.010,10038,30,0,USDJPY,Pepperstone MT5
2006.08.04,115.000,115.570,113.970,114.450,9829,30,0,USDJPY,Pepperstone MT5
2006.08.05,114.450,114.480,114.420,114.450,52,30,0,USDJPY,Pepperstone MT5
2006.08.07,114.230,115.170,114.160,115.140,8642,30,0,USDJPY,Pepperstone MT5
2006.08.08,115.140,115.390,114.560,115.300,9587,30,0,USDJPY,Pepperstone MT5
2006.08.09,115.310,115.760,114.780,115.390,9688,30,0,USDJPY,Pepperstone MT5
2006.08.10,115.390,115.640,114.660,115.260,10639,30,0,USDJPY,Pepperstone MT5
2006.08.11,115.260,116.460,115.110,116.310,10164,30,0,USDJPY,Pepperstone MT5
2006.08.12,116.310,116.400,116.230,116.400,69,30,0,USDJPY,Pepperstone MT5
2006.08.14,116.370,116.770,116.160,116.740,8320,30,0,USDJPY,Pepperstone MT5
2006.08.15,116.760,116.760,115.840,116.060,9641,30,0,USDJPY,Pepperstone MT5
2006.08.16,116.060,116.390,115.630,115.860,9183,30,0,USDJPY,Pepperstone MT5
2006.08.17,115.860,116.200,115.180,115.990,9922,30,0,USDJPY,Pepperstone MT5
2006.08.18,116.000,116.110,115.450,115.810,9626,30,0,USDJPY,Pepperstone MT5
2006.08.19,115.810,115.850,115.760,115.810,56,30,0,USDJPY,Pepperstone MT5
2006.08.21,115.760,115.990,115.340,115.850,8677,30,0,USDJPY,Pepperstone MT5
2006.08.22,115.860,116.860,115.820,116.530,9915,30,0,USDJPY,Pepperstone MT5
2006.08.23,116.530,116.660,116.080,116.430,9079,30,0,USDJPY,Pepperstone MT5
2006.08.24,116.420,116.610,116.150,116.540,9266,30,0,USDJPY,Pepperstone MT5
2006.08.25,116.530,117.430,116.420,117.280,9692,30,0,USDJPY,Pepperstone MT5
2006.08.26,117.280,117.360,117.220,117.230,128,30,0,USDJPY,Pepperstone MT5
2006.08.28,117.290,117.350,116.860,117.220,8807,30,0,USDJPY,Pepperstone MT5
2006.08.29,117.220,117.270,116.510,116.640,9773,30,0,USDJPY,Pepperstone MT5
2006.08.30,116.650,117.300,116.580,117.180,9760,30,0,USDJPY,Pepperstone MT5
2006.08.31,117.180,117.510,116.900,117.410,10257,30,0,USDJPY,Pepperstone MT5
2006.09.01,117.390,117.500,117.050,117.100,9415,30,0,USDJPY,Pepperstone MT5
2006.09.02,117.100,117.170,116.940,117.100,69,30,0,USDJPY,Pepperstone MT5
2006.09.04,116.950,117.050,115.880,116.090,8450,30,0,USDJPY,Pepperstone MT5
2006.09.05,116.080,116.210,115.570,116.070,9638,30,0,USDJPY,Pepperstone MT5
2006.09.06,116.070,116.920,115.950,116.660,9945,30,0,USDJPY,Pepperstone MT5
2006.09.07,116.670,117.090,115.960,116.390,9848,30,0,USDJPY,Pepperstone MT5
2006.09.08,116.420,117.050,116.090,116.960,10038,30,0,USDJPY,Pepperstone MT5
2006.09.09,116.980,116.980,116.860,116.910,69,30,0,USDJPY,Pepperstone MT5
2006.09.11,116.950,117.800,116.610,117.680,9034,30,0,USDJPY,Pepperstone MT5
2006.09.12,117.680,118.170,117.370,117.960,9778,30,0,USDJPY,Pepperstone MT5
2006.09.13,117.950,118.040,117.350,117.680,9641,30,0,USDJPY,Pepperstone MT5
2006.09.14,117.690,117.790,117.300,117.600,9855,30,0,USDJPY,Pepperstone MT5
2006.09.15,117.600,118.130,117.350,117.550,9687,30,0,USDJPY,Pepperstone MT5
2006.09.16,117.540,117.610,117.510,117.550,54,30,0,USDJPY,Pepperstone MT5
2006.09.18,117.470,118.310,117.460,117.930,9210,30,0,USDJPY,Pepperstone MT5
2006.09.19,117.940,118.140,116.990,117.750,10022,30,0,USDJPY,Pepperstone MT5
2006.09.20,117.750,117.790,116.970,117.470,9894,30,0,USDJPY,Pepperstone MT5
2006.09.21,117.470,117.500,116.220,116.420,10136,30,0,USDJPY,Pepperstone MT5
2006.09.22,116.390,116.640,116.070,116.560,9711,30,0,USDJPY,Pepperstone MT5
2006.09.23,116.560,116.600,116.540,116.580,39,30,0,USDJPY,Pepperstone MT5
2006.09.25,116.460,116.770,116.120,116.590,10444,30,0,USDJPY,Pepperstone MT5
2006.09.26,116.600,117.240,116.260,117.110,12918,30,0,USDJPY,Pepperstone MT5
2006.09.27,117.080,117.640,116.890,117.480,12413,30,0,USDJPY,Pepperstone MT5
2006.09.28,117.490,117.930,117.330,117.810,11758,30,0,USDJPY,Pepperstone MT5
2006.09.29,117.800,118.190,117.520,118.170,11760,30,0,USDJPY,Pepperstone MT5
2006.10.02,118.090,118.390,117.530,117.630,15701,30,0,USDJPY,Pepperstone MT5
2006.10.03,117.620,117.960,117.380,117.910,12542,30,0,USDJPY,Pepperstone MT5
2006.10.04,117.920,118.280,117.820,117.910,11453,30,0,USDJPY,Pepperstone MT5
2006.10.05,117.900,117.920,117.450,117.690,9368,30,0,USDJPY,Pepperstone MT5
2006.10.06,117.700,119.080,117.640,119.000,7075,30,0,USDJPY,Pepperstone MT5
2006.10.09,118.960,119.280,118.810,119.090,5886,30,0,USDJPY,Pepperstone MT5
2006.10.10,119.110,119.770,118.890,119.720,6905,30,0,USDJPY,Pepperstone MT5
2006.10.11,119.710,119.820,119.330,119.770,6361,30,0,USDJPY,Pepperstone MT5
