date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,575.85,584.97,566.83,579.55,5716,0,0,XAUUSD,Pepperstone MT5
2006.06.19,579.91,580.22,563.67,564.75,4933,0,0,XAUUSD,Pepperstone MT5
2006.06.20,564.65,577.07,560.71,575.25,3626,0,0,XAUUSD,Pepperstone MT5
2006.06.21,575.11,590.40,570.15,587.04,3434,0,0,XAUUSD,Pepperstone MT5
2006.06.22,587.52,594.70,579.15,580.35,4620,0,0,XAUUSD,Pepperstone MT5
2006.06.23,580.25,585.79,571.52,583.02,4574,0,0,XAUUSD,Pepperstone MT5
2006.06.26,583.05,586.79,577.10,584.75,4120,0,0,XAUUSD,Pepperstone MT5
2006.06.27,584.85,595.75,578.75,578.75,5175,0,0,XAUUSD,Pepperstone MT5
2006.06.28,578.45,586.02,576.37,579.65,4643,0,0,XAUUSD,Pepperstone MT5
2006.06.29,579.26,600.22,578.45,599.12,4735,0,0,XAUUSD,Pepperstone MT5
2006.06.30,598.95,616.20,596.88,615.29,4688,0,0,XAUUSD,Pepperstone MT5
2006.07.03,613.95,626.57,613.00,623.65,3286,0,0,XAUUSD,Pepperstone MT5
2006.07.04,623.50,623.80,616.38,621.85,1464,0,0,XAUUSD,Pepperstone MT5
2006.07.05,621.80,630.10,617.51,627.74,5297,0,0,XAUUSD,Pepperstone MT5
2006.07.06,627.65,634.77,621.52,632.35,5017,0,0,XAUUSD,Pepperstone MT5
2006.07.07,632.65,637.21,627.37,628.77,4720,0,0,XAUUSD,Pepperstone MT5
2006.07.10,628.75,632.04,620.21,623.75,4923,0,0,XAUUSD,Pepperstone MT5
2006.07.11,623.72,643.32,620.95,640.91,5022,0,0,XAUUSD,Pepperstone MT5
2006.07.12,640.82,655.22,639.04,651.15,5318,0,0,XAUUSD,Pepperstone MT5
2006.07.13,650.84,660.01,643.75,659.54,5618,0,0,XAUUSD,Pepperstone MT5
2006.07.14,659.84,667.56,658.55,664.45,5153,0,0,XAUUSD,Pepperstone MT5
2006.07.17,669.28,676.05,640.40,642.85,5792,0,0,XAUUSD,Pepperstone MT5
2006.07.18,642.35,654.24,627.23,632.54,5979,0,0,XAUUSD,Pepperstone MT5
2006.07.19,631.75,646.40,617.79,642.25,5451,0,0,XAUUSD,Pepperstone MT5
2006.07.20,642.35,644.74,627.45,628.85,5150,0,0,XAUUSD,Pepperstone MT5
2006.07.21,628.75,637.02,615.60,621.05,5978,0,0,XAUUSD,Pepperstone MT5
2006.07.24,619.60,620.82,601.90,614.75,4951,0,0,XAUUSD,Pepperstone MT5
2006.07.25,614.82,623.57,609.75,618.35,5530,0,0,XAUUSD,Pepperstone MT5
2006.07.26,618.74,626.87,612.97,624.04,4359,0,0,XAUUSD,Pepperstone MT5
2006.07.27,624.02,640.55,622.01,633.65,4513,0,0,XAUUSD,Pepperstone MT5
2006.07.28,633.85,638.07,626.02,634.46,3803,0,0,XAUUSD,Pepperstone MT5
2006.07.31,635.02,639.29,628.44,636.04,5264,0,0,XAUUSD,Pepperstone MT5
2006.08.01,636.15,648.09,630.42,646.75,5045,0,0,XAUUSD,Pepperstone MT5
2006.08.02,646.91,655.92,645.04,650.85,5426,0,0,XAUUSD,Pepperstone MT5
2006.08.03,650.75,652.67,639.02,644.54,5236,0,0,XAUUSD,Pepperstone MT5
2006.08.04,644.41,654.04,643.08,646.20,4519,0,0,XAUUSD,Pepperstone MT5
2006.08.07,645.11,651.70,644.35,648.15,4294,0,0,XAUUSD,Pepperstone MT5
2006.08.08,647.75,648.75,640.76,642.04,4523,0,0,XAUUSD,Pepperstone MT5
2006.08.09,642.45,654.66,634.89,649.70,5493,0,0,XAUUSD,Pepperstone MT5
2006.08.10,649.54,653.75,633.25,635.75,5558,0,0,XAUUSD,Pepperstone MT5
2006.08.11,635.65,644.64,626.03,631.45,5030,0,0,XAUUSD,Pepperstone MT5
2006.08.14,635.30,635.30,623.40,626.25,5774,0,0,XAUUSD,Pepperstone MT5
2006.08.15,626.15,628.20,620.30,624.29,4888,0,0,XAUUSD,Pepperstone MT5
2006.08.16,624.40,632.50,623.45,628.50,4785,0,0,XAUUSD,Pepperstone MT5
2006.08.17,628.45,631.65,613.25,613.40,4899,0,0,XAUUSD,Pepperstone MT5
2006.08.18,613.50,618.82,607.11,614.41,5273,0,0,XAUUSD,Pepperstone MT5
2006.08.21,614.35,628.16,613.47,627.60,4854,0,0,XAUUSD,Pepperstone MT5
2006.08.22,628.65,629.15,620.13,624.65,4560,0,0,XAUUSD,Pepperstone MT5
2006.08.23,624.25,629.98,621.04,621.54,4600,0,0,XAUUSD,Pepperstone MT5
2006.08.24,621.85,626.12,618.65,621.25,4692,0,0,XAUUSD,Pepperstone MT5
2006.08.25,621.35,624.21,617.60,622.47,4130,0,0,XAUUSD,Pepperstone MT5
2006.08.28,622.24,623.85,612.35,614.40,4036,0,0,XAUUSD,Pepperstone MT5
2006.08.29,614.25,617.45,607.15,614.20,4517,0,0,XAUUSD,Pepperstone MT5
2006.08.30,614.40,620.52,612.45,618.54,4316,0,0,XAUUSD,Pepperstone MT5
2006.08.31,618.65,627.10,617.65,626.79,4464,0,0,XAUUSD,Pepperstone MT5
2006.09.01,626.45,627.52,619.25,625.59,4637,0,0,XAUUSD,Pepperstone MT5
2006.09.04,625.32,627.60,624.30,625.78,652,0,0,XAUUSD,Pepperstone MT5
2006.09.05,627.13,640.10,625.73,637.80,5608,0,0,XAUUSD,Pepperstone MT5
2006.09.06,638.20,640.10,632.28,633.65,3636,0,0,XAUUSD,Pepperstone MT5
2006.09.07,633.45,635.90,613.89,616.54,4861,0,0,XAUUSD,Pepperstone MT5
2006.09.08,616.60,619.25,606.40,610.44,4118,0,0,XAUUSD,Pepperstone MT5
2006.09.11,610.43,610.43,582.94,589.10,5891,0,0,XAUUSD,Pepperstone MT5
2006.09.12,588.60,599.90,584.40,586.80,3860,0,0,XAUUSD,Pepperstone MT5
2006.09.13,587.30,593.53,578.94,589.50,5607,0,0,XAUUSD,Pepperstone MT5
2006.09.14,589.60,595.05,574.66,575.10,5374,0,0,XAUUSD,Pepperstone MT5
2006.09.15,575.00,578.79,572.40,577.32,3374,0,0,XAUUSD,Pepperstone MT5
2006.09.18,578.02,588.10,578.02,586.92,4271,0,0,XAUUSD,Pepperstone MT5
2006.09.19,586.69,589.00,572.50,573.40,4631,0,0,XAUUSD,Pepperstone MT5
2006.09.20,572.60,586.35,572.03,576.54,4976,0,0,XAUUSD,Pepperstone MT5
2006.09.21,576.50,585.29,574.45,584.04,4578,0,0,XAUUSD,Pepperstone MT5
2006.09.22,584.25,592.50,583.75,589.15,4191,0,0,XAUUSD,Pepperstone MT5
2006.09.25,589.75,591.85,581.97,590.22,4287,0,0,XAUUSD,Pepperstone MT5
2006.09.26,590.45,593.90,586.07,591.65,4314,0,0,XAUUSD,Pepperstone MT5
2006.09.27,591.45,603.75,589.75,603.15,4053,0,0,XAUUSD,Pepperstone MT5
2006.09.28,603.25,606.82,600.28,601.25,5210,0,0,XAUUSD,Pepperstone MT5
2006.09.29,600.90,604.00,594.17,598.55,4819,0,0,XAUUSD,Pepperstone MT5
2006.10.02,598.54,603.27,594.94,596.10,1768,0,0,XAUUSD,Pepperstone MT5
2006.10.03,595.75,596.26,594.75,595.60,351,0,0,XAUUSD,Pepperstone MT5
2006.10.04,574.85,580.49,559.22,566.75,3857,0,0,XAUUSD,Pepperstone MT5
2006.10.05,566.45,574.23,562.40,574.05,5565,0,0,XAUUSD,Pepperstone MT5
2006.10.06,574.30,574.30,560.65,573.65,4352,0,0,XAUUSD,Pepperstone MT5
2006.10.09,574.15,580.99,572.45,575.73,4200,0,0,XAUUSD,Pepperstone MT5
2006.10.10,576.85,579.55,576.05,578.35,770,0,0,XAUUSD,Pepperstone MT5
2006.10.11,572.50,578.60,570.00,572.60,3723,0,0,XAUUSD,Pepperstone MT5
2006.10.12,572.70,579.10,570.60,578.80,3214,0,0,XAUUSD,Pepperstone MT5
2006.10.13,586.55,590.23,583.75,588.80,5995,0,0,XAUUSD,Pepperstone MT5
2006.10.16,591.55,596.35,589.95,596.00,11026,0,0,XAUUSD,Pepperstone MT5
2006.10.17,596.05,598.50,585.93,589.90,11879,0,0,XAUUSD,Pepperstone MT5
2006.10.18,589.88,595.03,587.23,589.25,10846,0,0,XAUUSD,Pepperstone MT5
2006.10.19,589.70,600.50,586.50,599.10,3392,0,0,XAUUSD,Pepperstone MT5
2006.10.20,599.65,602.63,596.45,596.95,4377,0,0,XAUUSD,Pepperstone MT5
2006.10.23,591.82,592.75,579.65,581.80,6542,0,0,XAUUSD,Pepperstone MT5
2006.10.24,581.83,581.93,577.40,578.60,1807,0,0,XAUUSD,Pepperstone MT5
2006.10.25,581.25,591.80,580.85,590.80,2315,0,0,XAUUSD,Pepperstone MT5
2006.10.26,590.90,598.30,589.90,597.00,5539,0,0,XAUUSD,Pepperstone MT5
2006.10.27,596.90,599.80,591.90,599.10,3670,0,0,XAUUSD,Pepperstone MT5
2006.10.30,598.30,610.60,598.20,603.70,5347,0,0,XAUUSD,Pepperstone MT5
2006.10.31,603.80,607.30,597.60,605.70,4630,0,0,XAUUSD,Pepperstone MT5
2006.11.01,606.00,619.20,605.10,616.50,2613,0,0,XAUUSD,Pepperstone MT5
2006.11.02,616.30,625.70,613.80,624.10,4853,0,0,XAUUSD,Pepperstone MT5
2006.11.03,624.00,629.00,617.10,626.80,3614,0,0,XAUUSD,Pepperstone MT5
2006.11.06,627.67,629.50,622.18,622.73,3783,0,0,XAUUSD,Pepperstone MT5
2006.11.07,622.68,628.90,621.60,624.50,3103,0,0,XAUUSD,Pepperstone MT5
2006.11.08,624.30,626.90,612.97,615.19,4081,0,0,XAUUSD,Pepperstone MT5
2006.11.09,615.69,635.43,614.75,632.90,5319,0,0,XAUUSD,Pepperstone MT5
2006.11.10,633.00,636.40,624.85,627.81,4003,0,0,XAUUSD,Pepperstone MT5
2006.11.13,627.90,632.35,620.15,625.25,2766,0,0,XAUUSD,Pepperstone MT5
2006.11.14,624.80,629.05,618.81,620.50,4075,0,0,XAUUSD,Pepperstone MT5
2006.11.15,620.30,624.63,615.05,622.60,4525,0,0,XAUUSD,Pepperstone MT5
2006.11.16,622.75,627.80,617.69,618.10,3359,0,0,XAUUSD,Pepperstone MT5
2006.11.17,617.80,622.18,614.35,621.18,3326,0,0,XAUUSD,Pepperstone MT5
