date,open,high,low,close
2006-07-17,213.03,214.64,212.59,214.14
2006-07-18,214.11,215.36,213.86,215.26
2006-07-19,215.27,216.45,214.94,216.25
2006-07-20,216.29,216.33,214.94,216.08
2006-07-23,216.11,216.35,215.65,215.89
2006-07-24,215.92,216.2,215.44,215.64
2006-07-25,215.63,216.11,214.74,215.74
2006-07-26,215.76,215.77,214.92,215.06
2006-07-27,215.0,215.16,213.53,213.94
2006-07-30,213.75,214.37,212.95,213.9
2006-07-31,213.89,215.23,213.58,214.87
2006-08-01,214.88,215.37,214.34,215.13
2006-08-02,215.09,217.37,214.96,217.07
2006-08-03,217.08,219.02,216.88,218.82
2006-08-06,217.92,219.7,217.76,219.22
2006-08-07,219.15,220.01,219.0,219.59
2006-08-08,219.6,220.1,219.19,219.78
2006-08-09,219.87,219.91,218.04,218.12
2006-08-10,218.15,220.24,218.14,219.54
2006-08-13,219.91,220.5,219.83,220.16
2006-08-14,220.17,220.49,219.58,219.65
2006-08-15,219.65,220.23,219.26,219.69
2006-08-16,219.67,219.67,218.38,218.5
2006-08-17,218.5,218.86,217.46,217.84
2006-08-20,217.82,219.78,217.72,219.33
2006-08-21,219.35,220.3,219.2,220.02
2006-08-22,220.02,220.73,219.47,220.15
2006-08-23,220.12,220.45,219.7,219.77
2006-08-24,219.79,221.54,219.68,221.21
2006-08-27,221.32,222.33,221.16,222.0
2006-08-28,222.03,222.08,220.97,221.65
2006-08-29,221.68,223.19,221.53,222.9
2006-08-30,222.9,223.81,222.74,223.31
2006-08-31,223.29,223.56,222.32,222.97
2006-09-03,222.98,223.04,220.71,221.29
2006-09-04,221.3,221.31,219.37,220.09
2006-09-05,220.09,220.63,219.27,219.79
2006-09-06,219.79,220.31,217.64,218.35
2006-09-07,218.35,218.46,217.44,218.17
2006-09-10,218.23,219.5,217.58,219.32
2006-09-11,219.33,221.2,219.21,220.9
2006-09-12,220.94,221.05,220.22,220.51
2006-09-13,220.54,222.06,220.32,221.72
2006-09-14,221.69,222.08,220.39,221.01
2006-09-17,221.04,222.24,221.0,221.72
2006-09-18,221.69,222.17,220.8,221.28
2006-09-19,221.3,221.88,220.26,221.63
2006-09-20,221.61,221.98,221.07,221.33
2006-09-21,221.28,221.89,220.92,221.89
2006-09-24,221.55,222.06,221.07,221.34
2006-09-25,221.32,222.17,220.43,221.94
2006-09-26,221.96,222.0,221.04,221.87
2006-09-27,221.85,222.14,220.66,220.91
2006-09-28,220.87,221.27,219.93,220.9
2006-10-01,220.92,222.11,220.83,221.98
2006-10-02,221.98,222.85,221.63,222.63
2006-10-03,222.65,222.77,221.9,222.22
2006-10-04,222.23,222.32,220.44,221.34
2006-10-05,221.36,222.69,221.09,222.2
2006-10-08,222.39,223.07,222.0,222.19
2006-10-09,222.19,222.56,221.73,221.8
2006-10-10,221.79,222.14,221.53,222.09
2006-10-11,222.08,222.32,221.67,221.93
2006-10-12,221.9,222.37,221.62,221.87
2006-10-15,222.07,222.18,221.37,221.51
2006-10-16,221.52,222.53,221.29,221.94
2006-10-17,221.98,222.54,221.61,222.1
2006-10-18,222.09,222.26,221.46,221.99
2006-10-19,221.98,223.8,221.93,223.5
2006-10-22,223.35,223.64,223.02,223.44
2006-10-23,223.46,223.77,223.17,223.58
2006-10-24,223.63,223.75,223.29,223.48
2006-10-25,223.47,224.04,223.29,223.75
2006-10-26,223.74,224.3,222.68,223.2
2006-10-30,222.88,223.51,222.42,223.41
