date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,0.91430,0.91540,0.90810,0.90930,97,80,0,AUDCHF,Pepperstone MT5
2006.06.19,0.90960,0.91690,0.90750,0.91370,148,80,0,AUDCHF,Pepperstone MT5
2006.06.20,0.91360,0.91790,0.91210,0.91390,114,80,0,AUDCHF,Pepperstone MT5
2006.06.21,0.91360,0.91580,0.90710,0.91290,168,80,0,AUDCHF,Pepperstone MT5
2006.06.22,0.91340,0.91530,0.91030,0.91190,86,80,0,AUDCHF,Pepperstone MT5
2006.06.23,0.91200,0.91580,0.91000,0.91410,96,80,0,AUDCHF,Pepperstone MT5
2006.06.26,0.91340,0.91430,0.90840,0.91030,88,80,0,AUDCHF,Pepperstone MT5
2006.06.27,0.90980,0.91410,0.90890,0.91100,93,80,0,AUDCHF,Pepperstone MT5
2006.06.28,0.91100,0.91150,0.90640,0.90850,78,80,0,AUDCHF,Pepperstone MT5
2006.06.29,0.90850,0.91630,0.90670,0.91360,142,80,0,AUDCHF,Pepperstone MT5
2006.06.30,0.91350,0.91760,0.90810,0.90850,141,80,0,AUDCHF,Pepperstone MT5
2006.07.03,0.90900,0.91360,0.90760,0.90860,117,80,0,AUDCHF,Pepperstone MT5
2006.07.04,0.90860,0.91550,0.90820,0.91210,112,80,0,AUDCHF,Pepperstone MT5
2006.07.05,0.91210,0.91640,0.90950,0.91410,119,80,0,AUDCHF,Pepperstone MT5
2006.07.06,0.91400,0.91900,0.91110,0.91630,136,80,0,AUDCHF,Pepperstone MT5
2006.07.07,0.91650,0.92040,0.91550,0.91920,72,80,0,AUDCHF,Pepperstone MT5
2006.07.10,0.91960,0.92230,0.91760,0.91840,83,80,0,AUDCHF,Pepperstone MT5
2006.07.11,0.91820,0.92520,0.91820,0.92300,93,80,0,AUDCHF,Pepperstone MT5
2006.07.12,0.92300,0.93070,0.92160,0.92740,139,80,0,AUDCHF,Pepperstone MT5
2006.07.13,0.92740,0.93230,0.92660,0.92750,114,80,0,AUDCHF,Pepperstone MT5
2006.07.14,0.92750,0.93250,0.92250,0.92950,181,80,0,AUDCHF,Pepperstone MT5
2006.07.17,0.92950,0.93560,0.92700,0.93330,135,80,0,AUDCHF,Pepperstone MT5
2006.07.18,0.93330,0.93980,0.93170,0.93520,144,80,0,AUDCHF,Pepperstone MT5
2006.07.19,0.93510,0.93740,0.93210,0.93650,93,80,0,AUDCHF,Pepperstone MT5
2006.07.20,0.93660,0.93770,0.93280,0.93430,76,80,0,AUDCHF,Pepperstone MT5
2006.07.21,0.93440,0.93460,0.92970,0.93030,58,80,0,AUDCHF,Pepperstone MT5
2006.07.24,0.93000,0.94130,0.92940,0.94030,136,80,0,AUDCHF,Pepperstone MT5
2006.07.25,0.93980,0.94480,0.93890,0.94410,76,80,0,AUDCHF,Pepperstone MT5
2006.07.26,0.94410,0.95010,0.94310,0.94520,130,80,0,AUDCHF,Pepperstone MT5
2006.07.27,0.94510,0.94590,0.94200,0.94490,77,80,0,AUDCHF,Pepperstone MT5
2006.07.28,0.94490,0.94720,0.94240,0.94590,87,80,0,AUDCHF,Pepperstone MT5
2006.07.31,0.94470,0.94700,0.94000,0.94360,130,80,0,AUDCHF,Pepperstone MT5
2006.08.01,0.94410,0.94410,0.93650,0.93910,103,80,0,AUDCHF,Pepperstone MT5
2006.08.02,0.93910,0.94230,0.93630,0.94010,111,80,0,AUDCHF,Pepperstone MT5
2006.08.03,0.94010,0.94340,0.93490,0.93670,137,80,0,AUDCHF,Pepperstone MT5
2006.08.04,0.93680,0.93940,0.93400,0.93660,107,80,0,AUDCHF,Pepperstone MT5
2006.08.07,0.93710,0.93710,0.93160,0.93550,95,80,0,AUDCHF,Pepperstone MT5
2006.08.08,0.93540,0.93720,0.92940,0.93190,122,80,0,AUDCHF,Pepperstone MT5
2006.08.09,0.93190,0.93990,0.92930,0.93850,147,80,0,AUDCHF,Pepperstone MT5
2006.08.10,0.93810,0.94950,0.93710,0.94690,161,80,0,AUDCHF,Pepperstone MT5
2006.08.11,0.94690,0.95290,0.94640,0.95290,71,80,0,AUDCHF,Pepperstone MT5
2006.08.14,0.95140,0.95200,0.94170,0.94330,126,80,0,AUDCHF,Pepperstone MT5
2006.08.15,0.94330,0.94730,0.94120,0.94690,87,80,0,AUDCHF,Pepperstone MT5
2006.08.16,0.94690,0.94710,0.94230,0.94430,71,80,0,AUDCHF,Pepperstone MT5
2006.08.17,0.94420,0.94570,0.93610,0.93910,142,80,0,AUDCHF,Pepperstone MT5
2006.08.18,0.93920,0.93960,0.93400,0.93650,86,80,0,AUDCHF,Pepperstone MT5
2006.08.21,0.93600,0.93630,0.93050,0.93470,104,80,0,AUDCHF,Pepperstone MT5
2006.08.22,0.93470,0.94280,0.93290,0.94090,137,80,0,AUDCHF,Pepperstone MT5
2006.08.23,0.94070,0.94520,0.94010,0.94230,87,80,0,AUDCHF,Pepperstone MT5
2006.08.24,0.94240,0.94480,0.93940,0.94350,98,80,0,AUDCHF,Pepperstone MT5
2006.08.25,0.94350,0.94430,0.93510,0.93880,138,80,0,AUDCHF,Pepperstone MT5
2006.08.28,0.93780,0.93950,0.93470,0.93910,84,80,0,AUDCHF,Pepperstone MT5
2006.08.29,0.93910,0.94240,0.93690,0.93890,109,80,0,AUDCHF,Pepperstone MT5
2006.08.30,0.93900,0.94040,0.93510,0.93650,82,80,0,AUDCHF,Pepperstone MT5
2006.08.31,0.93660,0.94240,0.93440,0.93970,130,80,0,AUDCHF,Pepperstone MT5
2006.09.01,0.93980,0.94540,0.93910,0.94390,86,80,0,AUDCHF,Pepperstone MT5
2006.09.04,0.94310,0.94900,0.94240,0.94630,101,80,0,AUDCHF,Pepperstone MT5
2006.09.05,0.94640,0.95280,0.94610,0.95160,83,80,0,AUDCHF,Pepperstone MT5
2006.09.06,0.95160,0.95180,0.94570,0.94650,72,80,0,AUDCHF,Pepperstone MT5
2006.09.07,0.94660,0.94840,0.94180,0.94230,90,80,0,AUDCHF,Pepperstone MT5
2006.09.08,0.94190,0.94410,0.93960,0.94040,76,80,0,AUDCHF,Pepperstone MT5
2006.09.11,0.94070,0.94110,0.93370,0.93480,90,80,0,AUDCHF,Pepperstone MT5
2006.09.12,0.93490,0.94110,0.93270,0.93900,128,80,0,AUDCHF,Pepperstone MT5
2006.09.13,0.93880,0.94280,0.93840,0.94160,61,80,0,AUDCHF,Pepperstone MT5
2006.09.14,0.94170,0.94560,0.93880,0.94500,104,80,0,AUDCHF,Pepperstone MT5
2006.09.15,0.94490,0.94860,0.94320,0.94530,105,80,0,AUDCHF,Pepperstone MT5
2006.09.18,0.94530,0.94700,0.94140,0.94490,109,80,0,AUDCHF,Pepperstone MT5
2006.09.19,0.94500,0.94830,0.94080,0.94130,114,80,0,AUDCHF,Pepperstone MT5
2006.09.20,0.94120,0.94420,0.93940,0.94180,91,80,0,AUDCHF,Pepperstone MT5
2006.09.21,0.94180,0.94790,0.94030,0.94110,146,80,0,AUDCHF,Pepperstone MT5
2006.09.22,0.94110,0.94140,0.92550,0.92700,178,80,0,AUDCHF,Pepperstone MT5
2006.09.25,0.92660,0.93350,0.92500,0.93340,103,80,0,AUDCHF,Pepperstone MT5
2006.09.26,0.93340,0.93690,0.93230,0.93510,76,80,0,AUDCHF,Pepperstone MT5
2006.09.27,0.93490,0.93580,0.92990,0.93440,114,80,0,AUDCHF,Pepperstone MT5
2006.09.28,0.93440,0.93540,0.93160,0.93330,66,80,0,AUDCHF,Pepperstone MT5
2006.09.29,0.93340,0.93650,0.93040,0.93320,121,80,0,AUDCHF,Pepperstone MT5
