date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,85.230,85.470,84.840,85.050,11054,70,0,AUDJPY,Pepperstone MT5
2006.06.17,85.050,85.100,84.990,85.090,81,70,0,AUDJPY,Pepperstone MT5
2006.06.19,85.010,85.430,84.830,85.110,9621,70,0,AUDJPY,Pepperstone MT5
2006.06.20,85.090,85.250,84.670,84.790,10627,70,0,AUDJPY,Pepperstone MT5
2006.06.21,84.790,85.030,84.370,85.000,10605,70,0,AUDJPY,Pepperstone MT5
2006.06.22,85.020,85.360,84.760,85.210,11456,70,0,AUDJPY,Pepperstone MT5
2006.06.23,85.220,85.350,84.870,85.320,11504,70,0,AUDJPY,Pepperstone MT5
2006.06.24,85.320,85.350,85.100,85.250,202,70,0,AUDJPY,Pepperstone MT5
2006.06.26,85.170,85.390,84.880,85.120,9893,70,0,AUDJPY,Pepperstone MT5
2006.06.27,85.140,85.510,85.010,85.180,10920,70,0,AUDJPY,Pepperstone MT5
2006.06.28,85.180,85.250,84.580,84.960,10300,70,0,AUDJPY,Pepperstone MT5
2006.06.29,84.950,85.180,84.630,85.110,12086,70,0,AUDJPY,Pepperstone MT5
2006.06.30,85.100,85.340,84.860,85.100,12336,70,0,AUDJPY,Pepperstone MT5
2006.07.01,85.070,85.110,84.880,85.030,122,70,0,AUDJPY,Pepperstone MT5
2006.07.03,84.970,85.530,84.810,85.110,11539,70,0,AUDJPY,Pepperstone MT5
2006.07.04,85.140,85.630,85.040,85.510,11341,70,0,AUDJPY,Pepperstone MT5
2006.07.05,85.520,86.000,85.370,85.850,12465,70,0,AUDJPY,Pepperstone MT5
2006.07.06,85.870,85.990,85.500,85.900,11086,70,0,AUDJPY,Pepperstone MT5
2006.07.07,85.920,86.190,85.500,85.710,10966,70,0,AUDJPY,Pepperstone MT5
2006.07.08,85.700,85.940,85.670,85.800,156,70,0,AUDJPY,Pepperstone MT5
2006.07.10,85.580,85.700,85.090,85.280,10626,70,0,AUDJPY,Pepperstone MT5
2006.07.11,85.270,86.080,85.260,86.020,12032,70,0,AUDJPY,Pepperstone MT5
2006.07.12,86.050,87.060,85.850,86.840,11847,70,0,AUDJPY,Pepperstone MT5
2006.07.13,86.830,87.340,86.670,87.020,11706,70,0,AUDJPY,Pepperstone MT5
2006.07.14,87.030,87.810,86.670,87.460,12588,70,0,AUDJPY,Pepperstone MT5
2006.07.15,87.470,87.560,87.410,87.470,132,70,0,AUDJPY,Pepperstone MT5
