date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,1.19200,1.19890,1.18920,1.19590,156,140,0,AUDNZD,Pepperstone MT5
2006.06.19,1.19560,1.19820,1.19390,1.19460,77,140,0,AUDNZD,Pepperstone MT5
2006.06.20,1.19430,1.19670,1.18710,1.19060,156,140,0,AUDNZD,Pepperstone MT5
2006.06.21,1.19080,1.19390,1.18690,1.19160,133,140,0,AUDNZD,Pepperstone MT5
2006.06.22,1.19180,1.20560,1.19050,1.20450,176,140,0,AUDNZD,Pepperstone MT5
2006.06.23,1.20460,1.20970,1.19740,1.20380,239,140,0,AUDNZD,Pepperstone MT5
2006.06.26,1.20400,1.21220,1.20110,1.21070,156,140,0,AUDNZD,Pepperstone MT5
2006.06.27,1.21110,1.21640,1.20750,1.20890,157,140,0,AUDNZD,Pepperstone MT5
2006.06.28,1.20900,1.22940,1.20890,1.22210,280,140,0,AUDNZD,Pepperstone MT5
2006.06.29,1.22210,1.22900,1.21840,1.22310,203,140,0,AUDNZD,Pepperstone MT5
2006.06.30,1.22320,1.22580,1.21250,1.22120,247,140,0,AUDNZD,Pepperstone MT5
2006.07.03,1.22360,1.22780,1.21790,1.22430,192,140,0,AUDNZD,Pepperstone MT5
2006.07.04,1.22430,1.22600,1.21920,1.21950,89,140,0,AUDNZD,Pepperstone MT5
2006.07.05,1.21960,1.22760,1.21820,1.22690,116,140,0,AUDNZD,Pepperstone MT5
2006.07.06,1.22660,1.23610,1.22540,1.23410,140,140,0,AUDNZD,Pepperstone MT5
2006.07.07,1.23410,1.23580,1.22720,1.22960,128,140,0,AUDNZD,Pepperstone MT5
2006.07.10,1.23030,1.23170,1.22100,1.22250,137,140,0,AUDNZD,Pepperstone MT5
2006.07.11,1.22250,1.22690,1.21860,1.22010,143,140,0,AUDNZD,Pepperstone MT5
2006.07.12,1.22020,1.22620,1.21760,1.22000,171,140,0,AUDNZD,Pepperstone MT5
2006.07.13,1.21990,1.22470,1.21480,1.21930,193,140,0,AUDNZD,Pepperstone MT5
2006.07.14,1.21940,1.22050,1.21110,1.21480,143,140,0,AUDNZD,Pepperstone MT5
2006.07.17,1.21460,1.21470,1.20130,1.20310,154,140,0,AUDNZD,Pepperstone MT5
2006.07.18,1.20280,1.20570,1.19110,1.19500,215,140,0,AUDNZD,Pepperstone MT5
2006.07.19,1.19440,1.20360,1.19370,1.20110,132,140,0,AUDNZD,Pepperstone MT5
2006.07.20,1.20130,1.21060,1.19900,1.20650,181,140,0,AUDNZD,Pepperstone MT5
2006.07.21,1.20640,1.20890,1.20260,1.20650,126,140,0,AUDNZD,Pepperstone MT5
2006.07.24,1.20530,1.21370,1.20470,1.21090,125,140,0,AUDNZD,Pepperstone MT5
2006.07.25,1.21090,1.21190,1.20340,1.20910,153,140,0,AUDNZD,Pepperstone MT5
2006.07.26,1.20910,1.22010,1.20350,1.21800,244,140,0,AUDNZD,Pepperstone MT5
2006.07.27,1.21790,1.23280,1.21780,1.22930,187,140,0,AUDNZD,Pepperstone MT5
2006.07.28,1.22930,1.24350,1.22800,1.24270,177,140,0,AUDNZD,Pepperstone MT5
2006.07.31,1.24040,1.24390,1.23490,1.23880,165,140,0,AUDNZD,Pepperstone MT5
2006.08.01,1.23880,1.24190,1.23160,1.23430,162,140,0,AUDNZD,Pepperstone MT5
2006.08.02,1.23440,1.24520,1.22650,1.22830,314,140,0,AUDNZD,Pepperstone MT5
2006.08.03,1.22860,1.23070,1.22490,1.22980,105,140,0,AUDNZD,Pepperstone MT5
2006.08.04,1.22980,1.23220,1.22210,1.22470,152,140,0,AUDNZD,Pepperstone MT5
2006.08.07,1.22280,1.22690,1.21920,1.22260,153,140,0,AUDNZD,Pepperstone MT5
2006.08.08,1.22270,1.22380,1.21280,1.21590,153,140,0,AUDNZD,Pepperstone MT5
2006.08.09,1.21600,1.21880,1.20810,1.21550,210,140,0,AUDNZD,Pepperstone MT5
2006.08.10,1.21540,1.21770,1.20820,1.21230,160,140,0,AUDNZD,Pepperstone MT5
2006.08.11,1.21230,1.21530,1.20600,1.20970,161,140,0,AUDNZD,Pepperstone MT5
2006.08.14,1.20850,1.21350,1.20240,1.20850,223,140,0,AUDNZD,Pepperstone MT5
2006.08.15,1.20850,1.20890,1.20330,1.20550,83,140,0,AUDNZD,Pepperstone MT5
2006.08.16,1.20570,1.20600,1.19430,1.19660,144,140,0,AUDNZD,Pepperstone MT5
2006.08.17,1.19660,1.19930,1.18720,1.19110,188,140,0,AUDNZD,Pepperstone MT5
2006.08.18,1.19100,1.19400,1.18340,1.18750,178,140,0,AUDNZD,Pepperstone MT5
2006.08.21,1.18740,1.19330,1.18570,1.19210,106,140,0,AUDNZD,Pepperstone MT5
2006.08.22,1.19210,1.19860,1.18790,1.19670,169,140,0,AUDNZD,Pepperstone MT5
