date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
1993.05.19,1.16580,1.16580,1.16580,1.16580,1,160,0,CADCHF,Pepperstone MT5
1993.05.20,1.15790,1.15790,1.15790,1.15790,1,160,0,CADCHF,Pepperstone MT5
1993.05.21,1.16090,1.16090,1.16090,1.16090,1,160,0,CADCHF,Pepperstone MT5
1993.05.24,1.16580,1.16580,1.16580,1.16580,1,160,0,CADCHF,Pepperstone MT5
1993.05.25,1.15660,1.15660,1.15660,1.15660,1,160,0,CADCHF,Pepperstone MT5
1993.05.26,1.15120,1.15120,1.15120,1.15120,1,160,0,CADCHF,Pepperstone MT5
1993.05.27,1.13000,1.13000,1.13000,1.13000,1,160,0,CADCHF,Pepperstone MT5
1993.05.28,1.11350,1.11350,1.11350,1.11350,1,160,0,CADCHF,Pepperstone MT5
1993.05.31,1.11740,1.11740,1.11740,1.11740,1,160,0,CADCHF,Pepperstone MT5
1993.06.01,1.11340,1.11340,1.11340,1.11340,1,160,0,CADCHF,Pepperstone MT5
1993.06.02,1.12000,1.12000,1.12000,1.12000,1,160,0,CADCHF,Pepperstone MT5
1993.06.03,1.11720,1.11720,1.11720,1.11720,1,160,0,CADCHF,Pepperstone MT5
1993.06.04,1.14360,1.14360,1.14360,1.14360,1,160,0,CADCHF,Pepperstone MT5
1993.06.07,1.13360,1.13360,1.13360,1.13360,1,160,0,CADCHF,Pepperstone MT5
1993.06.08,1.13990,1.13990,1.13990,1.13990,1,160,0,CADCHF,Pepperstone MT5
1993.06.09,1.15090,1.15090,1.15090,1.15090,1,160,0,CADCHF,Pepperstone MT5
1993.06.10,1.14080,1.14080,1.14080,1.14080,1,160,0,CADCHF,Pepperstone MT5
1993.06.11,1.13590,1.13590,1.13590,1.13590,1,160,0,CADCHF,Pepperstone MT5
1993.06.14,1.13530,1.13530,1.13530,1.13530,1,160,0,CADCHF,Pepperstone MT5
1993.06.15,1.15000,1.15000,1.15000,1.15000,1,160,0,CADCHF,Pepperstone MT5
1993.06.16,1.16090,1.16090,1.16090,1.16090,1,160,0,CADCHF,Pepperstone MT5
1993.06.17,1.16110,1.16110,1.16110,1.16110,1,160,0,CADCHF,Pepperstone MT5
1993.06.18,1.17830,1.17830,1.17830,1.17830,1,160,0,CADCHF,Pepperstone MT5
1993.06.21,1.17900,1.17900,1.17900,1.17900,1,160,0,CADCHF,Pepperstone MT5
1993.06.22,1.18240,1.18240,1.18240,1.18240,1,160,0,CADCHF,Pepperstone MT5
1993.06.23,1.17560,1.17560,1.17560,1.17560,1,160,0,CADCHF,Pepperstone MT5
1993.06.24,1.18180,1.18180,1.18180,1.18180,1,160,0,CADCHF,Pepperstone MT5
1993.06.25,1.18160,1.18160,1.18160,1.18160,1,160,0,CADCHF,Pepperstone MT5
1993.06.28,1.17350,1.17350,1.17350,1.17350,1,160,0,CADCHF,Pepperstone MT5
