date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
1993.04.28,1.76110,1.77070,1.75740,1.76600,2171,50,0,EURCHF,Pepperstone MT5
1993.04.29,1.76750,1.77330,1.76350,1.76380,1591,50,0,EURCHF,Pepperstone MT5
1993.04.30,1.76290,1.76990,1.76050,1.76610,1561,50,0,EURCHF,Pepperstone MT5
1993.05.03,1.76670,1.77250,1.76260,1.76800,1851,50,0,EURCHF,Pepperstone MT5
1993.05.04,1.76740,1.77060,1.76170,1.76440,1481,50,0,EURCHF,Pepperstone MT5
1993.05.05,1.76420,1.76690,1.75350,1.75530,1791,50,0,EURCHF,Pepperstone MT5
1993.05.06,1.75530,1.76100,1.75460,1.75550,1261,50,0,EURCHF,Pepperstone MT5
1993.05.07,1.75500,1.76650,1.75350,1.76360,1741,50,0,EURCHF,Pepperstone MT5
1993.05.10,1.76490,1.77560,1.76000,1.77310,2301,50,0,EURCHF,Pepperstone MT5
1993.05.11,1.77350,1.77700,1.76890,1.77200,1471,50,0,EURCHF,Pepperstone MT5
1993.05.12,1.77180,1.77870,1.77080,1.77620,1141,50,0,EURCHF,Pepperstone MT5
1993.05.13,1.77280,1.77590,1.76350,1.76810,2011,50,0,EURCHF,Pepperstone MT5
1993.05.14,1.76830,1.77280,1.76590,1.76750,1301,50,0,EURCHF,Pepperstone MT5
1993.05.17,1.77230,1.78010,1.76570,1.77550,2561,50,0,EURCHF,Pepperstone MT5
1993.05.18,1.77520,1.78250,1.77400,1.78100,1121,50,0,EURCHF,Pepperstone MT5
1993.05.19,1.78240,1.78340,1.77370,1.77470,1171,50,0,EURCHF,Pepperstone MT5
1993.05.20,1.77650,1.77760,1.77100,1.77430,1101,50,0,EURCHF,Pepperstone MT5
1993.05.21,1.77590,1.77620,1.76380,1.76640,1531,50,0,EURCHF,Pepperstone MT5
1993.05.24,1.77000,1.77000,1.75390,1.75690,1911,50,0,EURCHF,Pepperstone MT5
1993.05.25,1.75690,1.76040,1.74780,1.74980,1811,50,0,EURCHF,Pepperstone MT5
1993.05.26,1.75020,1.75460,1.74480,1.74790,1731,50,0,EURCHF,Pepperstone MT5
1993.05.27,1.74750,1.75130,1.74080,1.74480,1831,50,0,EURCHF,Pepperstone MT5
1993.05.28,1.74480,1.75260,1.74210,1.74770,1811,50,0,EURCHF,Pepperstone MT5
1993.05.31,1.74790,1.75010,1.74600,1.74800,811,50,0,EURCHF,Pepperstone MT5
1993.06.01,1.74710,1.75230,1.74500,1.74940,1231,50,0,EURCHF,Pepperstone MT5
1993.06.02,1.74970,1.75450,1.73960,1.74140,2151,50,0,EURCHF,Pepperstone MT5
1993.06.03,1.74190,1.75100,1.73810,1.74850,1921,50,0,EURCHF,Pepperstone MT5
1993.06.04,1.74880,1.76120,1.74430,1.76000,2261,50,0,EURCHF,Pepperstone MT5
1993.06.07,1.75940,1.76040,1.75440,1.75610,871,50,0,EURCHF,Pepperstone MT5
1993.06.08,1.75540,1.76030,1.74860,1.75810,2071,50,0,EURCHF,Pepperstone MT5
1993.06.09,1.75800,1.76380,1.75050,1.76040,2421,50,0,EURCHF,Pepperstone MT5
1993.06.10,1.76010,1.76070,1.75350,1.75390,821,50,0,EURCHF,Pepperstone MT5
1993.06.11,1.75410,1.75610,1.74450,1.74670,1581,50,0,EURCHF,Pepperstone MT5
1993.06.14,1.74710,1.74930,1.74010,1.74690,1821,50,0,EURCHF,Pepperstone MT5
1993.06.15,1.74690,1.75120,1.74290,1.74810,1541,50,0,EURCHF,Pepperstone MT5
1993.06.16,1.74660,1.75600,1.74490,1.75220,1661,50,0,EURCHF,Pepperstone MT5
1993.06.17,1.75120,1.75530,1.74450,1.74680,1721,50,0,EURCHF,Pepperstone MT5
1993.06.18,1.74600,1.75040,1.74130,1.74630,1791,50,0,EURCHF,Pepperstone MT5
1993.06.21,1.74680,1.74720,1.73590,1.74010,1591,50,0,EURCHF,Pepperstone MT5
1993.06.22,1.74010,1.75350,1.73530,1.74230,3421,50,0,EURCHF,Pepperstone MT5
1993.06.23,1.74120,1.74570,1.73680,1.73890,1551,50,0,EURCHF,Pepperstone MT5
1993.06.24,1.74050,1.74190,1.73240,1.73630,1481,50,0,EURCHF,Pepperstone MT5
