date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,0.68330,0.68380,0.68210,0.68330,8111,40,0,EURGBP,Pepperstone MT5
2006.06.17,0.68330,0.68420,0.68260,0.68340,93,40,0,EURGBP,Pepperstone MT5
2006.06.19,0.68310,0.68430,0.68100,0.68280,8234,40,0,EURGBP,Pepperstone MT5
2006.06.20,0.68300,0.68410,0.68150,0.68310,8724,40,0,EURGBP,Pepperstone MT5
2006.06.21,0.68310,0.68730,0.68240,0.68650,8527,40,0,EURGBP,Pepperstone MT5
2006.06.22,0.68640,0.68860,0.68550,0.68820,8515,40,0,EURGBP,Pepperstone MT5
2006.06.23,0.68840,0.68900,0.68670,0.68800,8267,40,0,EURGBP,Pepperstone MT5
2006.06.24,0.68790,0.68880,0.68720,0.68850,155,40,0,EURGBP,Pepperstone MT5
2006.06.26,0.68770,0.69110,0.68720,0.69000,7877,40,0,EURGBP,Pepperstone MT5
2006.06.27,0.69010,0.69200,0.68980,0.69060,9019,40,0,EURGBP,Pepperstone MT5
2006.06.28,0.69060,0.69210,0.68950,0.69050,8246,40,0,EURGBP,Pepperstone MT5
2006.06.29,0.69050,0.69340,0.68970,0.69280,8792,40,0,EURGBP,Pepperstone MT5
2006.06.30,0.69300,0.69510,0.69090,0.69210,8587,40,0,EURGBP,Pepperstone MT5
2006.07.01,0.69220,0.69240,0.69110,0.69160,102,40,0,EURGBP,Pepperstone MT5
2006.07.03,0.69200,0.69590,0.69180,0.69500,8100,40,0,EURGBP,Pepperstone MT5
2006.07.04,0.69490,0.69560,0.69230,0.69310,8483,40,0,EURGBP,Pepperstone MT5
2006.07.05,0.69320,0.69490,0.69170,0.69350,8773,40,0,EURGBP,Pepperstone MT5
2006.07.06,0.69380,0.69630,0.69300,0.69560,8353,40,0,EURGBP,Pepperstone MT5
2006.07.07,0.69560,0.69630,0.69170,0.69210,7900,40,0,EURGBP,Pepperstone MT5
2006.07.08,0.69210,0.69260,0.69160,0.69190,72,40,0,EURGBP,Pepperstone MT5
2006.07.10,0.69240,0.69380,0.69110,0.69170,10869,40,0,EURGBP,Pepperstone MT5
2006.07.11,0.69160,0.69330,0.69040,0.69170,9733,40,0,EURGBP,Pepperstone MT5
2006.07.12,0.69210,0.69330,0.68950,0.69230,11086,40,0,EURGBP,Pepperstone MT5
2006.07.13,0.69240,0.69340,0.68800,0.68830,10069,40,0,EURGBP,Pepperstone MT5
2006.07.14,0.68870,0.68980,0.68730,0.68810,10446,40,0,EURGBP,Pepperstone MT5
2006.07.15,0.68820,0.68880,0.68770,0.68800,80,40,0,EURGBP,Pepperstone MT5
2006.07.17,0.68750,0.68960,0.68690,0.68840,8925,40,0,EURGBP,Pepperstone MT5
2006.07.18,0.68840,0.68940,0.68370,0.68470,9848,40,0,EURGBP,Pepperstone MT5
2006.07.19,0.68490,0.68550,0.68270,0.68320,9598,40,0,EURGBP,Pepperstone MT5
2006.07.20,0.68330,0.68440,0.68210,0.68350,9632,40,0,EURGBP,Pepperstone MT5
2006.07.21,0.68310,0.68460,0.68170,0.68300,10007,40,0,EURGBP,Pepperstone MT5
2006.07.22,0.68300,0.68340,0.68220,0.68300,155,40,0,EURGBP,Pepperstone MT5
2006.07.24,0.68310,0.68350,0.68090,0.68240,9110,40,0,EURGBP,Pepperstone MT5
2006.07.25,0.68250,0.68430,0.68200,0.68400,9968,40,0,EURGBP,Pepperstone MT5
2006.07.26,0.68400,0.68610,0.68250,0.68580,10063,40,0,EURGBP,Pepperstone MT5
2006.07.27,0.68610,0.68670,0.68240,0.68390,10411,40,0,EURGBP,Pepperstone MT5
2006.07.28,0.68390,0.68510,0.68150,0.68480,9366,40,0,EURGBP,Pepperstone MT5
2006.07.29,0.68480,0.68550,0.68450,0.68450,67,40,0,EURGBP,Pepperstone MT5
2006.07.31,0.68520,0.68570,0.68270,0.68380,8671,40,0,EURGBP,Pepperstone MT5
2006.08.01,0.68390,0.68440,0.68190,0.68380,8760,40,0,EURGBP,Pepperstone MT5
2006.08.02,0.68350,0.68400,0.68070,0.68140,8841,40,0,EURGBP,Pepperstone MT5
2006.08.03,0.68140,0.68230,0.67680,0.67830,9067,40,0,EURGBP,Pepperstone MT5
2006.08.04,0.67810,0.67910,0.67450,0.67490,9171,40,0,EURGBP,Pepperstone MT5
2006.08.05,0.67480,0.67510,0.67430,0.67470,128,40,0,EURGBP,Pepperstone MT5
2006.08.07,0.67550,0.67600,0.67270,0.67350,8283,40,0,EURGBP,Pepperstone MT5
2006.08.08,0.67330,0.67480,0.67190,0.67280,9407,40,0,EURGBP,Pepperstone MT5
2006.08.09,0.67300,0.67610,0.67200,0.67550,9560,40,0,EURGBP,Pepperstone MT5
2006.08.10,0.67530,0.67730,0.67380,0.67580,9772,40,0,EURGBP,Pepperstone MT5
2006.08.11,0.67590,0.67600,0.67270,0.67330,9116,40,0,EURGBP,Pepperstone MT5
2006.08.12,0.67300,0.67330,0.67230,0.67320,94,40,0,EURGBP,Pepperstone MT5
2006.08.14,0.67280,0.67530,0.67220,0.67360,8541,40,0,EURGBP,Pepperstone MT5
2006.08.15,0.67360,0.67580,0.67300,0.67520,8942,40,0,EURGBP,Pepperstone MT5
2006.08.16,0.67510,0.67800,0.67470,0.67760,8790,40,0,EURGBP,Pepperstone MT5
2006.08.17,0.67770,0.68140,0.67690,0.68070,9494,40,0,EURGBP,Pepperstone MT5
2006.08.18,0.68060,0.68230,0.67970,0.68180,9409,40,0,EURGBP,Pepperstone MT5
2006.08.19,0.68170,0.68240,0.68130,0.68160,92,40,0,EURGBP,Pepperstone MT5
2006.08.21,0.68170,0.68320,0.67960,0.68070,9016,40,0,EURGBP,Pepperstone MT5
2006.08.22,0.68060,0.68130,0.67740,0.67820,9553,40,0,EURGBP,Pepperstone MT5
2006.08.23,0.67790,0.67880,0.67490,0.67520,10251,40,0,EURGBP,Pepperstone MT5
2006.08.24,0.67540,0.67850,0.67450,0.67660,9754,40,0,EURGBP,Pepperstone MT5
2006.08.25,0.67660,0.67840,0.67500,0.67580,9502,40,0,EURGBP,Pepperstone MT5
2006.08.26,0.67590,0.67640,0.67500,0.67580,260,40,0,EURGBP,Pepperstone MT5
2006.08.28,0.67600,0.67730,0.67380,0.67530,7964,40,0,EURGBP,Pepperstone MT5
2006.08.29,0.67530,0.67630,0.67300,0.67580,9806,40,0,EURGBP,Pepperstone MT5
2006.08.30,0.67580,0.67650,0.67300,0.67410,9557,40,0,EURGBP,Pepperstone MT5
2006.08.31,0.67410,0.67510,0.67200,0.67260,9397,40,0,EURGBP,Pepperstone MT5
2006.09.01,0.67300,0.67420,0.67200,0.67380,9389,40,0,EURGBP,Pepperstone MT5
2006.09.02,0.67380,0.67400,0.67310,0.67330,123,40,0,EURGBP,Pepperstone MT5
2006.09.04,0.67370,0.67610,0.67330,0.67510,8705,40,0,EURGBP,Pepperstone MT5
2006.09.05,0.67500,0.67750,0.67390,0.67650,9648,40,0,EURGBP,Pepperstone MT5
2006.09.06,0.67650,0.68050,0.67610,0.67970,9900,40,0,EURGBP,Pepperstone MT5
2006.09.07,0.67960,0.68110,0.67850,0.67900,10086,40,0,EURGBP,Pepperstone MT5
2006.09.08,0.67910,0.68040,0.67790,0.67950,10085,40,0,EURGBP,Pepperstone MT5
2006.09.09,0.67960,0.67990,0.67900,0.67960,207,40,0,EURGBP,Pepperstone MT5
2006.09.11,0.67910,0.68230,0.67830,0.68100,9108,40,0,EURGBP,Pepperstone MT5
2006.09.12,0.68080,0.68170,0.67640,0.67700,9591,40,0,EURGBP,Pepperstone MT5
2006.09.13,0.67700,0.67800,0.67570,0.67650,9731,40,0,EURGBP,Pepperstone MT5
2006.09.14,0.67630,0.67710,0.67330,0.67460,9919,40,0,EURGBP,Pepperstone MT5
2006.09.15,0.67440,0.67520,0.67270,0.67330,9423,40,0,EURGBP,Pepperstone MT5
2006.09.16,0.67320,0.67400,0.67290,0.67400,142,40,0,EURGBP,Pepperstone MT5
2006.09.18,0.67290,0.67620,0.67250,0.67550,8235,40,0,EURGBP,Pepperstone MT5
2006.09.19,0.67580,0.67670,0.67250,0.67340,9007,40,0,EURGBP,Pepperstone MT5
2006.09.20,0.67370,0.67440,0.67150,0.67190,9637,40,0,EURGBP,Pepperstone MT5
2006.09.21,0.67190,0.67310,0.67000,0.67200,9970,40,0,EURGBP,Pepperstone MT5
2006.09.22,0.67190,0.67440,0.67110,0.67270,9400,40,0,EURGBP,Pepperstone MT5
2006.09.23,0.67280,0.67310,0.67190,0.67260,107,40,0,EURGBP,Pepperstone MT5
2006.09.25,0.67290,0.67340,0.67030,0.67120,9019,40,0,EURGBP,Pepperstone MT5
2006.09.26,0.67100,0.67180,0.66830,0.66970,9885,40,0,EURGBP,Pepperstone MT5
2006.09.27,0.66990,0.67370,0.66900,0.67230,9721,40,0,EURGBP,Pepperstone MT5
2006.09.28,0.67270,0.67780,0.67190,0.67660,9603,40,0,EURGBP,Pepperstone MT5
2006.09.29,0.67680,0.67920,0.67630,0.67670,9581,40,0,EURGBP,Pepperstone MT5
2006.10.02,0.67620,0.67820,0.67460,0.67500,13252,40,0,EURGBP,Pepperstone MT5
2006.10.03,0.67480,0.67630,0.67360,0.67420,10591,40,0,EURGBP,Pepperstone MT5
2006.10.04,0.67430,0.67540,0.67290,0.67390,10416,40,0,EURGBP,Pepperstone MT5
2006.10.05,0.67380,0.67620,0.67290,0.67540,7829,40,0,EURGBP,Pepperstone MT5
2006.10.06,0.67530,0.67660,0.67110,0.67340,6537,40,0,EURGBP,Pepperstone MT5
