date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,1.26350,1.26760,1.26170,1.26420,9552,20,0,EURUSD,Pepperstone MT5
2006.06.17,1.26410,1.26500,1.26330,1.26470,142,20,0,EURUSD,Pepperstone MT5
2006.06.19,1.26490,1.26540,1.25520,1.25750,9155,20,0,EURUSD,Pepperstone MT5
2006.06.20,1.25740,1.26200,1.25380,1.25800,9574,20,0,EURUSD,Pepperstone MT5
2006.06.21,1.25800,1.26820,1.25750,1.26610,9190,20,0,EURUSD,Pepperstone MT5
2006.06.22,1.26600,1.26820,1.25500,1.25780,9517,20,0,EURUSD,Pepperstone MT5
2006.06.23,1.25790,1.25900,1.24780,1.25040,9504,20,0,EURUSD,Pepperstone MT5
2006.06.24,1.25040,1.25250,1.24980,1.25100,161,20,0,EURUSD,Pepperstone MT5
2006.06.26,1.25060,1.26060,1.25010,1.25830,9549,20,0,EURUSD,Pepperstone MT5
2006.06.27,1.25820,1.26200,1.25610,1.25790,10031,20,0,EURUSD,Pepperstone MT5
2006.06.28,1.25770,1.25890,1.25140,1.25570,8932,20,0,EURUSD,Pepperstone MT5
2006.06.29,1.25580,1.26700,1.25190,1.26640,9921,20,0,EURUSD,Pepperstone MT5
2006.06.30,1.26660,1.27960,1.26540,1.27930,10191,20,0,EURUSD,Pepperstone MT5
2006.07.01,1.27920,1.27990,1.27730,1.27900,114,20,0,EURUSD,Pepperstone MT5
2006.07.03,1.27880,1.28240,1.27600,1.28030,8943,20,0,EURUSD,Pepperstone MT5
2006.07.04,1.28030,1.28260,1.27860,1.27970,9250,20,0,EURUSD,Pepperstone MT5
2006.07.05,1.27960,1.28410,1.27050,1.27250,10237,20,0,EURUSD,Pepperstone MT5
2006.07.06,1.27260,1.27850,1.27150,1.27800,9873,20,0,EURUSD,Pepperstone MT5
2006.07.07,1.27800,1.28640,1.27650,1.28110,9854,20,0,EURUSD,Pepperstone MT5
2006.07.08,1.28110,1.28130,1.27980,1.28100,77,20,0,EURUSD,Pepperstone MT5
2006.07.10,1.28130,1.28200,1.27180,1.27300,9221,20,0,EURUSD,Pepperstone MT5
2006.07.11,1.27300,1.27810,1.27050,1.27760,10064,20,0,EURUSD,Pepperstone MT5
2006.07.12,1.27760,1.27810,1.26740,1.27040,9918,20,0,EURUSD,Pepperstone MT5
2006.07.13,1.27030,1.27330,1.26620,1.26930,9425,20,0,EURUSD,Pepperstone MT5
2006.07.14,1.26940,1.27000,1.26260,1.26490,9440,20,0,EURUSD,Pepperstone MT5
2006.07.15,1.26500,1.26550,1.26430,1.26500,67,20,0,EURUSD,Pepperstone MT5
2006.07.17,1.26380,1.26470,1.25090,1.25180,8762,20,0,EURUSD,Pepperstone MT5
2006.07.18,1.25180,1.25610,1.24730,1.25060,9681,20,0,EURUSD,Pepperstone MT5
2006.07.19,1.25060,1.26120,1.24570,1.25870,10147,20,0,EURUSD,Pepperstone MT5
2006.07.20,1.25870,1.26560,1.25840,1.26290,10005,20,0,EURUSD,Pepperstone MT5
2006.07.21,1.26290,1.26990,1.26190,1.26940,9800,20,0,EURUSD,Pepperstone MT5
2006.07.22,1.26940,1.27080,1.26870,1.27000,217,20,0,EURUSD,Pepperstone MT5
2006.07.24,1.27040,1.27080,1.26100,1.26340,8788,20,0,EURUSD,Pepperstone MT5
2006.07.25,1.26340,1.26770,1.25620,1.25780,9653,20,0,EURUSD,Pepperstone MT5
2006.07.26,1.25780,1.27190,1.25590,1.27160,9935,20,0,EURUSD,Pepperstone MT5
2006.07.27,1.27170,1.27750,1.26800,1.26990,9582,20,0,EURUSD,Pepperstone MT5
2006.07.28,1.26980,1.27710,1.26590,1.27620,9644,20,0,EURUSD,Pepperstone MT5
2006.07.29,1.27620,1.27740,1.27590,1.27620,94,20,0,EURUSD,Pepperstone MT5
2006.07.31,1.27650,1.27860,1.27390,1.27670,8906,20,0,EURUSD,Pepperstone MT5
2006.08.01,1.27680,1.28330,1.27200,1.28290,9501,20,0,EURUSD,Pepperstone MT5
2006.08.02,1.28280,1.28380,1.27750,1.27870,9497,20,0,EURUSD,Pepperstone MT5
2006.08.03,1.27870,1.28360,1.27410,1.28030,9533,20,0,EURUSD,Pepperstone MT5
2006.08.04,1.28020,1.29120,1.27760,1.28740,9747,20,0,EURUSD,Pepperstone MT5
2006.08.05,1.28740,1.28780,1.28670,1.28740,172,20,0,EURUSD,Pepperstone MT5
2006.08.07,1.28840,1.28950,1.28290,1.28410,9048,20,0,EURUSD,Pepperstone MT5
2006.08.08,1.28410,1.28940,1.28060,1.28350,9871,20,0,EURUSD,Pepperstone MT5
2006.08.09,1.28350,1.29050,1.27640,1.28630,9720,20,0,EURUSD,Pepperstone MT5
2006.08.10,1.28630,1.29150,1.27460,1.27940,10147,20,0,EURUSD,Pepperstone MT5
2006.08.11,1.27950,1.28020,1.27150,1.27230,9827,20,0,EURUSD,Pepperstone MT5
2006.08.12,1.27230,1.27270,1.27190,1.27210,139,20,0,EURUSD,Pepperstone MT5
2006.08.14,1.27120,1.27640,1.27070,1.27120,8583,20,0,EURUSD,Pepperstone MT5
2006.08.15,1.27100,1.28070,1.26940,1.27880,9437,20,0,EURUSD,Pepperstone MT5
2006.08.16,1.27880,1.28670,1.27680,1.28410,9160,20,0,EURUSD,Pepperstone MT5
2006.08.17,1.28420,1.28900,1.28130,1.28260,9306,20,0,EURUSD,Pepperstone MT5
2006.08.18,1.28250,1.28480,1.27810,1.28270,9103,20,0,EURUSD,Pepperstone MT5
2006.08.19,1.28260,1.28350,1.28230,1.28250,83,20,0,EURUSD,Pepperstone MT5
2006.08.21,1.28270,1.29420,1.28250,1.28930,8963,20,0,EURUSD,Pepperstone MT5
2006.08.22,1.28920,1.28990,1.27820,1.28020,9683,20,0,EURUSD,Pepperstone MT5
2006.08.23,1.28020,1.28540,1.27740,1.27850,9530,20,0,EURUSD,Pepperstone MT5
2006.08.24,1.27870,1.28410,1.27520,1.27640,9751,20,0,EURUSD,Pepperstone MT5
2006.08.25,1.27640,1.27850,1.27230,1.27540,9501,20,0,EURUSD,Pepperstone MT5
2006.08.26,1.27540,1.27610,1.27430,1.27540,189,20,0,EURUSD,Pepperstone MT5
2006.08.28,1.27610,1.28230,1.27540,1.27800,8429,20,0,EURUSD,Pepperstone MT5
2006.08.29,1.27780,1.28410,1.27490,1.28240,9551,20,0,EURUSD,Pepperstone MT5
2006.08.30,1.28240,1.28550,1.28120,1.28320,9851,20,0,EURUSD,Pepperstone MT5
2006.08.31,1.28340,1.28810,1.27850,1.28150,10068,20,0,EURUSD,Pepperstone MT5
