date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2007.08.21,2.47510,2.48000,2.47100,2.47220,1244,100,0,GBPAUD,Pepperstone MT5
2007.08.22,2.47240,2.48490,2.46380,2.47090,7816,100,0,GBPAUD,Pepperstone MT5
2007.08.23,2.47020,2.47080,2.44050,2.44350,8648,100,0,GBPAUD,Pepperstone MT5
2007.08.24,2.44320,2.45680,2.43270,2.43500,8169,100,0,GBPAUD,Pepperstone MT5
2007.08.27,2.43210,2.43730,2.42060,2.43010,6067,100,0,GBPAUD,Pepperstone MT5
2007.08.28,2.42990,2.43570,2.42720,2.43360,363,100,0,GBPAUD,Pepperstone MT5
2007.08.29,2.45800,2.47980,2.45020,2.45520,8913,100,0,GBPAUD,Pepperstone MT5
2007.08.30,2.45550,2.47640,2.45010,2.46630,8655,100,0,GBPAUD,Pepperstone MT5
2007.08.31,2.46640,2.48570,2.44360,2.46590,8392,100,0,GBPAUD,Pepperstone MT5
2007.09.03,2.47140,2.47210,2.45040,2.45250,6059,100,0,GBPAUD,Pepperstone MT5
2007.09.04,2.45200,2.46010,2.43130,2.44130,7665,100,0,GBPAUD,Pepperstone MT5
2007.09.05,2.44110,2.45950,2.43220,2.45780,8335,100,0,GBPAUD,Pepperstone MT5
2007.09.06,2.45800,2.46600,2.43850,2.44070,8322,100,0,GBPAUD,Pepperstone MT5
2007.09.07,2.44050,2.46180,2.43540,2.45430,6859,100,0,GBPAUD,Pepperstone MT5
2007.09.10,2.45320,2.48120,2.45130,2.45520,18521,100,0,GBPAUD,Pepperstone MT5
2007.09.11,2.45510,2.46080,2.43410,2.43560,7631,100,0,GBPAUD,Pepperstone MT5
2007.09.12,2.43580,2.44210,2.40660,2.41100,7614,100,0,GBPAUD,Pepperstone MT5
2007.09.13,2.41090,2.42220,2.40100,2.41510,20381,100,0,GBPAUD,Pepperstone MT5
2007.09.14,2.41520,2.42100,2.38040,2.38410,15631,100,0,GBPAUD,Pepperstone MT5
2007.09.17,2.38360,2.39770,2.36660,2.39250,18723,100,0,GBPAUD,Pepperstone MT5
2007.09.18,2.39310,2.40180,2.35960,2.36020,23555,100,0,GBPAUD,Pepperstone MT5
2007.09.19,2.36070,2.37070,2.33060,2.33550,23595,100,0,GBPAUD,Pepperstone MT5
2007.09.20,2.33520,2.33820,2.31960,2.32860,20737,100,0,GBPAUD,Pepperstone MT5
2007.09.21,2.32830,2.34100,2.31050,2.32990,19382,100,0,GBPAUD,Pepperstone MT5
2007.09.24,2.32860,2.34180,2.32480,2.32930,12803,100,0,GBPAUD,Pepperstone MT5
2007.09.25,2.32920,2.33550,2.30910,2.31130,20501,100,0,GBPAUD,Pepperstone MT5
2007.09.26,2.31120,2.31590,2.29780,2.29910,17739,100,0,GBPAUD,Pepperstone MT5
2007.09.27,2.29900,2.30610,2.29260,2.30320,19187,100,0,GBPAUD,Pepperstone MT5
2007.09.28,2.30330,2.30990,2.28820,2.30530,21906,100,0,GBPAUD,Pepperstone MT5
2007.10.01,2.30340,2.30420,2.28330,2.28440,17467,100,0,GBPAUD,Pepperstone MT5
2007.10.02,2.28470,2.31480,2.28180,2.31010,20871,100,0,GBPAUD,Pepperstone MT5
2007.10.03,2.30990,2.31650,2.28780,2.30080,21119,100,0,GBPAUD,Pepperstone MT5
2007.10.04,2.30100,2.30690,2.29180,2.29560,20685,100,0,GBPAUD,Pepperstone MT5
2007.10.05,2.29570,2.29720,2.26770,2.27520,17211,100,0,GBPAUD,Pepperstone MT5
2007.10.08,2.26870,2.28200,2.25870,2.27860,7464,100,0,GBPAUD,Pepperstone MT5
2007.10.09,2.27750,2.28190,2.26120,2.26170,15612,100,0,GBPAUD,Pepperstone MT5
2007.10.10,2.26160,2.28270,2.26020,2.27380,15970,100,0,GBPAUD,Pepperstone MT5
