date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.16,1.84950,1.85630,1.84690,1.85020,9885,30,0,GBPUSD,Pepperstone MT5
2006.06.17,1.85020,1.85240,1.84980,1.85050,86,30,0,GBPUSD,Pepperstone MT5
2006.06.19,1.85170,1.85330,1.83690,1.84140,9770,30,0,GBPUSD,Pepperstone MT5
2006.06.20,1.84140,1.84630,1.83680,1.84210,9891,30,0,GBPUSD,Pepperstone MT5
2006.06.21,1.84200,1.84750,1.84090,1.84480,9775,30,0,GBPUSD,Pepperstone MT5
2006.06.22,1.84480,1.84740,1.82620,1.82800,10319,30,0,GBPUSD,Pepperstone MT5
2006.06.23,1.82800,1.83150,1.81260,1.81770,10577,30,0,GBPUSD,Pepperstone MT5
2006.06.24,1.81760,1.81920,1.81700,1.81870,141,30,0,GBPUSD,Pepperstone MT5
2006.06.26,1.81880,1.82480,1.81610,1.82360,10034,30,0,GBPUSD,Pepperstone MT5
2006.06.27,1.82380,1.82660,1.81850,1.82130,10496,30,0,GBPUSD,Pepperstone MT5
2006.06.28,1.82150,1.82430,1.81410,1.81870,10050,30,0,GBPUSD,Pepperstone MT5
2006.06.29,1.81870,1.83000,1.80890,1.82780,10902,30,0,GBPUSD,Pepperstone MT5
2006.06.30,1.82780,1.85020,1.82620,1.84820,11166,30,0,GBPUSD,Pepperstone MT5
2006.07.01,1.84820,1.85030,1.84770,1.84980,42,30,0,GBPUSD,Pepperstone MT5
2006.07.03,1.84760,1.84910,1.83840,1.84200,9416,30,0,GBPUSD,Pepperstone MT5
2006.07.04,1.84210,1.84820,1.84140,1.84580,9472,30,0,GBPUSD,Pepperstone MT5
2006.07.05,1.84600,1.84890,1.83260,1.83450,10320,30,0,GBPUSD,Pepperstone MT5
2006.07.06,1.83440,1.84110,1.83330,1.83720,10117,30,0,GBPUSD,Pepperstone MT5
2006.07.07,1.83720,1.85420,1.83550,1.85100,9775,30,0,GBPUSD,Pepperstone MT5
2006.07.08,1.85110,1.85120,1.84980,1.85090,114,30,0,GBPUSD,Pepperstone MT5
2006.07.10,1.85020,1.85230,1.83670,1.84090,9551,30,0,GBPUSD,Pepperstone MT5
2006.07.11,1.84090,1.84750,1.83660,1.84640,10367,30,0,GBPUSD,Pepperstone MT5
2006.07.12,1.84630,1.84830,1.83090,1.83480,10195,30,0,GBPUSD,Pepperstone MT5
2006.07.13,1.83480,1.84700,1.83300,1.84380,10407,30,0,GBPUSD,Pepperstone MT5
2006.07.14,1.84380,1.84530,1.83390,1.83820,11356,30,0,GBPUSD,Pepperstone MT5
2006.07.15,1.83840,1.83950,1.83760,1.83870,138,30,0,GBPUSD,Pepperstone MT5
2006.07.17,1.83780,1.83900,1.81760,1.81860,9429,30,0,GBPUSD,Pepperstone MT5
2006.07.18,1.81850,1.83300,1.81820,1.82620,11143,30,0,GBPUSD,Pepperstone MT5
2006.07.19,1.82600,1.84430,1.82290,1.84190,11130,30,0,GBPUSD,Pepperstone MT5
2006.07.20,1.84190,1.85210,1.84130,1.84860,10798,30,0,GBPUSD,Pepperstone MT5
2006.07.21,1.84870,1.86010,1.84670,1.85870,9884,30,0,GBPUSD,Pepperstone MT5
