date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2007.02.12,83.470,83.490,83.100,83.150,2864,80,0,NZDJPY,Pepperstone MT5
2007.02.13,83.160,83.640,82.860,83.480,6207,80,0,NZDJPY,Pepperstone MT5
2007.02.14,83.510,83.940,83.400,83.700,7686,80,0,NZDJPY,Pepperstone MT5
2007.02.15,83.680,83.680,82.550,82.600,9701,80,0,NZDJPY,Pepperstone MT5
2007.02.16,82.610,83.280,82.580,83.250,6847,80,0,NZDJPY,Pepperstone MT5
2007.02.19,83.530,83.990,83.520,83.780,4977,80,0,NZDJPY,Pepperstone MT5
2007.02.20,83.760,84.320,83.710,84.180,5728,80,0,NZDJPY,Pepperstone MT5
2007.02.21,84.170,85.470,83.720,85.320,9076,80,0,NZDJPY,Pepperstone MT5
2007.02.22,85.330,85.770,85.080,85.650,6616,80,0,NZDJPY,Pepperstone MT5
2007.02.23,85.640,85.720,85.300,85.460,6147,80,0,NZDJPY,Pepperstone MT5
2007.02.26,85.720,85.760,85.170,85.740,5612,80,0,NZDJPY,Pepperstone MT5
2007.02.27,85.730,85.800,82.010,82.670,10134,80,0,NZDJPY,Pepperstone MT5
2007.02.28,82.650,83.270,82.280,83.030,11092,80,0,NZDJPY,Pepperstone MT5
2007.03.01,83.040,83.350,80.940,81.450,12244,80,0,NZDJPY,Pepperstone MT5
2007.03.02,81.480,81.750,80.080,80.350,10827,80,0,NZDJPY,Pepperstone MT5
2007.03.05,79.430,79.450,77.470,77.490,14353,80,0,NZDJPY,Pepperstone MT5
2007.03.06,77.480,79.870,77.390,79.870,11856,80,0,NZDJPY,Pepperstone MT5
2007.03.07,79.860,80.000,78.450,78.620,10207,80,0,NZDJPY,Pepperstone MT5
2007.03.08,78.600,80.530,78.110,80.370,11543,80,0,NZDJPY,Pepperstone MT5
2007.03.09,80.380,81.740,80.370,81.680,9434,80,0,NZDJPY,Pepperstone MT5
2007.03.12,81.990,82.220,80.810,81.910,9368,80,0,NZDJPY,Pepperstone MT5
2007.03.14,79.440,81.310,79.210,81.310,13133,80,0,NZDJPY,Pepperstone MT5
2007.03.15,81.330,81.870,80.940,81.420,10919,80,0,NZDJPY,Pepperstone MT5
2007.03.16,81.430,81.840,80.930,81.360,10390,80,0,NZDJPY,Pepperstone MT5
2007.03.19,81.080,82.700,81.080,82.510,9775,80,0,NZDJPY,Pepperstone MT5
2007.03.20,82.540,82.930,82.280,82.750,10462,80,0,NZDJPY,Pepperstone MT5
2007.03.21,82.740,83.550,82.560,83.410,8287,80,0,NZDJPY,Pepperstone MT5
2007.03.22,83.400,84.290,83.010,83.960,9119,80,0,NZDJPY,Pepperstone MT5
2007.03.23,83.970,84.170,83.520,83.950,8985,80,0,NZDJPY,Pepperstone MT5
2007.03.26,83.870,84.750,83.560,84.620,8944,80,0,NZDJPY,Pepperstone MT5
2007.03.27,84.640,85.100,84.320,84.460,8855,80,0,NZDJPY,Pepperstone MT5
2007.03.28,84.440,84.620,82.520,82.940,8583,80,0,NZDJPY,Pepperstone MT5
2007.03.29,82.920,84.490,82.890,84.400,9892,80,0,NZDJPY,Pepperstone MT5
2007.03.30,84.390,84.560,83.780,84.110,11082,80,0,NZDJPY,Pepperstone MT5
2007.04.02,84.130,85.260,83.980,85.180,8774,80,0,NZDJPY,Pepperstone MT5
2007.04.03,85.160,85.720,84.920,85.530,8475,80,0,NZDJPY,Pepperstone MT5
2007.04.04,85.520,85.680,85.050,85.510,9203,80,0,NZDJPY,Pepperstone MT5
2007.04.05,85.520,85.980,85.280,85.740,7939,80,0,NZDJPY,Pepperstone MT5
2007.04.06,85.760,86.210,85.750,85.860,3704,80,0,NZDJPY,Pepperstone MT5
2007.04.09,86.060,86.370,85.760,85.940,4624,80,0,NZDJPY,Pepperstone MT5
2007.04.10,85.930,87.040,85.740,86.690,8411,80,0,NZDJPY,Pepperstone MT5
2007.04.11,86.680,87.090,86.450,86.960,7706,80,0,NZDJPY,Pepperstone MT5
2007.04.12,86.950,87.220,86.350,86.890,7898,80,0,NZDJPY,Pepperstone MT5
2007.04.13,86.870,88.040,86.870,87.930,9713,80,0,NZDJPY,Pepperstone MT5
2007.04.16,88.540,88.780,87.930,88.480,7642,80,0,NZDJPY,Pepperstone MT5
2007.04.17,88.470,88.920,87.920,88.480,9132,80,0,NZDJPY,Pepperstone MT5
2007.04.18,88.500,89.000,87.300,88.560,10206,80,0,NZDJPY,Pepperstone MT5
2007.04.19,88.530,88.550,86.660,88.120,11632,80,0,NZDJPY,Pepperstone MT5
2007.04.20,88.110,88.850,88.010,88.710,8286,80,0,NZDJPY,Pepperstone MT5
2007.04.23,88.800,88.840,87.840,88.260,7577,80,0,NZDJPY,Pepperstone MT5
2007.04.24,88.270,88.470,87.390,88.030,9446,80,0,NZDJPY,Pepperstone MT5
2007.04.25,88.020,88.810,87.940,88.490,8201,80,0,NZDJPY,Pepperstone MT5
2007.04.26,88.480,88.810,87.870,88.310,10735,80,0,NZDJPY,Pepperstone MT5
2007.04.27,88.320,88.930,87.840,88.710,8635,80,0,NZDJPY,Pepperstone MT5
2007.04.30,88.170,88.790,88.010,88.410,7304,80,0,NZDJPY,Pepperstone MT5
2007.05.01,88.420,88.860,88.190,88.630,7799,80,0,NZDJPY,Pepperstone MT5
2007.05.02,88.650,88.780,88.170,88.610,8561,80,0,NZDJPY,Pepperstone MT5
2007.05.03,88.600,88.800,88.270,88.560,6268,80,0,NZDJPY,Pepperstone MT5
2007.05.04,88.540,88.630,88.140,88.480,6789,80,0,NZDJPY,Pepperstone MT5
2007.05.07,88.240,88.630,88.170,88.440,5403,80,0,NZDJPY,Pepperstone MT5
2007.05.08,88.430,88.680,88.100,88.300,8442,80,0,NZDJPY,Pepperstone MT5
2007.05.09,88.290,88.380,87.820,87.960,7807,80,0,NZDJPY,Pepperstone MT5
2007.05.10,87.970,88.470,86.980,86.990,10133,80,0,NZDJPY,Pepperstone MT5
2007.05.11,87.010,88.240,86.830,88.190,10091,80,0,NZDJPY,Pepperstone MT5
2007.05.14,88.560,89.010,88.440,88.730,6347,80,0,NZDJPY,Pepperstone MT5
2007.05.15,88.740,88.980,88.220,88.840,7955,80,0,NZDJPY,Pepperstone MT5
2007.05.16,88.830,88.880,88.310,88.490,8027,80,0,NZDJPY,Pepperstone MT5
2007.05.17,88.500,88.840,88.230,88.540,7635,80,0,NZDJPY,Pepperstone MT5
2007.05.18,88.530,88.620,87.720,88.460,8560,80,0,NZDJPY,Pepperstone MT5
2007.05.21,88.490,88.740,88.380,88.660,6917,80,0,NZDJPY,Pepperstone MT5
2007.05.22,88.670,88.720,88.190,88.250,6527,80,0,NZDJPY,Pepperstone MT5
2007.05.23,88.360,88.840,88.250,88.650,8077,80,0,NZDJPY,Pepperstone MT5
2007.05.24,88.660,88.730,87.820,88.000,8792,80,0,NZDJPY,Pepperstone MT5
2007.05.25,87.980,88.470,87.510,88.370,8089,80,0,NZDJPY,Pepperstone MT5
2007.05.28,88.370,88.500,88.210,88.460,3293,80,0,NZDJPY,Pepperstone MT5
2007.05.29,88.450,88.780,88.010,88.390,6106,80,0,NZDJPY,Pepperstone MT5
2007.05.30,88.400,88.840,88.170,88.700,8616,80,0,NZDJPY,Pepperstone MT5
2007.05.31,88.690,89.800,88.500,89.600,8581,80,0,NZDJPY,Pepperstone MT5
2007.06.01,89.590,91.010,89.590,90.900,6820,80,0,NZDJPY,Pepperstone MT5
2007.06.04,90.830,91.080,90.550,90.950,4759,80,0,NZDJPY,Pepperstone MT5
2007.06.05,90.940,91.730,90.670,90.910,7201,80,0,NZDJPY,Pepperstone MT5
2007.06.06,90.930,91.620,90.620,91.340,6856,80,0,NZDJPY,Pepperstone MT5
2007.06.07,91.330,92.040,90.490,90.730,7924,80,0,NZDJPY,Pepperstone MT5
2007.06.08,90.740,92.970,90.550,92.910,12045,80,0,NZDJPY,Pepperstone MT5
2007.06.11,92.580,92.870,90.870,91.310,7963,80,0,NZDJPY,Pepperstone MT5
2007.06.12,91.320,91.760,90.980,91.020,6708,80,0,NZDJPY,Pepperstone MT5
2007.06.13,91.040,92.260,90.890,91.980,9352,80,0,NZDJPY,Pepperstone MT5
2007.06.14,91.990,92.530,91.610,92.160,5882,80,0,NZDJPY,Pepperstone MT5
2007.06.15,92.150,93.220,92.130,93.170,4831,80,0,NZDJPY,Pepperstone MT5
2007.06.18,92.950,93.490,92.750,93.110,4965,80,0,NZDJPY,Pepperstone MT5
2007.06.19,93.130,93.660,93.120,93.550,5240,80,0,NZDJPY,Pepperstone MT5
2007.06.20,93.560,94.360,93.430,93.730,6947,80,0,NZDJPY,Pepperstone MT5
