date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2008.03.06,5854.0,5871.0,5753.0,5766.0,149,0,0,UK100,Pepperstone MT5
2008.03.07,5766.0,5766.0,5656.0,5700.0,155,0,0,UK100,Pepperstone MT5
2008.03.10,5700.0,5719.0,5617.0,5629.0,134,0,0,UK100,Pepperstone MT5
2008.03.11,5629.0,5783.0,5629.0,5690.0,248,0,0,UK100,Pepperstone MT5
2008.03.12,5690.0,5813.0,5690.0,5776.0,161,0,0,UK100,Pepperstone MT5
2008.03.13,5776.0,5776.0,5629.0,5692.0,211,0,0,UK100,Pepperstone MT5
2008.03.14,5692.0,5782.0,5596.0,5632.0,313,0,0,UK100,Pepperstone MT5
2008.03.17,5632.0,5632.0,5414.0,5414.0,219,0,0,UK100,Pepperstone MT5
2008.03.18,5414.0,5610.0,5414.0,5606.0,201,0,0,UK100,Pepperstone MT5
2008.03.19,5606.0,5654.0,5525.0,5546.0,199,0,0,UK100,Pepperstone MT5
2008.03.20,5546.0,5546.0,5462.0,5495.0,118,0,0,UK100,Pepperstone MT5
2008.03.25,5495.0,5704.0,5495.0,5689.0,225,0,0,UK100,Pepperstone MT5
2008.03.26,5689.0,5689.0,5639.0,5660.0,72,0,0,UK100,Pepperstone MT5
2008.03.27,5660.0,5735.0,5651.0,5718.0,111,0,0,UK100,Pepperstone MT5
2008.03.28,5718.0,5747.0,5674.0,5693.0,122,0,0,UK100,Pepperstone MT5
2008.03.31,5693.0,5715.0,5586.0,5702.0,250,0,0,UK100,Pepperstone MT5
2008.04.01,5702.0,5866.0,5670.0,5853.0,242,0,0,UK100,Pepperstone MT5
2008.04.02,5853.0,5920.0,5827.0,5916.0,124,0,0,UK100,Pepperstone MT5
2008.04.03,5916.0,5935.0,5864.0,5891.0,118,0,0,UK100,Pepperstone MT5
2008.04.04,5891.0,5948.0,5888.0,5947.0,65,0,0,UK100,Pepperstone MT5
2008.04.07,5947.0,6015.0,5947.0,6015.0,69,0,0,UK100,Pepperstone MT5
2008.04.08,6015.0,6015.0,5942.0,5990.0,122,0,0,UK100,Pepperstone MT5
2008.04.09,5990.0,6016.0,5947.0,5984.0,133,0,0,UK100,Pepperstone MT5
2008.04.10,5984.0,6003.0,5882.0,5965.0,224,0,0,UK100,Pepperstone MT5
2008.04.11,5965.0,6016.0,5866.0,5896.0,232,0,0,UK100,Pepperstone MT5
2008.04.14,5896.0,5896.0,5827.0,5832.0,75,0,0,UK100,Pepperstone MT5
2008.04.15,5832.0,5943.0,5832.0,5907.0,148,0,0,UK100,Pepperstone MT5
2008.04.16,5907.0,6046.0,5907.0,6046.0,140,0,0,UK100,Pepperstone MT5
2008.04.17,6046.0,6086.0,5974.0,5980.0,159,0,0,UK100,Pepperstone MT5
2008.04.18,5980.0,6062.0,5974.0,6057.0,100,0,0,UK100,Pepperstone MT5
2008.04.21,6057.0,6090.0,6021.0,6053.0,135,0,0,UK100,Pepperstone MT5
2008.04.22,6053.0,6072.0,6008.0,6035.0,111,0,0,UK100,Pepperstone MT5
2008.04.23,6035.0,6084.0,5979.0,6084.0,162,0,0,UK100,Pepperstone MT5
2008.04.24,6084.0,6084.0,5952.0,6051.0,232,0,0,UK100,Pepperstone MT5
2008.04.25,6051.0,6099.0,6046.0,6091.0,67,0,0,UK100,Pepperstone MT5
2008.04.28,6091.0,6135.0,6084.0,6090.0,102,0,0,UK100,Pepperstone MT5
2008.04.29,6090.0,6134.0,6052.0,6089.0,164,0,0,UK100,Pepperstone MT5
2008.04.30,6089.0,6120.0,6036.0,6087.0,167,0,0,UK100,Pepperstone MT5
2008.05.01,6087.0,6118.0,6066.0,6087.0,105,0,0,UK100,Pepperstone MT5
2008.05.02,6087.0,6224.0,6087.0,6216.0,146,0,0,UK100,Pepperstone MT5
2008.05.06,6216.0,6234.0,6156.0,6215.0,156,0,0,UK100,Pepperstone MT5
2008.05.07,6215.0,6275.0,6214.0,6261.0,77,0,0,UK100,Pepperstone MT5
2008.05.08,6257.0,6273.0,6217.0,6271.0,99,0,0,UK100,Pepperstone MT5
2008.05.09,6271.0,6271.0,6168.0,6205.0,141,0,0,UK100,Pepperstone MT5
2008.05.12,6205.0,6252.0,6185.0,6221.0,119,0,0,UK100,Pepperstone MT5
2008.05.13,6221.0,6268.0,6142.0,6212.0,244,0,0,UK100,Pepperstone MT5
2008.05.14,6212.0,6253.0,6168.0,6216.0,167,0,0,UK100,Pepperstone MT5
2008.05.15,6216.0,6259.0,6169.0,6252.0,145,0,0,UK100,Pepperstone MT5
2008.05.16,6252.0,6349.0,6252.0,6304.0,143,0,0,UK100,Pepperstone MT5
2008.05.19,6304.0,6377.0,6303.0,6377.0,76,0,0,UK100,Pepperstone MT5
2008.05.20,6377.0,6377.0,6192.0,6192.0,186,0,0,UK100,Pepperstone MT5
2008.05.21,6192.0,6257.0,6184.0,6198.0,141,0,0,UK100,Pepperstone MT5
2008.05.22,6198.0,6226.0,6159.0,6182.0,119,0,0,UK100,Pepperstone MT5
2008.05.23,6182.0,6183.0,6087.0,6087.0,98,0,0,UK100,Pepperstone MT5
2008.05.27,6087.0,6142.0,6049.0,6059.0,159,0,0,UK100,Pepperstone MT5
2008.05.28,6059.0,6122.0,6053.0,6070.0,128,0,0,UK100,Pepperstone MT5
2008.05.29,6070.0,6131.0,6041.0,6068.0,179,0,0,UK100,Pepperstone MT5
2008.05.30,6068.0,6112.0,6045.0,6054.0,121,0,0,UK100,Pepperstone MT5
2008.06.02,6054.0,6061.0,5978.0,6008.0,121,0,0,UK100,Pepperstone MT5
2008.06.03,6008.0,6059.0,5993.0,6058.0,83,0,0,UK100,Pepperstone MT5
2008.06.04,6058.0,6058.0,5933.0,5970.0,163,0,0,UK100,Pepperstone MT5
2008.06.05,5970.0,6005.0,5941.0,5995.0,104,0,0,UK100,Pepperstone MT5
2008.06.06,5995.0,6075.0,5907.0,5907.0,249,0,0,UK100,Pepperstone MT5
2008.06.09,5907.0,5939.0,5870.0,5878.0,110,0,0,UK100,Pepperstone MT5
2008.06.10,5878.0,5878.0,5813.0,5827.0,80,0,0,UK100,Pepperstone MT5
2008.06.11,5827.0,5859.0,5708.0,5723.0,199,0,0,UK100,Pepperstone MT5
2008.06.12,5723.0,5798.0,5720.0,5791.0,89,0,0,UK100,Pepperstone MT5
2008.06.13,5791.0,5818.0,5720.0,5803.0,185,0,0,UK100,Pepperstone MT5
2008.06.16,5803.0,5833.0,5760.0,5795.0,139,0,0,UK100,Pepperstone MT5
2008.06.17,5795.0,5930.0,5795.0,5862.0,204,0,0,UK100,Pepperstone MT5
2008.06.18,5862.0,5862.0,5735.0,5757.0,150,0,0,UK100,Pepperstone MT5
2008.06.19,5757.0,5786.0,5707.0,5708.0,110,0,0,UK100,Pepperstone MT5
2008.06.20,5708.0,5732.0,5597.0,5621.0,184,0,0,UK100,Pepperstone MT5
2008.06.23,5621.0,5679.0,5603.0,5667.0,107,0,0,UK100,Pepperstone MT5
2008.06.24,5667.0,5694.0,5582.0,5635.0,193,0,0,UK100,Pepperstone MT5
2008.06.25,5635.0,5670.0,5635.0,5666.0,40,0,0,UK100,Pepperstone MT5
2008.06.26,5666.0,5666.0,5518.0,5518.0,149,0,0,UK100,Pepperstone MT5
2008.06.27,5518.0,5555.0,5471.0,5530.0,157,0,0,UK100,Pepperstone MT5
2008.06.30,5530.0,5626.0,5520.0,5626.0,117,0,0,UK100,Pepperstone MT5
2008.07.01,5626.0,5626.0,5466.0,5480.0,175,0,0,UK100,Pepperstone MT5
2008.07.02,5480.0,5567.0,5426.0,5426.0,229,0,0,UK100,Pepperstone MT5
2008.07.03,5426.0,5491.0,5359.0,5477.0,214,0,0,UK100,Pepperstone MT5
2008.07.04,5477.0,5490.0,5394.0,5413.0,129,0,0,UK100,Pepperstone MT5
2008.07.07,5413.0,5516.0,5400.0,5513.0,133,0,0,UK100,Pepperstone MT5
2008.07.08,5513.0,5513.0,5359.0,5441.0,237,0,0,UK100,Pepperstone MT5
2008.07.09,5441.0,5538.0,5441.0,5530.0,106,0,0,UK100,Pepperstone MT5
