date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2006.06.17,1251.5,1258.0,1237.2,1244.5,347,0,0,US500,Pepperstone MT5
2006.06.24,1244.5,1276.3,1237.6,1270.2,518,0,0,US500,Pepperstone MT5
2006.07.01,1270.2,1280.4,1263.1,1265.5,300,0,0,US500,Pepperstone MT5
2006.07.08,1265.5,1274.1,1228.5,1236.2,620,0,0,US500,Pepperstone MT5
2006.07.15,1236.2,1262.6,1224.5,1240.3,722,0,0,US500,Pepperstone MT5
2006.07.22,1240.3,1280.4,1240.3,1278.6,420,0,0,US500,Pepperstone MT5
2006.07.29,1278.6,1292.9,1265.7,1279.4,537,0,0,US500,Pepperstone MT5
2006.08.05,1279.4,1283.7,1261.3,1266.7,322,0,0,US500,Pepperstone MT5
2006.08.12,1266.7,1302.3,1266.7,1302.3,357,0,0,US500,Pepperstone MT5
2006.08.19,1302.3,1302.5,1289.5,1295.1,189,0,0,US500,Pepperstone MT5
2006.08.26,1295.1,1312.0,1294.0,1311.0,202,0,0,US500,Pepperstone MT5
2006.09.02,1311.0,1314.7,1292.1,1298.9,332,0,0,US500,Pepperstone MT5
2006.09.09,1298.9,1324.7,1290.9,1319.9,467,0,0,US500,Pepperstone MT5
2006.09.16,1319.9,1328.5,1310.9,1314.8,302,0,0,US500,Pepperstone MT5
2006.09.23,1314.8,1340.3,1311.6,1335.9,364,0,0,US500,Pepperstone MT5
2006.09.30,1335.9,1353.8,1327.1,1349.6,398,0,0,US500,Pepperstone MT5
2006.10.07,1349.6,1366.6,1343.6,1365.6,301,0,0,US500,Pepperstone MT5
2006.10.14,1365.6,1372.9,1356.9,1368.6,291,0,0,US500,Pepperstone MT5
2006.10.21,1368.6,1389.5,1363.9,1377.3,426,0,0,US500,Pepperstone MT5
2006.10.28,1377.3,1382.0,1361.0,1364.3,291,0,0,US500,Pepperstone MT5
2006.11.04,1364.3,1388.9,1364.3,1380.9,327,0,0,US500,Pepperstone MT5
2006.11.11,1380.9,1403.8,1378.8,1401.2,298,0,0,US500,Pepperstone MT5
2006.11.18,1401.2,1407.9,1397.9,1401.0,199,0,0,US500,Pepperstone MT5
2006.11.25,1401.0,1406.3,1377.8,1396.7,528,0,0,US500,Pepperstone MT5
2006.12.02,1396.7,1418.3,1396.7,1409.8,302,0,0,US500,Pepperstone MT5
2006.12.09,1409.8,1431.6,1404.8,1427.1,364,0,0,US500,Pepperstone MT5
2006.12.16,1427.1,1431.8,1410.3,1410.8,268,0,0,US500,Pepperstone MT5
2006.12.23,1410.8,1427.7,1410.5,1418.3,270,0,0,US500,Pepperstone MT5
2006.12.30,1418.3,1429.4,1405.8,1409.7,387,0,0,US500,Pepperstone MT5
2007.01.06,1409.7,1431.2,1404.0,1430.7,335,0,0,US500,Pepperstone MT5
2007.01.13,1430.7,1435.3,1424.2,1430.5,221,0,0,US500,Pepperstone MT5
2007.01.20,1430.5,1440.7,1417.0,1422.2,392,0,0,US500,Pepperstone MT5
2007.01.27,1422.2,1449.3,1418.5,1448.4,355,0,0,US500,Pepperstone MT5
2007.02.03,1448.4,1453.0,1433.4,1438.1,290,0,0,US500,Pepperstone MT5
2007.02.10,1438.1,1458.0,1431.4,1455.5,359,0,0,US500,Pepperstone MT5
2007.02.17,1455.5,1461.6,1448.4,1451.2,222,0,0,US500,Pepperstone MT5
2007.02.24,1451.2,1457.0,1380.9,1387.2,883,0,0,US500,Pepperstone MT5
2007.03.03,1387.2,1410.2,1374.0,1402.9,568,0,0,US500,Pepperstone MT5
2007.03.10,1402.9,1409.3,1364.0,1387.0,748,0,0,US500,Pepperstone MT5
2007.03.17,1387.0,1438.9,1387.0,1436.1,548,0,0,US500,Pepperstone MT5
2007.03.24,1436.1,1437.7,1408.9,1420.9,425,0,0,US500,Pepperstone MT5
2007.03.31,1420.9,1444.9,1416.4,1443.8,342,0,0,US500,Pepperstone MT5
2007.04.07,1443.8,1453.1,1433.9,1452.9,294,0,0,US500,Pepperstone MT5
2007.04.14,1452.9,1484.7,1452.8,1484.4,324,0,0,US500,Pepperstone MT5
2007.04.21,1484.4,1498.0,1473.7,1494.1,390,0,0,US500,Pepperstone MT5
2007.04.28,1494.1,1510.3,1476.7,1505.6,558,0,0,US500,Pepperstone MT5
2007.05.05,1505.6,1513.8,1491.4,1505.9,446,0,0,US500,Pepperstone MT5
2007.05.12,1505.9,1522.8,1498.3,1522.8,322,0,0,US500,Pepperstone MT5
2007.05.19,1522.8,1532.4,1505.2,1515.7,474,0,0,US500,Pepperstone MT5
2007.05.26,1515.7,1540.6,1510.1,1536.3,405,0,0,US500,Pepperstone MT5
2007.06.02,1536.3,1540.5,1487.4,1507.7,777,0,0,US500,Pepperstone MT5
2007.06.09,1507.7,1538.7,1492.7,1532.9,669,0,0,US500,Pepperstone MT5
2007.06.16,1532.9,1537.3,1500.7,1502.6,430,0,0,US500,Pepperstone MT5
2007.06.23,1502.6,1517.5,1484.2,1503.4,659,0,0,US500,Pepperstone MT5
2007.06.30,1503.4,1532.4,1503.4,1530.4,311,0,0,US500,Pepperstone MT5
2007.07.07,1530.4,1555.1,1506.1,1552.5,760,0,0,US500,Pepperstone MT5
2007.07.14,1552.5,1555.9,1529.2,1534.1,351,0,0,US500,Pepperstone MT5
2007.07.21,1534.1,1547.2,1459.0,1459.0,1014,0,0,US500,Pepperstone MT5
2007.07.28,1459.0,1488.3,1432.8,1433.1,852,0,0,US500,Pepperstone MT5
2007.08.04,1433.1,1503.9,1427.4,1453.6,1326,0,0,US500,Pepperstone MT5
2007.08.11,1453.6,1466.3,1370.6,1445.9,1838,0,0,US500,Pepperstone MT5
2007.08.18,1445.9,1479.4,1430.5,1479.4,644,0,0,US500,Pepperstone MT5
2007.08.25,1479.4,1481.5,1432.0,1474.0,937,0,0,US500,Pepperstone MT5
2007.09.01,1474.0,1496.4,1449.1,1453.6,743,0,0,US500,Pepperstone MT5
2007.09.08,1453.6,1489.6,1439.3,1484.3,700,0,0,US500,Pepperstone MT5
2007.09.15,1484.3,1538.7,1471.8,1525.8,924,0,0,US500,Pepperstone MT5
2007.09.22,1525.8,1533.7,1507.1,1526.8,523,0,0,US500,Pepperstone MT5
2007.09.29,1526.8,1561.9,1526.8,1557.6,395,0,0,US500,Pepperstone MT5
2007.10.06,1557.6,1576.1,1546.7,1561.8,547,0,0,US500,Pepperstone MT5
2007.10.13,1561.8,1564.7,1500.3,1500.6,677,0,0,US500,Pepperstone MT5
2007.10.20,1500.6,1535.5,1489.6,1535.3,572,0,0,US500,Pepperstone MT5
2007.10.27,1535.3,1552.8,1492.5,1509.7,951,0,0,US500,Pepperstone MT5
2007.11.03,1509.7,1520.8,1448.5,1453.7,887,0,0,US500,Pepperstone MT5
2007.11.10,1453.7,1492.1,1438.5,1458.7,1023,0,0,US500,Pepperstone MT5
2007.11.17,1458.7,1458.7,1415.6,1440.7,683,0,0,US500,Pepperstone MT5
2007.11.24,1440.7,1488.9,1406.1,1481.1,1253,0,0,US500,Pepperstone MT5
2007.12.01,1481.1,1510.6,1460.7,1504.7,763,0,0,US500,Pepperstone MT5
2007.12.08,1504.7,1523.6,1467.8,1468.0,750,0,0,US500,Pepperstone MT5
2007.12.15,1468.0,1485.4,1435.7,1484.5,830,0,0,US500,Pepperstone MT5
2007.12.22,1484.5,1498.9,1471.7,1478.5,485,0,0,US500,Pepperstone MT5
2007.12.29,1478.5,1478.5,1411.2,1411.6,678,0,0,US500,Pepperstone MT5
2008.01.05,1411.6,1430.3,1378.7,1401.0,927,0,0,US500,Pepperstone MT5
2008.01.12,1401.0,1417.9,1312.5,1325.2,1351,0,0,US500,Pepperstone MT5
2008.01.19,1325.2,1368.6,1270.1,1330.6,1917,0,0,US500,Pepperstone MT5
2008.01.26,1330.6,1396.0,1322.3,1395.4,827,0,0,US500,Pepperstone MT5
2008.02.02,1395.4,1395.4,1316.8,1331.3,932,0,0,US500,Pepperstone MT5
2008.02.09,1331.3,1369.2,1320.3,1350.0,792,0,0,US500,Pepperstone MT5
2008.02.16,1350.0,1367.9,1327.0,1353.1,788,0,0,US500,Pepperstone MT5
2008.02.23,1353.1,1388.3,1325.4,1330.6,1034,0,0,US500,Pepperstone MT5
2008.03.01,1330.6,1344.2,1282.4,1293.4,865,0,0,US500,Pepperstone MT5
2008.03.08,1293.4,1333.3,1272.7,1288.1,1160,0,0,US500,Pepperstone MT5
2008.03.15,1288.1,1341.5,1257.0,1329.5,1277,0,0,US500,Pepperstone MT5
2008.03.22,1329.5,1359.7,1313.0,1315.2,792,0,0,US500,Pepperstone MT5
2008.03.29,1315.2,1380.9,1312.8,1370.4,811,0,0,US500,Pepperstone MT5
2008.04.05,1370.4,1386.7,1331.2,1332.8,735,0,0,US500,Pepperstone MT5
2008.04.12,1332.8,1395.9,1324.4,1390.3,856,0,0,US500,Pepperstone MT5
2008.04.19,1390.3,1399.1,1369.8,1397.8,512,0,0,US500,Pepperstone MT5
2008.04.26,1397.8,1422.7,1383.1,1413.9,632,0,0,US500,Pepperstone MT5
2008.05.03,1413.9,1421.6,1384.1,1388.3,495,0,0,US500,Pepperstone MT5
2008.05.10,1388.3,1425.8,1386.2,1425.4,422,0,0,US500,Pepperstone MT5
2008.05.17,1425.4,1440.2,1373.7,1375.9,836,0,0,US500,Pepperstone MT5
2008.05.24,1375.9,1406.3,1373.1,1400.4,420,0,0,US500,Pepperstone MT5
2008.05.31,1400.4,1404.1,1359.9,1360.7,488,0,0,US500,Pepperstone MT5
2008.06.07,1360.7,1370.6,1331.3,1360.0,780,0,0,US500,Pepperstone MT5
2008.06.14,1360.0,1366.6,1314.5,1317.9,622,0,0,US500,Pepperstone MT5
2008.06.21,1317.9,1335.6,1272.0,1278.4,878,0,0,US500,Pepperstone MT5
2008.06.28,1278.4,1292.2,1252.0,1262.9,650,0,0,US500,Pepperstone MT5
2008.07.05,1262.9,1277.4,1225.4,1239.5,807,0,0,US500,Pepperstone MT5
2008.07.12,1239.5,1262.3,1200.4,1260.7,1027,0,0,US500,Pepperstone MT5
2008.07.19,1260.7,1291.2,1248.8,1257.8,820,0,0,US500,Pepperstone MT5
2008.07.26,1257.8,1284.9,1234.4,1260.3,986,0,0,US500,Pepperstone MT5
2008.08.02,1260.3,1297.9,1247.5,1296.3,649,0,0,US500,Pepperstone MT5
2008.08.09,1296.3,1313.2,1274.9,1298.2,748,0,0,US500,Pepperstone MT5
2008.08.16,1298.2,1300.2,1261.2,1292.2,721,0,0,US500,Pepperstone MT5
2008.08.23,1292.2,1300.7,1263.2,1282.8,657,0,0,US500,Pepperstone MT5
2008.08.30,1282.8,1303.0,1217.2,1242.3,1312,0,0,US500,Pepperstone MT5
2008.09.06,1242.3,1274.4,1211.5,1251.7,1165,0,0,US500,Pepperstone MT5
2008.09.13,1251.7,1265.1,1133.5,1255.1,2599,0,0,US500,Pepperstone MT5
2008.09.20,1255.1,1255.4,1179.8,1213.0,1092,0,0,US500,Pepperstone MT5
2008.09.27,1213.0,1213.0,1098.1,1099.2,1161,0,0,US500,Pepperstone MT5
2008.10.04,1099.2,1099.2,839.8,899.2,3189,0,0,US500,Pepperstone MT5
2008.10.11,899.2,1044.3,865.8,940.6,3157,0,0,US500,Pepperstone MT5
2008.10.18,940.6,985.4,852.9,876.8,2013,0,0,US500,Pepperstone MT5
2008.10.25,876.8,984.4,845.3,968.8,1863,0,0,US500,Pepperstone MT5
2008.11.01,968.8,1007.5,899.7,931.0,1779,0,0,US500,Pepperstone MT5
2008.11.08,931.0,952.0,818.7,873.3,2090,0,0,US500,Pepperstone MT5
2008.11.15,873.3,882.3,741.0,800.0,2094,0,0,US500,Pepperstone MT5
2008.11.22,800.0,896.3,800.0,896.2,965,0,0,US500,Pepperstone MT5
2008.11.29,896.2,896.2,815.7,876.1,1410,0,0,US500,Pepperstone MT5
2008.12.06,876.1,918.6,851.4,879.7,1309,0,0,US500,Pepperstone MT5
2008.12.13,879.7,918.9,857.7,887.9,1143,0,0,US500,Pepperstone MT5
2008.12.20,887.9,887.9,857.1,872.8,466,0,0,US500,Pepperstone MT5
2008.12.27,872.8,934.7,857.1,931.8,963,0,0,US500,Pepperstone MT5
2009.01.03,931.8,943.9,888.3,890.4,699,0,0,US500,Pepperstone MT5
2009.01.10,890.4,890.4,817.0,850.1,1066,0,0,US500,Pepperstone MT5
