date,open,high,low,close,tick_volume,spread,real_volume,symbol,source
2007.01.01,12.900,12.930,12.880,12.900,172,0,0,XAGUSD,Pepperstone MT5
2007.01.02,12.930,13.180,12.920,13.180,1334,0,0,XAGUSD,Pepperstone MT5
2007.01.03,13.160,13.180,12.550,12.600,2934,0,0,XAGUSD,Pepperstone MT5
2007.01.04,12.620,12.790,12.420,12.620,3014,0,0,XAGUSD,Pepperstone MT5
2007.01.05,12.600,12.730,12.090,12.210,3253,0,0,XAGUSD,Pepperstone MT5
2007.01.06,12.200,12.200,12.200,12.200,1,0,0,XAGUSD,Pepperstone MT5
2007.01.07,12.200,12.200,12.200,12.200,100,0,0,XAGUSD,Pepperstone MT5
2007.01.08,12.210,12.320,12.070,12.300,2094,0,0,XAGUSD,Pepperstone MT5
2007.01.09,12.300,12.490,12.210,12.480,2004,0,0,XAGUSD,Pepperstone MT5
2007.01.10,12.460,12.480,12.280,12.380,2054,0,0,XAGUSD,Pepperstone MT5
2007.01.11,12.390,12.540,12.330,12.340,1884,0,0,XAGUSD,Pepperstone MT5
2007.01.12,12.360,12.830,12.350,12.820,1964,0,0,XAGUSD,Pepperstone MT5
2007.01.13,12.830,12.830,12.830,12.830,1,0,0,XAGUSD,Pepperstone MT5
2007.01.14,12.830,12.840,12.830,12.840,255,0,0,XAGUSD,Pepperstone MT5
2007.01.15,12.870,12.910,12.840,12.860,944,0,0,XAGUSD,Pepperstone MT5
2007.01.16,12.860,12.900,12.570,12.590,1904,0,0,XAGUSD,Pepperstone MT5
2007.01.17,12.580,12.830,12.480,12.790,2214,0,0,XAGUSD,Pepperstone MT5
2007.01.18,12.840,12.960,12.630,12.650,2284,0,0,XAGUSD,Pepperstone MT5
2007.01.19,12.680,12.870,12.640,12.870,1374,0,0,XAGUSD,Pepperstone MT5
2007.01.20,12.880,12.880,12.880,12.880,1,0,0,XAGUSD,Pepperstone MT5
2007.01.21,12.880,12.880,12.860,12.860,25,0,0,XAGUSD,Pepperstone MT5
2007.01.22,12.870,13.140,12.810,12.910,2144,0,0,XAGUSD,Pepperstone MT5
2007.01.23,12.920,13.290,12.880,13.280,1724,0,0,XAGUSD,Pepperstone MT5
2007.01.24,13.280,13.290,13.070,13.250,1664,0,0,XAGUSD,Pepperstone MT5
2007.01.25,13.240,13.480,13.210,13.270,2294,0,0,XAGUSD,Pepperstone MT5
2007.01.26,13.280,13.420,13.170,13.370,2103,0,0,XAGUSD,Pepperstone MT5
2007.01.27,13.380,13.380,13.380,13.380,8,0,0,XAGUSD,Pepperstone MT5
2007.01.28,13.380,13.390,13.360,13.360,215,0,0,XAGUSD,Pepperstone MT5
2007.01.29,13.430,13.430,13.170,13.170,1774,0,0,XAGUSD,Pepperstone MT5
2007.01.30,13.180,13.390,13.090,13.370,1684,0,0,XAGUSD,Pepperstone MT5
2007.01.31,13.370,13.650,13.250,13.530,1914,0,0,XAGUSD,Pepperstone MT5
2007.02.01,13.530,13.720,13.520,13.670,2034,0,0,XAGUSD,Pepperstone MT5
2007.02.02,13.660,13.710,13.260,13.410,2224,0,0,XAGUSD,Pepperstone MT5
2007.02.03,13.390,13.390,13.390,13.390,1,0,0,XAGUSD,Pepperstone MT5
2007.02.04,13.390,13.390,13.390,13.390,24,0,0,XAGUSD,Pepperstone MT5
2007.02.05,13.420,13.530,13.310,13.470,1774,0,0,XAGUSD,Pepperstone MT5
2007.02.06,13.470,13.680,13.430,13.640,1764,0,0,XAGUSD,Pepperstone MT5
2007.02.07,13.660,13.760,13.600,13.630,1514,0,0,XAGUSD,Pepperstone MT5
2007.02.08,13.650,13.860,13.480,13.790,1944,0,0,XAGUSD,Pepperstone MT5
2007.02.09,13.790,13.920,13.750,13.880,1714,0,0,XAGUSD,Pepperstone MT5
2007.02.10,13.870,13.870,13.870,13.870,1,0,0,XAGUSD,Pepperstone MT5
2007.02.11,13.870,13.870,13.870,13.870,181,0,0,XAGUSD,Pepperstone MT5
2007.02.12,13.880,13.900,13.500,13.680,1984,0,0,XAGUSD,Pepperstone MT5
2007.02.13,13.690,13.970,13.680,13.890,1824,0,0,XAGUSD,Pepperstone MT5
2007.02.14,13.860,14.070,13.860,14.050,1994,0,0,XAGUSD,Pepperstone MT5
2007.02.15,14.030,14.040,13.801,13.976,2829,0,0,XAGUSD,Pepperstone MT5
2007.02.16,13.966,14.016,13.814,13.961,2310,0,0,XAGUSD,Pepperstone MT5
2007.02.18,13.954,13.959,13.946,13.954,16,0,0,XAGUSD,Pepperstone MT5
2007.02.19,13.951,14.036,13.939,13.991,940,0,0,XAGUSD,Pepperstone MT5
2007.02.20,13.994,14.019,13.679,13.848,3259,0,0,XAGUSD,Pepperstone MT5
2007.02.21,13.850,14.355,13.710,14.220,3936,0,0,XAGUSD,Pepperstone MT5
2007.02.22,14.215,14.348,14.155,14.208,3599,0,0,XAGUSD,Pepperstone MT5
2007.02.23,14.205,14.653,14.180,14.573,4293,0,0,XAGUSD,Pepperstone MT5
2007.02.25,14.590,14.650,14.568,14.595,163,0,0,XAGUSD,Pepperstone MT5
2007.02.26,14.600,14.750,14.475,14.690,3292,0,0,XAGUSD,Pepperstone MT5
2007.02.27,14.693,14.708,14.051,14.239,5172,0,0,XAGUSD,Pepperstone MT5
2007.02.28,14.244,14.425,14.003,14.258,5744,0,0,XAGUSD,Pepperstone MT5
2007.03.01,14.240,14.328,13.418,13.575,5408,0,0,XAGUSD,Pepperstone MT5
